category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,31/1450,65/7402,0.476923076923077,2.4346100795756,5.73362174575884,2.69392629710126e-07,6.60011942789809e-06,5.3473424243213e-06,3117/3127/3118/3119/3134/4842/5880/3689/3122/595/3120/3113/3112/3115/942/3109/3106/3683/3135/3123/5551/3107/3105/3111/940/941/8082/958/857/4624/959,31
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,37/1450,87/7402,0.425287356321839,2.17101862861673,5.42268037550926,7.28352154738317e-07,1.66549859383495e-05,1.34936820246257e-05,414062/6387/7852/53833/9560/2833/1234/6356/3560/6351/6352/1524/1436/3627/3561/3587/6366/6358/4283/6348/3559/8740/6367/6373/6362/1233/6364/7133/1236/2829/57007/729230/6359/6846/6363/6368/9547,37
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,30/1450,66/7402,0.454545454545455,2.32037617554859,5.31787014000761,1.5166440471731e-06,3.25130567612733e-05,2.63417123982696e-05,3306/3117/3127/3118/3119/3134/6890/3122/3120/3113/3112/3115/3109/6892/3106/3135/925/1520/3123/972/3107/3105/567/920/3111/10437/926/3310/3824/3805,30
Organismal Systems,Digestive system,hsa04978,Mineral absorption,25/1450,55/7402,0.454545454545455,2.32037617554859,4.85089357055533,1.12612817285992e-05,0.000227212919582913,0.000184085348380817,140803/4495/4494/6550/55630/6569/4493/4496/476/340024/482/7421/4499/477/6546/4501/55503/142680/65010/491/1811/4502/115019/4489/478,25
Human Diseases,Immune disease,hsa05340,Primary immunodeficiency,18/1450,34/7402,0.529411764705882,2.70255578093306,4.91092997439703,1.44048884831259e-05,0.00026750866635245,0.000216732508568503,57379/5788/6890/695/925/3561/915/7535/916/920/3575/3718/926/958/3932/29851/100/959,18
Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism,20/1450,40/7402,0.5,2.55241379310345,4.85889287094707,1.48182643168996e-05,0.00026750866635245,0.000216732508568503,1892/3033/11185/316/847/38/125061/1644/217/219/259307/3620/15/64577/2639/4128/1962/130013/26/6999,20
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,34/1450,87/7402,0.390804597701149,1.99499009116132,4.60753835106802,1.87654460277644e-05,0.000321827399376159,0.000260740934280516,414062/6387/3117/3127/3118/3119/7010/3689/3122/3120/3113/3112/3115/942/3109/7097/3683/6352/10673/3123/7040/3111/6348/525/940/941/7422/2321/6364/245972/1493/2353/50617/127124,34
Metabolism,Amino acid metabolism,hsa00260,"Glycine, serine and threonine metabolism",20/1450,41/7402,0.487804878048781,2.49015979814971,4.72230576882556,2.3646425522615e-05,0.000386224950202712,0.000312915104660169,51268/2628/275/23464/6472/2731/1491/1610/6470/55349/1757/132158/635/189/10993/26227/4128/29958/64902/29968,20
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,13/1450,21/7402,0.619047619047619,3.16013136288998,4.89249002781229,2.49354847301651e-05,0.000388766875565757,0.000314974543959981,762/5105/6550/476/358/482/5106/477/1468/8671/10991/760/478,13
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,40/1450,110/7402,0.363636363636364,1.85630094043887,4.46577846928137,2.66556027440233e-05,0.000397516162660869,0.000322063117822524,1892/5315/4329/229/3099/2203/2026/2597/226/275/55902/6472/8801/847/38/2731/26275/6470/48/26007/8802/5091/5214/51179/414328/132158/9104/189/10993/5095/3101/55753/84706/26227/5313/2875/64902/230/29968/2645,40
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,32/1450,84/7402,0.380952380952381,1.94469622331691,4.29767293673853,5.92623170486601e-05,0.000846957281153767,0.000686195250037117,5602/3117/3127/3118/3119/3122/3120/3113/3594/3112/3115/864/3109/3560/3123/2625/3561/919/915/7535/916/920/3111/3714/3559/3718/54567/30009/3932/917/6775/2353,32
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,29/1450,74/7402,0.391891891891892,2.00054054054054,4.26928907316851,7.15645629956111e-05,0.000981865804299784,0.000795496616035424,3117/3127/3118/3119/2212/2214/3689/3122/3120/3113/1536/3112/3115/1378/4688/3684/3109/7097/2209/3676/9103/3123/7040/653361/718/3111/2215/4689/2353,29
Organismal Systems,Digestive system,hsa04976,Bile secretion,30/1450,78/7402,0.384615384615385,1.96339522546419,4.22158331908548,8.13561798512479e-05,0.00107327575726839,0.000869555930393904,6513/113/6550/10864/123264/476/358/9376/482/477/949/8671/5243/6580/108/1576/7364/7367/3949/6344/8714/10720/361/760/366/54600/200931/6555/7366/478,30
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,35/1450,98/7402,0.357142857142857,1.82315270935961,4.0486553628041,0.000127059545918303,0.00161412682407326,0.00130774737319423,5602/861/3117/3127/3118/3119/50615/3122/50943/3120/3113/3594/3112/3115/3109/10148/3560/3556/3123/2625/7040/3561/919/915/7535/916/920/3111/3559/3718/30009/3932/917/2353/3662,35
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,49/1450,154/7402,0.318181818181818,1.62426332288401,3.86381949830542,0.000186231559404994,0.00228133660271118,0.00184831322116235,5156/341640/5880/3689/595/3910/3687/5228/4233/3684/1277/1285/7450/1950/83660/64098/3683/3676/1282/1278/2335/1292/255743/1293/7040/3909/83706/894/718/1101/22798/1284/55679/7422/1288/8516/158326/1287/1286/80310/3678/1298/1956/2321/3681/5649/7448/3694/55612,49
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,26/1450,68/7402,0.382352941176471,1.95184584178499,3.89178072232376,0.000266604664896841,0.00315328965722815,0.00255475976525466,34/5105/364/2168/30/6319/5465/8309/79966/5106/2710/11001/23305/2173/729359/440503/2172/335/3158/1582/1962/4023/2171/51129/81616/948,26
Metabolism,Carbohydrate metabolism,hsa00630,Glyoxylate and dicarboxylate metabolism,15/1450,31/7402,0.483870967741936,2.47007786429366,4.04814184443521,0.000279081624686496,0.00319083324224894,0.0025851771549907,112817/275/55902/6472/847/38/125061/2731/6470/48/51179/132158/189/5095/64902,15
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,22/1450,55/7402,0.4,2.04193103448276,3.82792165576186,0.000371646861595314,0.00411209269442557,0.00333157118713627,3117/3127/3118/3119/50615/3122/50943/3120/3113/3594/3112/3115/64127/3109/7097/3123/2625/7040/3561/3111/30009/6775,22
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,28/1450,77/7402,0.363636363636364,1.85630094043887,3.72791250679963,0.000417147976294874,0.00440885737588864,0.00357200658964125,730/5327/3689/1378/719/3687/3684/5104/5624/7450/624/2160/3827/718/713/5340/712/714/623/3818/716/11326/5329/7448/2161/717/5054/1380,28
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,65/1450,225/7402,0.288888888888889,1.47472796934866,3.56912984193971,0.000424175782519899,0.00440885737588864,0.00357200658964125,2906/5156/4916/113/7852/2769/5332/7134/57118/4842/2246/91807/4233/5724/2252/1950/6263/56848/624/952/5330/6546/4915/5731/4923/5027/2261/5979/3269/5136/4914/7422/2066/80310/623/108/3274/185/255231/1956/491/2321/815/552/5256/7039/2255/55283/2911/2254/9127/153/816/5733/2668/57105/774/89869/6869/5737/2925/2903/8911/553/148,65
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,24/1450,63/7402,0.380952380952381,1.94469622331691,3.71656516499621,0.000483574006246078,0.00487840835712955,0.0039524315061599,125/126/5315/5105/229/3099/2203/130/2026/2597/226/55902/5106/2538/3939/130589/217/5214/219/3101/5313/124/230/2645,24
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,22/1450,58/7402,0.379310344827586,1.93631391200951,3.53318909172749,0.000878672135503335,0.00845539287477408,0.00685046407531182,125/126/56603/130/317749/8854/10901/316/1576/1562/7364/7367/1555/124/1551/100861540/10720/145226/54600/10170/7366/1559,22
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,25/1450,69/7402,0.36231884057971,1.8495752123938,3.49931692709699,0.000887446482483576,0.00845539287477408,0.00685046407531182,95/100526760/5315/586/229/2026/2597/226/6472/1491/445/5053/6470/48/5091/5214/5831/10993/162417/84706/26227/5313/2875/230/29968,25
Metabolism,Amino acid metabolism,hsa00280,"Valine, leucine and isoleucine degradation",19/1450,48/7402,0.395833333333333,2.02066091954023,3.50137022369686,0.0010677228660579,0.00989807954210433,0.00801931256441781,1892/34/586/3033/4329/18/30/36/54511/316/38/26275/217/219/259307/5095/3158/1962/64902,19
Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,18/1450,45/7402,0.4,2.04193103448276,3.46013142479235,0.00124404289049144,0.0112291239852254,0.00909770978087923,125/126/5315/5105/130/3029/55902/38/5106/134526/197257/3939/217/5091/219/32/5313/124,18
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,19/1450,49/7402,0.387755102040816,1.97942294159043,3.39495304114416,0.00142880313341512,0.012393997636741,0.0100414772935388,8659/112483/5033/4842/2628/79814/112817/1610/217/219/58510/5831/84735/4128/283208/1159/1152/26/548596,19
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,17/1450,42/7402,0.404761904761905,2.06623973727422,3.42009637342673,0.00144536415588816,0.012393997636741,0.0100414772935388,125/126/1892/34/3033/130/10455/30/36/38/217/219/23305/2639/1962/124/81616,17
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,29/1450,87/7402,0.333333333333333,1.7016091954023,3.24896831033261,0.00165430773595385,0.0138396964251749,0.0112127661692379,341640/3910/1277/1285/7450/960/3676/1282/1278/2335/1292/255743/1293/3909/1101/22798/1284/1288/8516/3161/158326/1287/1286/3678/1298/5649/7448/3694/948,29
Metabolism,Carbohydrate metabolism,hsa00650,Butanoate metabolism,12/1450,26/7402,0.461538461538462,2.35607427055703,3.41867202285799,0.00190940231017943,0.0155934521997987,0.0126336393455481,1892/3033/18/54511/38/79944/6296/622/3158/1962/348158/123876,12
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,47/1450,161/7402,0.291925465838509,1.49022917112872,3.10392026700625,0.00200588014103046,0.0160003927528708,0.0129633379983364,5602/3117/3127/3118/3119/2212/2214/3689/3122/11151/3120/3113/64581/3112/3115/1378/3687/3684/10333/64127/22925/3109/7097/2207/2209/56848/64170/7421/1520/9103/1594/3123/972/7040/3587/718/3111/4046/2213/1051/26253/929/245972/2215/815/816/50617,47
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,22/1450,62/7402,0.354838709677419,1.81139043381535,3.16647045285191,0.00240538322726707,0.0187510556125592,0.0151918940669499,2949/125/126/2330/130/119391/316/2947/2329/1576/4128/7364/7367/1555/124/2326/10720/54600/2938/7366/2939/1559,22
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,60/1450,218/7402,0.275229357798165,1.40499841822208,2.99568506292422,0.00250712608533664,0.0189089833609416,0.0153198453499726,1462/1634/4001/287/1290/2192/4634/7134/26287/2026/58529/476/288/1277/752/1285/83660/482/3676/1674/1282/1278/9172/2335/1292/56776/7135/477/6712/4628/1289/1293/1281/7139/9672/7431/1284/1288/8516/84467/1287/8082/1286/3678/79784/1298/50509/825/10529/127294/8735/4629/3694/4619/84676/4622/4620/1301/4624/478,60
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,23/1450,66/7402,0.348484848484849,1.77895506792059,3.1372740381213,0.00253589864315834,0.0189089833609416,0.0153198453499726,113/5332/91807/3766/476/3784/482/3758/5330/477/389015/3772/3759/54207/108/3274/6752/115111/3773/815/816/760/478,23
Metabolism,Metabolism of cofactors and vitamins,hsa00770,Pantothenate and CoA biosynthesis,10/1450,21/7402,0.476190476190476,2.43087027914614,3.24078372828663,0.00342810668077574,0.0250178849256613,0.0202692085940604,5167/586/53354/217/219/8875/5169/1807/8876/51733,10
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,13/1450,31/7402,0.419354838709677,2.14073414905451,3.14123064793068,0.00356543310673302,0.025477990741863,0.0206419811442438,2168/29881/38/949/19/1056/4547/335/80168/5320/948/26279/84647,13
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,51/1450,186/7402,0.274193548387097,1.39971078976641,2.72490787190308,0.00550790658037634,0.0385553460626344,0.0312371071368282,5602/9641/1869/3117/3127/3118/3119/890/3134/6890/3122/595/3120/3113/695/3112/3115/864/1643/3109/7097/8819/377841/6892/3106/960/3683/3135/3123/3107/3105/3627/919/915/567/894/916/3111/7431/7128/3718/4939/4940/958/4609/355/1870/917/9636/1380/956,51
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,36/1450,123/7402,0.292682926829268,1.49409587888982,2.72725451599104,0.00608346651317313,0.0417325802803677,0.0338112665153202,730/3117/3127/3118/3119/2212/2214/3122/3120/3113/3112/3115/942/3109/2209/3123/718/3111/713/712/940/941/714/958/8362/92815/85236/2215/716/8341/717/8357/2903/8294/959/8368,36
Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,16/1450,44/7402,0.363636363636364,1.85630094043887,2.81171054350196,0.00691621812132071,0.0465149571688824,0.0376858944071964,4363/10350/10351/6890/26154/23460/10349/9619/24/5243/19/6833/368/1672/8714/154664,16
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,49/1450,180/7402,0.272222222222222,1.38964750957854,2.61202396525399,0.00744625964053283,0.0491166741673608,0.0397937762166127,414062/113/6387/7852/9560/5332/5880/1794/2833/5294/1234/6356/6351/94235/6352/7409/146850/1524/5330/23533/3627/653361/6366/7454/409/6358/3702/3055/4283/6348/58191/6367/3718/9844/57580/6373/108/10663/6362/1233/6364/1236/2829/729230/6359/6846/6363/6368/9547,49
