category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,36/692,158/7402,0.227848101265823,2.43718445891564,5.86393063283862,2.94444134618181e-07,3.25991720470129e-06,2.61236149510867e-06,4171/9088/7272/891/113130/4085/9232/1869/983/10403/81620/991/4174/699/701/23594/990/11200/9133/890/1029/9212/5347/8317/595/9319/1031/90381/8318/7040/894/995/4609/1870/1030/157570,36
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,28/692,109/7402,0.256880733944954,2.74773293737074,5.90299210489093,4.74599218686063e-07,5.07330199285101e-06,4.0655323270385e-06,3117/3127/3118/3119/3122/3120/3113/3910/3112/3115/5294/3109/1234/7097/240/146850/3123/23533/7040/3909/3587/3111/79444/3310/958/330/23643/959,28
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,44/692,255/7402,0.172549019607843,1.84567607389777,4.41315551701548,4.00546534287477e-05,0.000413898085430393,0.000331680638918753,2906/1132/10911/53637/1241/719/5724/2359/2563/84634/64106/140/53829/2899/5027/718/2918/3269/4828/3355/5028/3001/7349/5367/27334/3274/286530/8698/2564/2357/4987/133/55879/8862/84109/3352/57105/2894/23566/2914/2925/2903/2847/553,44
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,27/692,130/7402,0.207692307692308,2.22158737216541,4.51238622689859,5.27875379463035e-05,0.000527875379463035,0.000423017282014521,2212/11006/2214/54209/7305/126014/695/4688/2209/10859/9103/6688/1436/7040/653361/3937/55423/2213/10288/10326/3932/2215/11025/4689/11027/79168/23547,27
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,33/692,176/7402,0.1875,2.00559971098266,4.33580242962566,7.14423214089792e-05,0.000686967561143025,0.000550507111815803,5332/2212/2214/5880/3689/1536/64581/4688/3684/6404/7450/7097/2359/51284/2209/3683/5330/653361/718/51311/834/27180/8362/92815/85236/2357/2215/4689/8341/366/8357/8294/8368,33
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,30/692,154/7402,0.194805194805195,2.0837399594625,4.36428741920463,7.31288048958704e-05,0.000686967561143025,0.000550507111815803,5880/3689/595/3910/3687/5228/4233/3684/1277/7450/64098/3683/3676/1282/1278/2335/1292/1293/7040/3909/83706/894/718/1284/7422/80310/3678/1956/2321/3681,30
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,19/692,91/7402,0.208791208791209,2.23334180270596,3.8014803077773,0.000617350549037125,0.00562878441769144,0.00451067274219076,1290/1295/1277/3783/1282/1278/1292/1306/1289/1293/1281/91522/1284/1296/50509/1359/81578/1301/478,19
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,20/692,100/7402,0.2,2.1393063583815,3.68346541147534,0.000800528195131609,0.00685459769562392,0.00549298830617061,414062/2769/5332/10333/7097/6352/5330/7040/919/915/916/718/713/6348/712/714/355/917/356/5054,20
Organismal Systems,Immune system,hsa04620,Toll-like receptor signaling pathway,19/692,93/7402,0.204301075268817,2.18531294673379,3.69387768547053,0.000818129402380919,0.00685459769562392,0.00549298830617061,9641/414062/9560/10333/942/7097/51284/6351/6352/3627/4283/6348/51311/941/6373/958/929/23643/7098,19
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,19/692,93/7402,0.204301075268817,2.18531294673379,3.69387768547053,0.000818129402380919,0.00685459769562392,0.00549298830617061,2769/5332/3689/3910/3684/1277/5272/7097/338382/1282/1278/2335/5330/7040/3909/1281/1284/929/912,19
Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,32/692,195/7402,0.164102564102564,1.75532829405662,3.43251771485775,0.001085148559157,0.00885252771943866,0.00709404598230059,891/3984/983/7852/9133/3134/5880/6890/1234/7097/6892/3106/3135/27350/3107/3105/60489/919/200316/25939/915/567/115004/916/995/920/140564/355/917/7133/164668/356,32
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,16/692,75/7402,0.213333333333333,2.2819267822736,3.58317274613528,0.00127747804079169,0.0101543126319339,0.00813724204121022,7161/51512/891/6241/983/27113/11200/9133/1029/595/1643/10848/3486/894/355/5054,16
Human Diseases,Infectious disease: viral,hsa05162,Measles,22/692,120/7402,0.183333333333333,1.96103082851638,3.40831396820126,0.00151120076895967,0.0117118059594374,0.0093853521440653,7161/9641/27113/595/7097/51284/3560/3561/915/894/916/3559/7128/940/2213/3718/4939/4940/3310/355/917/356,22
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,26/692,152/7402,0.171052631578947,1.82966991177365,3.31890728580534,0.00169272250488551,0.0127986335735246,0.0102562904018737,9641/3117/3127/3118/3119/3122/3120/3113/3112/3115/3109/51284/6352/3123/3627/3111/834/114548/29108/4939/4940/355/7177/64499/7098/356,26
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,26/692,156/7402,0.166666666666667,1.78275529865125,3.17304433092398,0.00246943857044981,0.0176259498973712,0.0141247000875369,2906/6531/6507/113/1132/5332/2563/5330/140/53829/2899/2918/3269/3355/5028/108/3274/2564/4987/6529/63910/55879/3352/64805/2914/2903,26
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,26/692,156/7402,0.166666666666667,1.78275529865125,3.17304433092398,0.00246943857044981,0.0176259498973712,0.0141247000875369,9641/5332/7226/51393/1536/115362/64127/2634/6352/64170/5330/3428/5027/9051/9447/7128/834/114548/58484/29108/4939/4940/114769/63940/330/2633,26
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,32/692,205/7402,0.15609756097561,1.66970252361483,3.12262695227015,0.00250174772736882,0.0176259498973712,0.0141247000875369,414062/1869/113/7852/9560/5332/3134/1029/5880/6890/595/1234/6892/3106/6351/3135/6352/5330/3107/3105/3587/567/115004/6348/7422/1978/108/4609/355/1956/1870/356,32
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,25/692,151/7402,0.165562913907285,1.77094897217012,3.07363394671451,0.00324768710261905,0.0223729555958201,0.0179287521922361,2305/891/1869/983/11200/9133/890/3134/1029/595/4605/83593/3106/3135/3486/3107/3105/7040/894/1978/4609/1870/1030/3805/5054,25
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,19/692,105/7402,0.180952380952381,1.9355628956785,3.10050513578784,0.00359350300232708,0.0242170854504651,0.0194065608363659,6513/3099/5163/2026/2597/1536/226/112399/7076/3939/5214/285/7422/1978/3101/1956/2321/230/5054,19
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,11/692,49/7402,0.224489795918367,2.40126223899965,3.16025527666924,0.00470774195228845,0.0308204168372371,0.024698194816937,3689/4233/7097/3683/22914/100528032/7040/958/4035/948/959,11
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,27/692,172/7402,0.156976744186047,1.67910673477618,2.89381058910189,0.00486209892225361,0.0308204168372371,0.024698194816937,861/860/890/4233/3684/1643/942/1031/3560/2209/3486/3002/6688/1436/4318/894/597/51513/64919/1051/6495/958/4609/2321/330/929/8357,27
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,30/692,197/7402,0.152284263959391,1.62891347084886,2.87305544258834,0.00487161427427296,0.0308204168372371,0.024698194816937,9641/30001/414062/5332/1536/4688/10333/7097/5452/6352/7409/5330/653361/4318/9619/6348/834/19/114548/29108/1573/3310/958/355/929/23643/4689/356/948/959,30
Organismal Systems,Immune system,hsa04660,T cell receptor signaling pathway,20/692,116/7402,0.172413793103448,1.8442296192944,2.9429439138106,0.00505475087392679,0.0313394554183461,0.0251141306578257,5788/84433/925/7409/9402/919/3937/915/7535/916/920/3702/5133/940/926/3932/917/1493/29851/959,20
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,44/692,320/7402,0.1375,1.47077312138728,2.76468512707913,0.00548476049465728,0.0333387402616423,0.0267162740297031,5008/672/1944/595/3910/57121/5228/54541/4233/1277/5294/7450/7097/3560/3676/1282/1278/2335/1292/146850/1436/23533/1293/3909/3561/894/285/1441/3559/1284/3575/4515/7422/3718/1978/80310/3678/4609/9180/1956/2321/7039/356/23566,44
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,14/692,73/7402,0.191780821917808,2.05138965872199,2.89894355623499,0.00691125144811695,0.0412016913253126,0.0330173146104372,3689/3684/718/713/712/834/114548/714/29108/3678/929/23643/716/717,14
Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,22/692,136/7402,0.161764705882353,1.73032131927916,2.76040449076249,0.00735094094245542,0.0429960696634185,0.0344552544671198,3984/7456/2212/5880/2533/3676/925/7409/2335/3937/10095/7454/7535/920/834/114548/58484/9844/29108/926/3678/3932,22
Organismal Systems,Immune system,hsa04611,Platelet activation,20/692,121/7402,0.165289256198347,1.76802178378637,2.73531720515058,0.00814385481911812,0.0457124578539058,0.0366320545111095,6916/113/5332/2212/695/1277/5294/7450/2207/1278/146850/5330/23533/1281/3937/83706/54518/5028/108/64805,20
Organismal Systems,Immune system,hsa04623,Cytosolic DNA-sensing pathway,13/692,67/7402,0.194029850746269,2.07544646708653,2.83963897726303,0.00821956771875291,0.0457124578539058,0.0366320545111095,9641/9560/6351/6352/3428/3627/81030/25939/115004/9447/834/114548/29108,13
Organismal Systems,Immune system,hsa04662,B cell receptor signaling pathway,15/692,82/7402,0.182926829268293,1.95668264486113,2.797410949396,0.00825773432199588,0.0457124578539058,0.0366320545111095,11006/5880/84433/695/3635/10859/7409/27071/971/2213/10288/11025/11027/79168/23547,15
