"Symbol","n","n_events","HR","HR_lo","HR_hi","pvalue","z","padj","pooled_log2FC","rem_padj","n_studies","Direction","Risk_aligned"
"CENPE",818,219,1.55246093200137,1.39922113413976,1.72248323484071,1.0849542469588e-16,8.29509832764196,2.79803990005164e-16,2.18396719393333,1.10632222405021e-10,10,"Up","Up-High risk"
"DLGAP5",818,219,1.49346899148841,1.35696031094843,1.64371029170225,2.37523349057021e-16,8.20144054840204,5.96853543784309e-16,2.86054415634633,6.60087744528661e-10,10,"Up","Up-High risk"
"AURKA",818,219,1.79111596073586,1.55758811009365,2.0596564419138,2.90762660512678e-16,8.17709752951796,7.12368518256062e-16,1.08754386619958,4.94611989614297e-10,13,"Up","Up-High risk"
"HMMR",818,219,1.53059592823014,1.38046645659544,1.69705238712747,6.41103892208134e-16,8.08124210178199,1.53239466918042e-15,1.31830114848416,1.87787123053223e-05,10,"Up","Up-High risk"
"EXO1",818,219,1.53307168690442,1.38138242929596,1.70141790379209,9.15141523940378e-16,8.03773516532965,2.13533022252755e-15,2.09781986251128,4.22665130086587e-11,8,"Up","Up-High risk"
"CDC6",818,219,1.68610803862916,1.48234076573845,1.9178858084724,1.86907450271629e-15,7.94973728882081,4.25975119223713e-15,2.25029263698873,8.42391976234436e-12,11,"Up","Up-High risk"
"MELK",817,219,1.62414763067428,1.43928608306075,1.83275274962381,3.64853532598647e-15,7.86644757030468,8.12628322606076e-15,2.63874646723048,1.02054420508913e-13,10,"Up","Up-High risk"
"MKI67",818,219,1.54129945497999,1.38325806589099,1.7173975475006,4.58347877160787e-15,7.83784401720877,9.9817982137238e-15,2.7754515222904,2.79614224382565e-12,12,"Up","Up-High risk"
"KIF15",814,219,1.48541465454933,1.3453805990848,1.64002416673086,4.78450019993587e-15,7.83245091276393,1.01930656433416e-14,1.89861152332392,2.21434726439764e-11,9,"Up","Up-High risk"
"MCM10",817,218,1.55034786557981,1.38841296960268,1.7311697289861,6.68815720653263e-15,7.79024086892371,1.39455192817063e-14,2.29372946366957,1.15250709439478e-05,8,"Up","Up-High risk"
"NUSAP1",818,219,1.77262259873188,1.52516650166009,2.06022809582743,8.504426446112e-14,7.46227018803468,1.73632039941453e-13,2.05199030800062,2.52248807194924e-18,12,"Up","Up-High risk"
"PBK",817,219,1.48461851306024,1.33320284969831,1.65323088667263,6.03566841161152e-13,7.19967401250262,1.20713368232230e-12,2.15614154141263,8.75174283082991e-06,9,"Up","Up-High risk"
"RAD51",818,219,1.63654552466011,1.4305722755923,1.8721747233471,7.10500978080183e-13,7.17739902173256,1.39258191703716e-12,1.46227171049245,2.43004259602388e-15,11,"Up","Up-High risk"
"CDC45",818,219,1.45421228916549,1.30570505454541,1.6196103205683,9.53862072788909e-12,6.81329808372518,1.83291143398653e-11,2.30802704429907,2.24632723642409e-07,10,"Up","Up-High risk"
"CD44",818,219,1.41143107144464,1.26551701788698,1.57416900862037,6.03816835131622e-10,6.18943124270004,1.13796249697883e-09,1.30015300147531,5.20829887497811e-08,13,"Up","Up-High risk"
"FOXP3",813,219,1.26982157194226,1.17659545548065,1.37043434687687,8.2481050235798e-10,6.14007784633447,1.52512130624683e-09,1.19808245483899,2.53620207800598e-10,12,"Up","Up-High risk"
"RACGAP1",818,219,1.63456924840941,1.38721862138708,1.92602419449513,4.36683611978926e-09,5.86966232855309,7.92499888406198e-09,1.05960361714814,9.71318161525867e-18,12,"Up","Up-High risk"
"GAPDH",818,219,1.75956095697207,1.45452995307967,2.12856033301012,5.98071650608657e-09,5.81729604809724,1.06565494108452e-08,1.08732807361537,5.12373056198221e-10,13,"Up","Up-High risk"
"MAD2L1",818,219,1.57726277609185,1.35238654390252,1.83953166057551,6.38381122092399e-09,5.80637967273568,1.1171669636617e-08,1.3970409035879,7.58838628504425e-17,11,"Up","Up-High risk"
"TGFB1",818,219,1.52395156757695,1.3215292847322,1.75737942938653,6.8723549767716e-09,5.79401443007795,1.18156278548003e-08,1.50558994622751,6.03536078056043e-07,12,"Up","Up-High risk"
