category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,15/132,204/7102,0.0735294117647059,3.95610516934046,5.89527002905103,4.97097687583508e-06,0.000729718228603287,0.000709878047281821,255631/1289/1284/1278/633/1281/1290/1277/7058/2335/8572/22801/9260/1311/7138,15
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,10/132,92/7102,0.108695652173913,5.84815546772069,6.44082909760723,6.91676046069466e-06,0.000729718228603287,0.000709878047281821,255631/1296/1289/1307/1284/1278/1281/1290/1277/1303,10
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,11/132,147/7102,0.0748299319727891,4.02607709750567,5.10176466749223,8.31523242174753e-05,0.0058483801366291,0.005689369551722,5228/5159/1284/1278/1277/7058/2335/3383/22801/2243/1311,11
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,9/132,115/7102,0.0782608695652174,4.21067193675889,4.77672031643286,0.000268360942968891,0.014156039741609,0.013771153652351,4318/1284/1278/59/1281/1277/4322/2769/3640,9
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,7/132,80/7102,0.0875,4.70776515151515,4.58941290073983,0.00067202951604749,0.0283596455772041,0.0275885801324759,1284/1278/1277/7058/2335/22801/1311,7
