category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,12/207,92/7102,0.130434782608696,4.47511027095148,5.81274523087425,1.27557838921968e-05,0.00313792283748041,0.00313792283748041,255631/1296/1289/1310/1307/1284/1278/1285/1281/1290/1277/1303,12
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,18/207,208/7102,0.0865384615384615,2.9690635451505,4.99382769501373,3.23212003339778e-05,0.00397550764107927,0.00397550764107927,2925/2741/133/51738/887/5734/8862/5540/100996758/79924/727/53637/728/170589/7253/3640/2902/1909,18
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,17/207,204/7102,0.0833333333333333,2.85909822866345,4.66802979696843,8.66159391128438e-05,0.00710250700725319,0.00710250700725319,84665/255631/1289/1284/1278/1285/633/1281/1290/1277/7058/2335/8572/22801/9260/1311/7138,17
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,13/207,147/7102,0.0884353741496599,3.03414505898978,4.3178724996138,0.000335492510431832,0.0206327893915576,0.0206327893915576,5228/1101/5159/1284/1278/1285/1277/7058/2335/3383/22801/2243/1311,13
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,9/207,80/7102,0.1125,3.85978260869565,4.4568230900967,0.000492192684903437,0.0242158800972491,0.0242158800972491,1101/1284/1278/1285/1277/7058/2335/22801/1311,9
