Symbol,Drug,Approved,InteractionType,Sources,Score,PMIDs
TUBB3,TUSAMITAMAB RAVTANSINE,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,ANG1005,FALSE,inhibitor,ChEMBL,0.0369977310835475,""
TUBB3,MILATAXEL,FALSE,inhibitor,ChEMBL,0.0369977310835475,""
TUBB3,DAVUNETIDE,FALSE,modulator,ChEMBL,0.0419307618946872,""
TUBB3,CHEMBL:CHEMBL2036124,FALSE,"",DTC,0.0786201785525384,22543234
TUBB3,CABAZITAXEL,TRUE,inhibitor,ChEMBL,0.0285891558372867,""
TUBB3,OMBRABULIN,FALSE,inhibitor,ChEMBL,0.0419307618946872,""
TUBB3,POLATUZUMAB VEDOTIN,TRUE,inhibitor,ChEMBL,0.033103233074753,""
TUBB3,LARGAZOLE,FALSE,"",DTC,0.0433766502358833,20491440
TUBB3,FOSBRETABULIN DISODIUM,FALSE,inhibitor,ChEMBL,0.0369977310835475,""
TUBB3,PINATUZUMAB VEDOTIN,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,EPOTHILONE D,TRUE,modulator,ChEMBL,0.0393100892762692,""
TUBB3,VORINOSTAT,TRUE,"",DTC,0.0224629081578681,20491440
TUBB3,TELISOTUZUMAB VEDOTIN,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,ASG-5ME,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,INDUSATUMAB VEDOTIN,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,CHEMBL:CHEMBL1935538,FALSE,"",DTC,0.073995462167095,22435708
TUBB3,AGS-16C3F,FALSE,negative modulator,ChEMBL,0.0393100892762692,""
TUBB3,VERUBULIN,FALSE,negative modulator,ChEMBL,0.0419307618946872,""
TUBB3,BMS-275183,FALSE,modulator,ChEMBL,0.0393100892762692,""
TUBB3,VINCRISTINE,TRUE,"",DTC,0.0310598236256942,21664138; 23916255; 16539377
TUBB3,VINBLASTINE,TRUE,"",DTC,0.0554965966253213,23708010; 23916255
TUBB3,IXABEPILONE,TRUE,inhibitor,TdgClinicalTrial; ChEMBL,0.0571783116745734,""
TUBB3,PRALUZATAMAB RAVTANSINE,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,NOCODAZOLE,FALSE,"",DTC,0.157240357105077,25369367; 21194809; 25815147; 23313639; 25262051
TUBB3,CHEMBL:CHEMBL453818,FALSE,"",DTC,0.0786201785525384,12141877
TUBB3,RG-7600,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,MAYTANSINOL,FALSE,"",DTC,0.0786201785525384,563462
TUBB3,DOLASTATIN-10,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,ANVATABART OPADOTIN,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,VINFLUNINE,TRUE,inhibitor,ChEMBL,0.0419307618946872,""
TUBB3,CYCLOSTREPTIN,FALSE,"",DTC,0.0786201785525384,17206139
TUBB3,GLEMBATUMUMAB VEDOTIN,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,INDIBULIN,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,AZINTUXIZUMAB VEDOTIN,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,RG-7636,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,BIVATUZUMAB MERTANSINE,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,BRENTUXIMAB VEDOTIN,TRUE,inhibitor,ChEMBL,0.034942301578906,""
TUBB3,ENFORTUMAB VEDOTIN,TRUE,inhibitor,ChEMBL,0.0369977310835475,""
TUBB3,VINORELBINE,TRUE,"",DTC,0.0483816483400237,25768699
TUBB3,VINORELBINE TARTRATE,TRUE,inhibitor,ChEMBL,0.0419307618946872,""
TUBB3,VANDORTUZUMAB VEDOTIN,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,LORVOTUZUMAB MERTANSINE,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,PODOFILOX,TRUE,"",DTC,0.104826904736718,21402478; 17765552; 24953821
TUBB3,CHEMBL:CHEMBL2036119,FALSE,"",DTC,0.0786201785525384,22543234
TUBB3,LADIRATUZUMAB VEDOTIN,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,FOSBRETABULIN TROMETHAMINE,FALSE,negative modulator,ChEMBL,0.0419307618946872,""
TUBB3,VINFLUNINE DITARTRATE,TRUE,inhibitor,ChEMBL,0.0419307618946872,""
TUBB3,APRUTUMAB IXADOTIN,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,CURCUMIN,TRUE,"",DTC,0.0190594372248578,23830698
TUBB3,PLINABULIN,FALSE,inhibitor,ChEMBL,0.0419307618946872,""
TUBB3,PLOCABULIN,FALSE,inhibitor,ChEMBL,0.0419307618946872,""
TUBB3,BELANTAMAB MAFODOTIN,TRUE,inhibitor,ChEMBL,0.0369977310835475,""
TUBB3,CROLIBULIN,FALSE,inhibitor,ChEMBL,0.0419307618946872,""
TUBB3,PF-06263507,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,MIRVETUXIMAB SORAVTANSINE,TRUE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,ABT-751,FALSE,inhibitor,DTC; ChEMBL,0.110993193250643,25468039
TUBB3,VINBLASTINE SULFATE,TRUE,inhibitor,ChEMBL,0.0314480714210154,""
TUBB3,LIFASTUZUMAB VEDOTIN,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,MAYTANSINE,FALSE,"",DTC,0.0786201785525384,563462
TUBB3,PATUPILONE,FALSE,modulator,ChEMBL,0.0419307618946872,""
TUBB3,ZAMPANOLIDE,FALSE,"",DTC,0.0786201785525384,19877653
TUBB3,SAGOPILONE,FALSE,modulator,ChEMBL,0.0419307618946872,""
TUBB3,CANTUZUMAB MERTANSINE,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
