Symbol,colorectal,esophagus,kidney,liver,pancreatic
CD70,0,12,12,0,0
GC,0,12,12,0,0
KCNJ1,0,12,12,0,0
PDE3B,0,12,0,0,0
PNPLA3,0,12,12,0,0
SLCO1A2,0,12,0,0,0
TRPA1,0,12,12,0,0
DYRK3,0,11,0,0,0
FGA,0,11,0,0,11
PROC,0,11,11,0,0
ABCC5,0,10,0,0,0
ACE2,0,10,10,0,0
ACP3,0,10,10,0,0
C1S,0,10,10,0,0
COL9A2,0,10,10,0,0
FPR3,0,10,10,0,0
IL12A,0,10,0,0,0
ACADL,0,9,0,0,0
ALDH3B1,0,9,0,0,0
BDKRB1,0,9,9,0,0
CTSK,0,9,0,0,9
CYP24A1,0,9,9,0,0
DLX6,0,9,0,0,0
GPC3,0,9,9,0,0
GRP,0,9,0,0,0
KAT2B,0,9,0,0,0
NTS,0,9,0,0,0
P2RY2,0,9,0,0,0
ANXA11,0,8,0,0,0
BTC,0,8,8,0,0
DLX4,0,8,0,0,0
KCNA2,0,8,0,0,8
PLAUR,0,8,8,0,0
PTK6,0,8,0,0,0
TNC,0,8,0,0,0
C5AR1,0,7,0,0,7
CAST,0,7,0,0,0
CDA,0,7,0,0,7
DMP1,0,7,0,0,0
DOCK3,0,7,7,0,0
ESRRG,0,7,7,0,0
FCGR2A,0,7,7,0,0
GCKR,0,7,0,0,7
GNA12,0,7,0,0,0
MAP3K9,0,7,0,0,0
MC1R,0,7,0,0,0
MMP14,0,7,7,0,0
NUAK1,0,7,0,0,7
ATP1B3,0,6,0,0,0
COL9A3,0,6,0,0,0
CTSC,0,6,0,0,0
DCT,0,6,0,0,0
DLX5,0,6,6,0,0
ECE1,0,6,0,0,0
KCND2,0,6,0,0,6
KCNS3,0,6,0,0,0
MARCKSL1,0,6,0,0,0
MGLL,0,6,0,0,0
PTHLH,0,6,6,0,0
ARSF,0,5,5,0,0
C3AR1,0,5,5,0,0
CBS,0,5,0,0,0
CD276,0,5,5,0,0
CRABP2,0,5,0,0,0
CSPG4,0,5,5,0,0
EMP1,0,5,0,0,0
EPHA5,0,5,0,0,0
S100A12,0,5,0,0,0
SCNN1A,0,5,5,0,0
SEPTIN3,0,5,0,0,0
SLC2A3,0,5,0,0,5
SLC5A1,0,5,0,0,0
SLC6A1,0,5,5,0,0
SV2A,0,5,0,0,0
TACR2,0,5,0,0,0
ACTL6A,0,4,0,0,0
AEBP1,0,4,0,0,4
C4A,0,4,0,0,0
C4B,0,4,0,0,0
CA3,0,4,0,0,0
CDK14,0,4,0,0,0
CLDN7,0,4,0,0,0
CSTB,0,4,0,0,0
CTSL,0,4,0,0,0
ENPEP,0,4,0,0,0
IGF2BP2,0,4,4,0,0
NFATC1,0,4,0,0,0
ODC1,0,4,0,0,0
PLA2G7,0,4,4,0,0
RORA,0,4,0,0,0
SLPI,0,4,0,0,4
TF,0,4,0,0,0
TNFRSF18,0,4,4,0,0
ATP12A,0,3,3,0,0
BBOX1,0,3,3,0,0
CDH16,0,3,3,0,0
CYP11A1,0,3,0,0,0
DEPTOR,0,3,0,0,0
F2RL3,0,3,0,0,0
FUT6,0,3,3,0,0
GDA,0,3,3,0,0
HK3,0,3,3,0,0
MISP,0,3,3,0,0
NPEPPS,0,3,0,0,0
PGF,0,3,3,0,3
PRSS3,0,3,0,0,0
PTH2R,0,3,0,0,0
SHMT1,0,3,3,0,0
SLC16A1,0,3,0,0,0
STMN1,0,3,0,0,0
TFRC,0,3,0,0,0
TXK,0,3,0,0,0
ADGRE1,0,2,2,0,0
ADH7,0,2,0,0,0
AMACR,0,2,0,0,0
CA13,0,2,0,0,0
COL24A1,0,2,0,0,2
COL27A1,0,2,0,0,0
CRAT,0,2,0,0,0
DNM1,0,2,0,0,0
DUSP5,0,2,0,0,0
EFNB1,0,2,0,0,0
EGR2,0,2,0,0,2
ELF3,0,2,2,0,0
ENPP3,0,2,2,0,0
FFAR2,0,2,0,0,0
FZD2,0,2,0,0,0
GPNMB,0,2,2,0,0
GYS2,0,2,0,0,0
HAS3,0,2,0,0,0
HELLS,0,2,0,0,0
HOXA11,0,2,0,0,0
HOXD10,0,2,0,0,0
HOXD13,0,2,0,0,0
HTRA1,0,2,0,0,2
ICA1,0,2,0,0,0
IGFBP3,0,2,2,0,2
IL1RL2,0,2,0,0,0
LAMB3,0,2,0,0,0
MMP16,0,2,2,0,0
MUCL3,0,2,0,0,0
P2RY6,0,2,0,0,0
PDGFA,0,2,0,0,0
PLIN3,0,2,0,0,0
PORCN,0,2,0,0,0
S100A10,0,2,0,0,0
SERPINA1,0,2,0,0,0
SERPINB1,0,2,0,0,0
SLC29A4,0,2,2,0,0
SLCO6A1,0,2,0,0,0
SNX9,0,2,0,0,0
SOCS1,0,2,0,0,0
ULK3,0,2,0,0,0
ABCG4,0,1,0,0,0
ADAMTS4,0,1,1,0,0
ADGRB2,0,1,0,0,0
ANO1,0,1,1,0,0
APOBEC3B,0,1,0,0,0
BICD1,0,1,1,0,0
CFHR4,0,1,0,0,0
CHST1,0,1,0,0,1
CHST11,0,1,1,0,1
CNGB1,0,1,0,0,0
COCH,0,1,1,0,0
DCX,0,1,0,0,0
DLG2,0,1,1,0,0
DSC2,0,1,0,0,0
EHF,0,1,1,0,0
ETV5,0,1,0,0,0
EVPL,0,1,0,0,0
FADD,0,1,0,0,0
FAT1,0,1,0,0,0
FBN2,0,1,0,0,0
FUT2,0,1,0,0,0
FUT3,0,1,1,0,0
GADL1,0,1,0,0,0
GBP1,0,1,1,0,0
GBP6,0,1,0,0,0
HOXA13,0,1,0,0,0
HOXA7,0,1,0,0,0
HOXB5,0,1,1,0,1
HOXB6,0,1,1,0,0
HOXC10,0,1,0,0,0
HOXC13,0,1,0,0,0
HOXC6,0,1,0,0,0
HOXC8,0,1,0,0,0
HOXD11,0,1,0,0,0
HOXD8,0,1,1,0,1
HOXD9,0,1,0,0,0
IFIT2,0,1,0,0,0
IL31RA,0,1,0,0,1
INPP1,0,1,0,0,0
ITIH3,0,1,0,0,0
ITPKC,0,1,0,0,0
LAMB4,0,1,1,0,0
LGALS1,0,1,1,0,0
LY96,0,1,1,0,0
MAML3,0,1,0,0,0
MDK,0,1,1,0,0
MEGF11,0,1,0,0,0
MIEF2,0,1,0,0,0
MSR1,0,1,1,0,0
NLRX1,0,1,0,0,0
NNMT,0,1,1,0,1
NTNG1,0,1,1,0,0
NUCB2,0,1,0,0,0
OPCML,0,1,0,0,0
P3H3,0,1,0,0,0
PLEKHA6,0,1,0,0,0
RIMS1,0,1,0,0,0
SCGB3A1,0,1,1,0,0
SDS,0,1,1,0,0
SEMA3C,0,1,0,0,0
SERPINB2,0,1,0,0,0
SERPINB3,0,1,0,0,0
SH2D5,0,1,0,0,0
SLC16A7,0,1,1,0,0
SLC38A3,0,1,1,0,0
SLC39A14,0,1,0,0,0
SPINK5,0,1,0,0,0
SPINT1,0,1,0,0,0
SPTLC3,0,1,0,0,0
SPTSSB,0,1,0,0,0
STK39,0,1,1,0,0
STN1,0,1,0,0,0
SULT1E1,0,1,0,0,0
TCIM,0,1,1,0,0
TICAM1,0,1,0,0,0
TPT1,0,1,0,0,0
ZIC4,0,1,1,0,0
EGFR,0,0,187,0,0
FASLG,0,0,76,0,0
PPARA,0,0,65,0,0
PDGFRA,0,0,61,0,0
TGFB1,0,0,58,0,0
CSF1R,0,0,54,0,0
LCK,0,0,51,0,0
JAK3,0,0,50,0,0
ALDH2,0,0,46,0,0
HLA-DRB1,0,0,44,0,0
ALB,0,0,43,0,43
CHEK2,0,0,42,0,0
GAPDH,0,0,38,0,0
HLA-B,0,0,38,0,0
PDCD1,0,0,38,0,0
PLG,0,0,38,0,0
PKM,0,0,36,0,36
CD3E,0,0,35,0,0
ITGB2,0,0,35,0,0
CD3D,0,0,31,0,0
ARRB2,0,0,29,0,0
ITGAL,0,0,29,0,0
PLK4,0,0,29,0,0
ALDH1B1,0,0,28,0,0
CDKN2A,0,0,28,0,28
HLA-A,0,0,28,0,0
CASP1,0,0,26,0,0
FOS,0,0,26,0,0
CD3G,0,0,24,0,0
LEP,0,0,24,0,0
APOA1,0,0,23,0,0
CD40,0,0,23,0,0
CCR2,0,0,22,0,0
HCK,0,0,21,0,0
VWF,0,0,20,0,0
CCR5,0,0,19,0,0
HLA-C,0,0,18,0,0
ITK,0,0,18,0,0
PTPRC,0,0,18,0,0
EZH2,0,0,17,0,0
CD28,0,0,15,0,0
CD4,0,0,15,0,0
HLA-DQB1,0,0,15,0,0
KIF11,0,0,15,0,0
CD33,0,0,13,0,0
IL2RB,0,0,12,0,0
ITGAM,0,0,12,0,0
CD5,0,0,10,0,0
HLA-DQA1,0,0,10,0,0
REN,0,0,10,0,0
C3,0,0,9,0,0
CD2,0,0,9,0,0
CD86,0,0,9,0,0
ITGA4,0,0,9,0,0
SELP,0,0,9,0,0
CCNA2,0,0,8,0,0
CD38,0,0,8,0,0
LAG3,0,0,8,0,0
CD27,0,0,7,0,0
DCN,0,0,7,0,0
GZMA,0,0,7,0,0
HLA-DRA,0,0,7,0,0
CCL11,0,0,6,0,0
CCL22,0,0,6,0,0
CXCR3,0,0,6,0,0
AOX1,0,0,5,0,0
CD74,0,0,5,0,0
CTSS,0,0,5,0,0
CYBB,0,0,5,0,0
KLRD1,0,0,5,0,0
B2M,0,0,4,0,0
CAV1,0,0,4,0,0
ITGB6,0,0,4,0,0
KLRK1,0,0,4,0,0
RAC2,0,0,4,0,0
CD247,0,0,3,0,0
CD68,0,0,3,0,0
ICOS,0,0,3,0,3
IL7R,0,0,3,0,0
PKLR,0,0,3,0,0
PRF1,0,0,3,0,0
TBX21,0,0,3,0,0
VAV1,0,0,3,0,0
AGXT,0,0,2,0,0
CX3CR1,0,0,2,0,0
E2F8,0,0,2,0,0
FGF7,0,0,2,0,2
HLA-F,0,0,2,0,0
LDHA,0,0,2,0,0
ZAP70,0,0,2,0,0
CD8A,0,0,1,0,0
HLA-DPA1,0,0,1,0,0
KNG1,0,0,1,0,0
RUNX2,0,0,1,0,0
SCARB1,0,0,1,0,0
SH2D1A,0,0,1,0,0
VDR,0,0,470,0,0
PIK3CG,0,0,130,0,0
HRH1,0,0,124,0,0
ABCA1,0,0,104,0,0
FGFR3,0,0,95,0,0
GABRA2,0,0,91,0,0
AANAT,0,0,88,0,0
GABRB2,0,0,86,0,0
TUBB2A,0,0,85,0,0
FLT1,0,0,83,0,0
TUBA1B,0,0,83,0,0
TUBB2B,0,0,83,0,0
RET,0,0,81,0,0
GABRE,0,0,78,0,0
ADRA2C,0,0,71,0,0
NOS1,0,0,71,0,0
NTRK1,0,0,70,0,0
DPYS,0,0,69,0,0
ABCC1,0,0,61,0,0
ABCC6,0,0,60,0,0
AGTR1,0,0,59,0,0
APOBEC3G,0,0,58,0,0
FAS,0,0,58,0,0
SERPINA3,0,0,57,0,0
ALPL,0,0,56,0,0
SLC6A3,0,0,55,0,0
BTK,0,0,52,0,0
VEGFA,0,0,52,0,0
ABCA4,0,0,48,0,0
AQP2,0,0,48,0,0
AXL,0,0,48,0,0
GRM1,0,0,48,0,0
BDKRB2,0,0,47,0,0
CHRNA4,0,0,45,0,0
TGM2,0,0,39,0,0
AQP1,0,0,38,0,0
CD8B,0,0,37,0,0
MAP4K4,0,0,37,0,0
TACR1,0,0,37,0,0
APOBEC3F,0,0,36,0,0
AMT,0,0,35,0,0
KCNQ1,0,0,34,0,0
PIK3R5,0,0,34,0,0
ALOX5,0,0,33,0,0
RAPGEF3,0,0,33,0,0
ACADSB,0,0,32,0,0
LDLR,0,0,31,0,0
HBB,0,0,29,0,0
ABCC3,0,0,28,0,0
ANGPT2,0,0,28,0,0
ASS1,0,0,28,0,0
CHRM4,0,0,28,0,0
CP,0,0,27,0,0
CCN2,0,0,25,0,0
GAS1,0,0,25,0,0
ASIC2,0,0,23,0,0
AVPR1A,0,0,23,0,0
CES1,0,0,23,0,0
EIF4EBP1,0,0,23,0,0
ADA,0,0,22,0,0
AVPR2,0,0,22,0,0
BIRC3,0,0,22,0,0
LIMK1,0,0,22,0,0
ACAT1,0,0,21,0,0
CACNA1I,0,0,21,0,0
F11,0,0,21,0,21
FAAH,0,0,21,0,0
TUBA3D,0,0,21,0,0
ENO2,0,0,19,0,0
GATA3,0,0,19,0,0
GCGR,0,0,19,0,0
TLR7,0,0,19,0,0
HRH2,0,0,18,0,0
PIK3R6,0,0,18,0,0
PLAT,0,0,18,0,0
SLC12A3,0,0,18,0,0
CASR,0,0,17,0,0
GM2A,0,0,17,0,0
NQO2,0,0,17,0,0
ATP1A3,0,0,16,0,0
CCR4,0,0,16,0,0
FCGR2B,0,0,16,0,0
GCK,0,0,16,0,0
HNF4A,0,0,16,0,0
LTB4R,0,0,16,0,0
SLC22A1,0,0,16,0,0
SLC5A2,0,0,16,0,0
TEK,0,0,16,0,0
ATP1A1,0,0,15,0,0
DBH,0,0,15,0,0
GATM,0,0,15,0,0
MCOLN3,0,0,15,0,15
NR4A1,0,0,15,0,0
ALDOA,0,0,14,0,0
AVPR1B,0,0,14,0,0
CACNA2D2,0,0,14,0,0
CYP3A7,0,0,14,0,0
KCNQ3,0,0,14,0,0
NR1I3,0,0,14,0,0
PTGER1,0,0,14,0,0
PTGFR,0,0,14,0,0
SLC12A1,0,0,14,0,0
SLC22A8,0,0,14,0,0
AMPH,0,0,13,0,0
ANXA4,0,0,13,0,0
AOAH,0,0,13,0,0
CACNB4,0,0,13,0,0
CDC7,0,0,13,0,0
CDH13,0,0,13,0,13
GDNF,0,0,13,0,0
MUC16,0,0,13,0,0
NPR1,0,0,13,0,0
RPS19,0,0,13,0,0
SLC15A2,0,0,13,0,0
SLC22A12,0,0,13,0,0
UGT2B7,0,0,13,0,0
WT1,0,0,13,0,0
PLA2G2A,0,0,12,0,0
PSMB8,0,0,12,0,0
SLC10A2,0,0,12,0,0
CD14,0,0,11,0,0
CYP4F2,0,0,11,0,0
GJA1,0,0,11,0,0
HTR1F,0,0,11,0,0
MGAM,0,0,11,0,0
PTPN7,0,0,11,0,0
CACNA2D3,0,0,10,0,0
EPHA3,0,0,10,0,0
IKBKE,0,0,10,0,0
MT-ND1,0,0,10,0,0
PTPN22,0,0,10,0,0
S1PR4,0,0,10,0,0
SHBG,0,0,10,0,0
TNFRSF1B,0,0,10,0,0
EGR3,0,0,9,0,0
FGF1,0,0,9,0,0
IL2RG,0,0,9,0,0
NLRP3,0,0,9,0,0
PTGER3,0,0,9,0,0
SARDH,0,0,9,0,0
ADM,0,0,8,0,8
APOD,0,0,8,0,0
CAMK1D,0,0,8,0,0
CHI3L2,0,0,8,0,0
CSF2RA,0,0,8,0,0
GATA2,0,0,8,0,0
HLA-DMB,0,0,8,0,0
MTTP,0,0,8,0,0
OPRL1,0,0,8,0,0
PIM2,0,0,8,0,0
PTPRD,0,0,8,0,0
SERPINA6,0,0,8,0,0
SLC22A6,0,0,8,0,0
TBXAS1,0,0,8,0,0
TGFBR3,0,0,8,0,0
TLR8,0,0,8,0,0
TNFSF13B,0,0,8,0,0
TRPM5,0,0,8,0,0
TYMP,0,0,8,0,0
ATF3,0,0,7,0,0
CYP17A1,0,0,7,0,0
EPM2A,0,0,7,0,0
GRM4,0,0,7,0,0
KCNA4,0,0,7,0,0
KCNE1,0,0,7,0,0
KCNJ10,0,0,7,0,0
MATK,0,0,7,0,0
MCHR1,0,0,7,0,0
NPY5R,0,0,7,0,0
P2RX7,0,0,7,0,0
PDK1,0,0,7,0,0
PSMB10,0,0,7,0,0
PSMB9,0,0,7,0,0
TRPV5,0,0,7,0,0
ALOX5AP,0,0,6,0,6
BPI,0,0,6,0,0
CSF2RB,0,0,6,0,0
DTX1,0,0,6,0,0
ERAP2,0,0,6,0,0
FOXA3,0,0,6,0,0
KCNC1,0,0,6,0,0
KCNH3,0,0,6,0,0
KCNH6,0,0,6,0,0
KCNH7,0,0,6,0,0
KCNK9,0,0,6,0,0
KCNV1,0,0,6,0,0
LINC00473,0,0,6,0,0
LIPA,0,0,6,0,0
NTSR1,0,0,6,0,0
PRLR,0,0,6,0,0
PTAFR,0,0,6,0,0
RPS2,0,0,6,0,0
SLC22A7,0,0,6,0,0
SOST,0,0,6,0,0
STAT4,0,0,6,0,0
ACSS2,0,0,5,0,0
ATP6V1B1,0,0,5,0,0
BDH1,0,0,5,0,0
CCND2,0,0,5,0,0
CDK18,0,0,5,0,0
CDKN2C,0,0,5,0,0
COL15A1,0,0,5,0,0
DDC,0,0,5,0,0
E2F2,0,0,5,0,0
EGLN3,0,0,5,0,0
FABP5,0,0,5,0,0
FECH,0,0,5,0,0
FOLR3,0,0,5,0,0
HLA-DRB5,0,0,5,0,0
IKZF1,0,0,5,0,0
NCF4,0,0,5,0,0
NRG3,0,0,5,0,0
PNP,0,0,5,0,0
PSORS1C1,0,0,5,0,0
RPS4Y1,0,0,5,0,0
S1PR5,0,0,5,0,5
SLC29A2,0,0,5,0,5
TNNC1,0,0,5,0,0
VIM,0,0,5,0,0
ADCY2,0,0,4,0,0
C1QC,0,0,4,0,0
COL8A2,0,0,4,0,4
CPA3,0,0,4,0,0
CR1,0,0,4,0,0
CTH,0,0,4,0,4
DLL4,0,0,4,0,0
ESRRB,0,0,4,0,0
GGH,0,0,4,0,0
GJB1,0,0,4,0,0
GMPR,0,0,4,0,0
GPX2,0,0,4,0,0
HLA-DPB1,0,0,4,0,0
HPD,0,0,4,0,0
KCNJ3,0,0,4,0,0
MT-ND3,0,0,4,0,0
NPR3,0,0,4,0,0
NR4A2,0,0,4,0,0
PYGL,0,0,4,0,0
RAMP1,0,0,4,0,0
SERPINA5,0,0,4,0,0
THRSP,0,0,4,0,0
ABCG1,0,0,3,0,0
ACO1,0,0,3,0,0
CD37,0,0,3,0,0
COL4A4,0,0,3,0,0
CTSH,0,0,3,0,0
ERICH3,0,0,3,0,3
FMO1,0,0,3,0,0
GCH1,0,0,3,0,0
GLDC,0,0,3,0,0
GPR183,0,0,3,0,0
GPR34,0,0,3,0,0
GPR37,0,0,3,0,0
GRB14,0,0,3,0,0
GSTA2,0,0,3,0,0
GSTM3,0,0,3,0,0
IL1RAP,0,0,3,0,0
IL21R,0,0,3,0,0
KCNN4,0,0,3,0,0
LRP1,0,0,3,0,0
MECOM,0,0,3,0,0
MICB,0,0,3,0,0
MT-ND2,0,0,3,0,0
MT-ND4,0,0,3,0,0
MT-ND4L,0,0,3,0,0
MT-ND5,0,0,3,0,0
MYH6,0,0,3,0,0
MYL3,0,0,3,0,0
NT5C1A,0,0,3,0,0
P4HA1,0,0,3,0,0
PHEX,0,0,3,0,0
RCAN1,0,0,3,0,0
RGS5,0,0,3,0,0
RHBDF2,0,0,3,0,0
SLAMF7,0,0,3,0,0
SLC22A11,0,0,3,0,0
SLC2A2,0,0,3,0,0
SLC47A2,0,0,3,0,3
SLFN11,0,0,3,0,0
SPHK2,0,0,3,0,0
TGFA,0,0,3,0,0
TMSB10,0,0,3,0,0
UMOD,0,0,3,0,0
ACY3,0,0,2,0,0
AGBL4,0,0,2,0,0
AK4,0,0,2,0,2
ALDH1L1,0,0,2,0,0
ANGPTL3,0,0,2,0,0
AQP6,0,0,2,0,0
BHMT,0,0,2,0,0
BHMT2,0,0,2,0,0
BIRC7,0,0,2,0,0
BMPR1B,0,0,2,0,0
CA10,0,0,2,0,0
CARD16,0,0,2,0,0
CD52,0,0,2,0,0
CD6,0,0,2,0,0
CEBPB,0,0,2,0,0
COL26A1,0,0,2,0,0
COL4A3,0,0,2,0,2
COL5A3,0,0,2,0,0
CTSW,0,0,2,0,0
DOCK2,0,0,2,0,0
ECHS1,0,0,2,0,0
EGR1,0,0,2,0,0
FABP7,0,0,2,0,0
FBP1,0,0,2,0,0
GALNT3,0,0,2,0,0
GRB7,0,0,2,0,0
HLA-DOB,0,0,2,0,0
HRG,0,0,2,0,0
IL12RB1,0,0,2,0,0
INPP5D,0,0,2,0,0
INSRR,0,0,2,0,0
IRF6,0,0,2,0,0
KCNN1,0,0,2,0,0
LPAR3,0,0,2,0,0
MAG,0,0,2,0,0
MYOM2,0,0,2,0,0
NAGS,0,0,2,0,0
OXT,0,0,2,0,0
PADI3,0,0,2,0,0
PAPPA,0,0,2,0,0
PARD3B,0,0,2,0,0
PC,0,0,2,0,0
PDCD1LG2,0,0,2,0,0
PDE1A,0,0,2,0,0
PEBP1,0,0,2,0,0
PLK2,0,0,2,0,0
PPP1R13L,0,0,2,0,0
PPP1R18,0,0,2,0,0
PPP1R1B,0,0,2,0,0
PRDM16,0,0,2,0,0
PTGDS,0,0,2,0,0
RBP4,0,0,2,0,0
RUNX3,0,0,2,0,0
SELPLG,0,0,2,0,0
SLC15A3,0,0,2,0,0
SLC26A9,0,0,2,0,0
SLC30A8,0,0,2,0,0
SLC36A2,0,0,2,0,0
SLC4A1,0,0,2,0,0
TNFSF14,0,0,2,0,0
UPB1,0,0,2,0,0
VIPR2,0,0,2,0,0
ADAMTSL2,0,0,1,0,1
ADGRE2,0,0,1,0,0
ALAD,0,0,1,0,0
ALDOB,0,0,1,0,0
ALDOC,0,0,1,0,0
ANO2,0,0,1,0,0
APBB1IP,0,0,1,0,0
ARHGAP28,0,0,1,0,0
BCL2L10,0,0,1,0,0
BIK,0,0,1,0,0
C1QA,0,0,1,0,0
CARD9,0,0,1,0,0
CAT,0,0,1,0,0
CD244,0,0,1,0,0
CD72,0,0,1,0,0
CD84,0,0,1,0,0
CDH4,0,0,1,0,0
CDKN1C,0,0,1,0,0
CHN2,0,0,1,0,0
CLCNKA,0,0,1,0,0
CLNK,0,0,1,0,0
CPN2,0,0,1,0,0
CUBN,0,0,1,0,0
CYSLTR2,0,0,1,0,0
DDAH1,0,0,1,0,0
DIO1,0,0,1,0,0
DOCK10,0,0,1,0,0
ELF5,0,0,1,0,0
EOMES,0,0,1,0,0
FYB1,0,0,1,0,0
GK,0,0,1,0,0
GPR27,0,0,1,0,0
GRAMD1B,0,0,1,0,0
GRID1,0,0,1,0,0
GZMH,0,0,1,0,0
HGD,0,0,1,0,0
HPCA,0,0,1,0,0
HSD3B7,0,0,1,0,0
HYKK,0,0,1,0,0
IKZF3,0,0,1,0,0
IL10RA,0,0,1,0,0
IL1RL1,0,0,1,0,0
IL9R,0,0,1,0,0
KCNIP1,0,0,1,0,0
KCNJ12,0,0,1,0,0
KCNJ2,0,0,1,0,1
KCNMB2,0,0,1,0,0
KHK,0,0,1,0,0
KIRREL2,0,0,1,0,1
KISS1R,0,0,1,0,0
KL,0,0,1,0,0
KLK7,0,0,1,0,1
LAMA3,0,0,1,0,0
LAMA4,0,0,1,0,0
LGALS9,0,0,1,0,0
LHFPL3,0,0,1,0,1
LINGO1,0,0,1,0,0
LPAR5,0,0,1,0,0
LST1,0,0,1,0,0
MARCKS,0,0,1,0,0
MCAM,0,0,1,0,0
MYH14,0,0,1,0,0
NCF1,0,0,1,0,0
NCF2,0,0,1,0,0
NELL1,0,0,1,0,0
NLGN1,0,0,1,0,0
NPHS1,0,0,1,0,1
NR4A3,0,0,1,0,0
NRP2,0,0,1,0,1
OSMR,0,0,1,0,0
OVOL2,0,0,1,0,0
OXER1,0,0,1,0,1
P2RY10,0,0,1,0,0
P2RY13,0,0,1,0,0
P2RY8,0,0,1,0,0
PCYT2,0,0,1,0,0
PDZRN3,0,0,1,0,0
PEBP4,0,0,1,0,0
POU2F2,0,0,1,0,0
PRDX4,0,0,1,0,0
PREX2,0,0,1,0,0
PROM1,0,0,1,0,0
PROZ,0,0,1,0,0
PSORS1C2,0,0,1,0,0
PTPN13,0,0,1,0,0
QPRT,0,0,1,0,0
RSPO3,0,0,1,0,0
SCN1B,0,0,1,0,0
SIGLEC10,0,0,1,0,0
SLAMF6,0,0,1,0,0
SLC12A5,0,0,1,0,0
SLC14A1,0,0,1,0,0
SLC16A3,0,0,1,0,0
SLC19A3,0,0,1,0,0
SLC1A3,0,0,1,0,0
SLC25A10,0,0,1,0,0
SLC38A1,0,0,1,0,0
SLC44A4,0,0,1,0,0
SOAT2,0,0,1,0,0
SORCS2,0,0,1,0,0
STK33,0,0,1,0,0
TAPBP,0,0,1,0,0
TCF19,0,0,1,0,0
TNFAIP3,0,0,1,0,0
TYRP1,0,0,1,0,0
UBASH3B,0,0,1,0,0
USP9Y,0,0,1,0,0
NGF,0,0,0,8,8
FGF19,0,0,0,2,0
HSD3B1,0,0,0,2,0
RTKN2,0,0,0,1,1
ACTA2,0,0,0,0,33
BST2,0,0,0,0,19
ICAM1,0,0,0,0,6
COL16A1,0,0,0,0,2
GMNN,0,0,0,0,480
RGS4,0,0,0,0,102
CCKBR,0,0,0,0,44
AMY2B,0,0,0,0,38
GLRA1,0,0,0,0,34
HPSE,0,0,0,0,18
PTGES,0,0,0,0,18
GHRL,0,0,0,0,17
PTGER4,0,0,0,0,17
C5,0,0,0,0,16
EPHA8,0,0,0,0,14
GEM,0,0,0,0,11
DOK5,0,0,0,0,10
DKK1,0,0,0,0,9
PRB2,0,0,0,0,7
TFF2,0,0,0,0,6
LRRC32,0,0,0,0,5
H1-1,0,0,0,0,4
MIA,0,0,0,0,3
ARSL,0,0,0,0,2
IGFBP5,0,0,0,0,2
MFGE8,0,0,0,0,2
PLA2G5,0,0,0,0,2
CST4,0,0,0,0,1
ETV1,0,0,0,0,1
HOXA5,0,0,0,0,1
HOXC4,0,0,0,0,1
HSD17B3,0,0,0,0,1
IL22RA1,0,0,0,0,1
PI3,0,0,0,0,1
PNMT,0,0,0,0,1
SULF2,0,0,0,0,1
TENM4,0,0,0,0,1
