Symbol,colorectal,esophagus,kidney,liver,pancreatic
EPHB3,58,0,0,0,0
SCN7A,57,57,57,0,0
DPT,55,55,55,0,0
CHRM5,51,0,0,0,0
DPP6,51,51,51,0,0
CNR2,50,0,0,0,0
RAD54L,50,50,50,0,0
NAT2,48,0,48,0,0
ROS1,47,47,0,0,47
AOC1,46,0,46,0,0
ANK3,45,0,45,0,0
CHRNA7,45,0,0,0,0
NRG1,45,45,45,0,0
OPRD1,44,0,0,0,0
HDAC9,43,0,0,0,0
BLK,42,0,0,0,0
CACNA1H,42,0,0,42,0
AQP8,41,0,0,0,0
NTRK3,41,41,41,0,0
BCHE,40,0,40,0,0
XDH,39,0,0,0,0
ASIC1,38,0,0,0,0
MAPK10,38,0,38,0,0
ANK2,37,0,37,0,0
HTR4,37,0,0,0,0
EPHX2,36,36,36,0,0
NR3C2,36,36,36,0,0
FMO5,32,0,32,0,0
ACACB,31,0,31,0,0
EYA2,31,31,31,0,0
MS4A2,31,0,31,31,0
PDE5A,31,0,0,0,0
TG,31,0,0,0,0
CNR1,30,0,0,0,0
HTR7,30,0,0,0,0
PDE4C,29,29,0,0,0
ALPI,26,0,0,0,0
ANXA3,26,26,26,0,0
CA2,26,0,26,0,0
HTR1D,26,26,26,0,0
TRPV4,26,0,26,0,0
USP2,26,26,26,0,0
APOBEC1,25,25,0,0,0
APOC2,25,25,0,0,0
F2R,25,25,0,0,0
SLCO1B3,25,25,0,0,0
ELANE,24,0,0,0,0
MAP3K20,24,0,0,0,0
GRIK2,23,0,23,0,0
LTK,23,0,23,0,0
COL12A1,22,22,0,0,22
EDNRA,22,0,0,0,22
EPHA7,22,0,0,0,0
PDE3A,22,0,0,0,0
ADCYAP1R1,21,21,0,0,0
ARG1,21,21,0,0,21
CDC25B,21,21,0,0,0
CHRNA1,21,0,0,0,0
MYCN,21,0,21,0,0
TH,21,0,0,0,0
ABCC8,20,0,20,0,0
CA1,20,20,0,0,0
CAMK2B,20,0,20,0,0
SLC2A1,20,20,20,0,0
ABCD2,19,0,0,0,0
ADORA3,19,0,19,0,0
CTPS1,19,0,0,0,0
PTGDR2,19,0,0,0,0
SLC26A3,19,0,19,0,0
AMPD1,18,18,0,0,0
KCNQ5,18,0,0,0,0
OXTR,18,0,0,0,0
TNFRSF17,18,0,0,0,0
TYRO3,18,18,18,0,0
AMH,17,0,17,0,0
CASP7,17,0,0,0,0
FABP1,17,0,17,0,0
FOLR1,17,0,17,0,0
GLRA2,17,0,0,0,0
GPM6B,17,0,17,0,0
SSTR2,17,0,17,0,0
COL11A1,16,16,16,0,0
EFNA3,16,0,16,0,0
NPFFR1,16,0,16,0,0
P2RY12,16,0,16,0,0
TUB,16,0,16,0,0
CACNA1A,15,0,0,0,0
COL10A1,15,15,0,0,0
FPR1,15,15,15,0,0
GRM8,15,0,15,0,0
IMPDH1,15,0,0,0,0
KCNA5,15,15,0,0,0
PRKCB,15,0,0,0,0
UGT1A5,15,0,0,0,0
ASGR1,14,0,0,0,0
CA12,14,0,0,0,0
CA9,14,14,14,0,0
CTNNA2,14,0,0,0,0
FCER1A,14,14,0,0,0
GRIK4,14,0,0,0,0
NMUR1,14,14,0,0,0
NOD2,14,0,14,0,0
NR2E3,14,14,0,0,0
RYR1,14,0,0,0,0
SGK2,14,0,14,0,0
CA4,13,0,13,0,0
CTSV,13,0,13,0,0
CYP27B1,13,13,13,0,0
DNER,13,0,13,0,0
DPEP1,13,0,13,0,13
FAP,13,13,13,0,0
HKDC1,13,13,0,0,0
PTH1R,13,0,13,0,0
ATP2A3,12,0,0,0,0
AZGP1,12,0,12,0,12
FOLR2,12,0,0,0,0
FPR2,12,12,0,0,0
GPR55,12,0,12,0,0
TTR,12,0,0,0,0
ABCB11,11,0,0,0,0
ACADS,11,0,0,0,0
AQP7,11,11,11,0,0
GRIK5,11,0,11,0,0
OCA2,11,11,0,0,0
PCSK9,11,11,0,0,0
PRKAA2,11,11,0,0,0
RXRG,11,11,0,0,0
SELE,11,11,11,0,0
SSTR1,11,0,11,0,0
SSTR5,11,0,0,0,0
TP73,11,0,11,0,0
BMP7,10,0,10,0,0
NPY1R,10,10,10,0,0
RIPK2,10,0,0,0,0
SLC28A2,10,0,10,0,0
TLR3,10,10,10,0,0
TRPV6,10,10,10,0,0
ACVRL1,9,0,0,0,0
CACNG4,9,9,0,0,0
GHR,9,0,9,0,0
KCNMA1,9,0,9,0,0
MMP12,9,9,0,0,0
MSLN,9,0,0,0,0
PLIN1,9,0,0,0,0
PTGDR,9,0,0,0,0
SCNN1G,9,9,9,0,0
ADGRL3,8,0,0,0,0
COL19A1,8,8,8,0,8
CTSG,8,8,0,0,0
IL11,8,8,0,0,0
IL23A,8,0,0,0,0
MMP13,8,8,0,0,8
PDE9A,8,0,0,0,0
RYR3,8,0,8,0,0
SCNN1B,8,8,8,0,0
SI,8,0,0,0,0
SLC26A2,8,0,0,0,0
SLCO1C1,8,0,0,0,0
SRMS,8,0,0,0,0
SSTR3,8,0,0,0,0
TPH1,8,0,0,0,0
ATP1A2,7,7,7,0,0
CEL,7,0,7,0,0
CNN1,7,0,0,0,0
CPS1,7,0,0,0,0
DDIT4,7,0,7,0,0
DHRS9,7,7,7,0,0
DMD,7,0,0,0,0
GDF15,7,0,0,0,0
GRIK3,7,7,7,0,0
KCNA3,7,0,7,0,0
KCNK3,7,0,7,0,0
KLKB1,7,0,7,0,0
MT1H,7,7,7,0,7
MUC2,7,0,0,0,0
NEFM,7,0,0,0,0
SCD,7,0,7,0,7
SLC10A1,7,0,0,0,0
SLC28A3,7,0,0,0,0
TNFRSF11B,7,7,0,0,0
ATP1B2,6,0,6,0,0
BCL2A1,6,6,6,0,0
BMX,6,0,0,0,0
CSE1L,6,0,0,0,0
DNMT3B,6,6,0,0,0
EYA4,6,0,6,0,0
F12,6,0,6,0,0
FBLN2,6,0,0,0,0
GGTA1,6,6,6,0,0
GJB3,6,0,0,0,0
HCAR2,6,0,6,0,6
KCNA6,6,0,0,0,0
KCNB1,6,6,0,0,0
KCNG1,6,0,0,0,0
KCNG3,6,6,0,0,0
KCNH1,6,0,0,0,0
KCNH4,6,0,0,0,0
KCNH8,6,0,0,0,0
KCNT2,6,0,0,0,0
KIF1A,6,0,6,0,0
LIPC,6,0,0,0,0
MCOLN2,6,0,6,0,0
MIF,6,0,0,0,0
MTNR1A,6,0,6,0,0
RPS6KA6,6,6,6,0,0
SERPINH1,6,6,6,0,6
TFAP2A,6,0,6,0,0
AREG,5,0,0,0,0
CMA1,5,5,0,0,0
CNTFR,5,5,5,0,0
CSMD1,5,0,5,0,0
DAO,5,0,5,0,0
EREG,5,5,0,0,0
FCER2,5,5,0,0,0
GCNT2,5,0,0,0,0
H2AC25,5,0,5,0,0
KCNK10,5,0,5,0,5
MPPED2,5,0,5,0,0
NAAA,5,5,0,0,0
NME1,5,0,0,0,0
PAH,5,0,5,0,0
SCTR,5,0,5,0,0
SLC15A1,5,0,5,0,0
SRI,5,0,0,0,0
TDO2,5,5,5,0,0
TOP1MT,5,0,0,0,0
AKR1B10,4,0,0,0,0
AOC3,4,0,0,0,0
ATP6V1G2,4,0,0,0,0
C2,4,4,4,0,0
C4BPA,4,0,0,0,0
C4BPB,4,0,0,0,0
C6,4,4,0,0,4
C7,4,4,4,0,0
C8G,4,0,0,0,0
CAPN5,4,4,4,0,0
CDK15,4,0,0,0,0
CEACAM1,4,4,4,0,0
COL7A1,4,4,0,0,0
CPB1,4,0,0,0,0
CYP4B1,4,4,0,0,0
DSG1,4,4,0,0,0
F2RL2,4,4,0,0,0
FRZB,4,0,0,0,0
GFRA2,4,0,0,0,0
GLP2R,4,0,0,0,0
GPA33,4,0,4,0,0
GPT,4,0,4,0,4
GZMM,4,0,4,0,0
IL13RA2,4,4,4,0,0
IL1RN,4,4,0,0,0
IL33,4,4,0,0,0
KLB,4,4,4,0,0
LGR6,4,0,4,0,0
MUC5AC,4,0,0,0,0
NGFR,4,0,0,0,0
PDE2A,4,0,0,0,0
PDE7B,4,0,4,0,0
RNASEH2A,4,0,4,0,0
SLC22A3,4,0,4,0,0
SLC9A3,4,0,4,0,0
SMPD1,4,0,0,0,0
SPHK1,4,0,0,0,0
SQLE,4,0,0,0,0
SULT2B1,4,4,0,0,0
TNNI3,4,4,0,0,0
TNNT2,4,0,4,0,0
TPO,4,0,0,0,0
ASPA,3,3,3,0,0
CA7,3,0,0,0,0
CFB,3,0,0,0,0
CLMN,3,0,3,0,0
CNGA1,3,3,3,0,0
COL8A1,3,3,3,0,0
DES,3,3,3,0,0
DKC1,3,0,0,0,0
DNASE1L3,3,3,3,0,0
E2F7,3,3,3,0,3
EBF1,3,0,0,0,0
EMX1,3,3,3,0,0
F13A1,3,0,0,0,0
FABP2,3,0,0,0,0
FMO2,3,3,0,0,0
GIPR,3,0,0,0,0
GP2,3,0,3,0,0
GUCA2A,3,0,0,0,0
HSPD1,3,0,0,0,0
LPAR1,3,0,0,0,0
LPAR4,3,0,0,0,0
LRP1B,3,0,0,0,0
LRRC15,3,3,3,0,3
MT-ND6,3,0,3,0,0
MYLK,3,0,0,0,0
NDUFA4L2,3,0,3,0,0
NEDD4L,3,0,3,0,0
NEUROD1,3,0,0,0,0
NPY4R,3,0,0,0,3
OTC,3,0,0,0,0
P2RY1,3,0,3,0,0
P2RY4,3,0,0,0,0
PADI2,3,0,3,0,0
PDK4,3,0,0,0,3
PLA2G10,3,0,0,0,0
PPAT,3,0,0,0,0
PRSS2,3,0,0,0,0
PSCA,3,3,0,0,0
PTPRZ1,3,0,3,0,0
S100B,3,0,0,0,0
SGK1,3,0,0,0,0
SLC22A5,3,0,0,0,0
SLCO4C1,3,0,0,0,0
SMOX,3,0,0,0,0
SNAP91,3,0,0,0,0
SULT1A2,3,0,3,0,0
TDP2,3,0,0,0,0
THY1,3,3,0,0,3
TRIB3,3,0,3,0,0
TRPV3,3,3,0,0,0
VAMP2,3,0,0,0,0
ACKR1,2,2,0,0,0
ADAM33,2,0,2,0,0
APLN,2,2,2,0,2
BHLHE40,2,0,0,0,0
CCL14,2,2,2,0,0
CD1A,2,2,0,0,0
CDH3,2,2,2,0,0
CDKN2B,2,2,2,0,0
CFD,2,2,0,0,0
CHI3L1,2,2,0,0,0
CLCN4,2,0,0,0,0
COL28A1,2,0,2,2,0
COL4A5,2,0,2,0,0
COL4A6,2,0,2,0,0
COMP,2,0,0,0,2
CRABP1,2,0,0,0,0
CTNND2,2,0,0,0,2
CYP4X1,2,2,0,0,0
DCLK1,2,0,2,0,0
DSC3,2,0,2,0,0
ETV4,2,2,0,0,0
FABP4,2,0,0,0,0
GFRA1,2,2,0,0,0
GNG4,2,0,0,0,0
GPER1,2,0,0,0,0
GPR17,2,0,2,0,0
GPR84,2,2,0,0,0
GUCA2B,2,0,0,0,0
HAMP,2,0,0,0,0
HCAR3,2,0,0,0,2
HLA-G,2,0,2,0,0
HMGCS2,2,2,2,0,0
HOXD1,2,0,2,0,0
HPN,2,0,0,0,0
HSD11B2,2,0,2,0,0
IL11RA,2,0,0,0,0
IL1R2,2,0,0,0,0
INHBA,2,2,2,0,2
KLF4,2,0,0,0,0
KRT17,2,2,0,0,0
KRT20,2,0,0,0,0
LOXL2,2,2,2,0,0
LPA,2,0,2,0,0
MADCAM1,2,2,0,0,0
MOGAT2,2,0,2,0,0
MT1A,2,2,2,0,0
MT1F,2,0,2,0,0
MT2A,2,0,2,0,0
MUSK,2,2,0,0,0
NBEA,2,0,0,0,0
NECAB1,2,0,2,0,0
NECTIN4,2,0,2,0,0
NELFCD,2,0,0,0,0
NPC1L1,2,0,2,0,0
NR5A2,2,0,0,0,0
NRG2,2,2,0,0,0
NRXN1,2,2,0,0,0
OSM,2,2,2,0,2
PADI1,2,2,2,0,0
PANX2,2,0,0,0,0
PCSK5,2,0,0,0,0
PDE1C,2,0,0,0,0
PDE6A,2,0,0,0,0
PDGFD,2,0,2,0,0
PER1,2,0,0,0,0
