Symbol,n_cancers_druggable,cancer_list,mean_n_drugs,mean_lfc,gene_family,any_hub
CD70,2,esophagus|kidney,12,1.74421279763603,Other,FALSE
FPR2,2,colorectal|esophagus,12,-2.27491508941336,Other,FALSE
GC,2,esophagus|kidney,12,-0.33511117407881,Other,FALSE
GPR55,2,colorectal|kidney,12,1.52682330897882,Other,FALSE
KCNJ1,2,esophagus|kidney,12,-2.0271283440806,Other,FALSE
PNPLA3,2,esophagus|kidney,12,-1.57679727412508,Other,FALSE
TRPA1,2,esophagus|kidney,12,0.38542816196542,Other,FALSE
XCR1,2,esophagus|kidney,12,1.37963983456204,Other,TRUE
FGA,2,esophagus|pancreatic,11,2.04031128390114,Other,FALSE
GRIK5,2,colorectal|kidney,11,-0.487594709967405,Other,FALSE
OCA2,2,colorectal|esophagus,11,-0.05490334653223,Other,FALSE
PCSK9,2,colorectal|esophagus,11,-2.07927362250523,Other,FALSE
PRKAA2,2,colorectal|esophagus,11,1.30959510212186,Other,FALSE
PROC,2,esophagus|kidney,11,-2.06837358260243,Other,FALSE
RXRG,2,colorectal|esophagus,11,2.20735135874908,Receptor,FALSE
SSTR1,2,colorectal|kidney,11,-0.04222416147038,Other,FALSE
TP73,2,colorectal|kidney,11,-0.032825503601425,Other,FALSE
ACE2,2,esophagus|kidney,10,-0.22069584208516,Other,FALSE
ACP3,2,esophagus|kidney,10,-0.877315228653575,Other,FALSE
ADH6,2,colorectal|kidney,10,-0.927423205921435,Other,TRUE
BMP7,2,colorectal|kidney,10,-2.80841111903026,Other,FALSE
C1S,2,esophagus|kidney,10,-0.0724790659960101,Other,FALSE
COL9A2,2,esophagus|kidney,10,-1.4647701578974,Other,FALSE
FPR3,2,esophagus|kidney,10,0.456707925580355,Other,FALSE
GSTA1,2,colorectal|kidney,10,-0.354812461975185,Other,TRUE
SLC28A2,2,colorectal|kidney,10,-0.14007586622141,Transporter,FALSE
BDKRB1,2,esophagus|kidney,9,-0.28130464297668,Other,FALSE
CACNG4,2,colorectal|esophagus,9,-2.19776291075256,Other,FALSE
CACNG8,2,colorectal|kidney,9,-0.2786982748056,Other,TRUE
CTSK,2,esophagus|pancreatic,9,-0.101928582664625,Other,FALSE
CYP24A1,2,esophagus|kidney,9,-1.84343761690786,Other,FALSE
GHR,2,colorectal|kidney,9,0.082290631062645,Other,FALSE
GPC3,2,esophagus|kidney,9,-2.77491961883181,Other,FALSE
IL1A,2,colorectal|esophagus,9,-0.411347951925755,Growth Factor/Cytokine,TRUE
KCNMA1,2,colorectal|kidney,9,1.52477615987516,Other,FALSE
MMP12,2,colorectal|esophagus,9,-3.28446397371089,Protease,FALSE
ADM,2,kidney|pancreatic,8,1.38202569691958,Other,FALSE
BTC,2,esophagus|kidney,8,0.14822503162715,Other,FALSE
CCL21,2,colorectal|kidney,8,-0.020016402058615,Other,TRUE
CTSG,2,colorectal|esophagus,8,1.93052769224173,Other,FALSE
CXCL12,2,colorectal|kidney,8,0.11771289041327,Other,TRUE
IL11,2,colorectal|esophagus,8,-2.70546716712692,Growth Factor/Cytokine,FALSE
ITGA5,2,esophagus|kidney,8,0.17811403664718,Other,TRUE
KCNA2,2,esophagus|pancreatic,8,0.02410319173902,Other,FALSE
NGF,2,liver|pancreatic,8,1.81441738464726,Other,FALSE
PLAUR,2,esophagus|kidney,8,-0.41473340112818,Other,FALSE
RYR3,2,colorectal|kidney,8,0.12073140463983,Other,FALSE
UGT2B15,2,colorectal|kidney,8,-0.15328265854026,Other,TRUE
C5AR1,2,esophagus|pancreatic,7,-0.408790329202025,Other,FALSE
CAMK2A,2,colorectal|kidney,7,-0.71053534303858,Other,TRUE
CDA,2,esophagus|pancreatic,7,2.32125573957726,Other,FALSE
CEL,2,colorectal|kidney,7,-2.28667996190192,Other,FALSE
DDIT4,2,colorectal|kidney,7,0.24711655274315,Other,FALSE
DOCK3,2,esophagus|kidney,7,0.1055873021863,Other,FALSE
ESRRG,2,esophagus|kidney,7,-0.47247129091839,Receptor,FALSE
FCGR2A,2,esophagus|kidney,7,0.21912189292217,Other,TRUE
GCKR,2,esophagus|pancreatic,7,1.63962281325917,Other,FALSE
KCNA3,2,colorectal|kidney,7,1.23988252662931,Other,FALSE
KCNK3,2,colorectal|kidney,7,2.04836359402675,Other,FALSE
KLKB1,2,colorectal|kidney,7,-0.105978920792625,Kinase,FALSE
MMP14,2,esophagus|kidney,7,0.140876136866705,Protease,FALSE
MMP7,2,colorectal|esophagus,7,-4.14156212825081,Protease,TRUE
NUAK1,2,esophagus|pancreatic,7,-0.053725106803615,Other,FALSE
TNFRSF11B,2,colorectal|esophagus,7,-1.58191962600994,Other,FALSE
ALOX5AP,2,kidney|pancreatic,6,1.18352429007794,Other,FALSE
ATP1B2,2,colorectal|kidney,6,0.28307342675187,Other,FALSE
CXCR1,2,colorectal|pancreatic,6,0.086449102459375,Other,TRUE
DLX5,2,esophagus|kidney,6,0.97474507766837,Other,FALSE
DNMT3B,2,colorectal|esophagus,6,-1.51970913695502,Epigenetic,FALSE
EYA4,2,colorectal|kidney,6,-0.60830872059569,Other,FALSE
F12,2,colorectal|kidney,6,-1.12158401908024,Other,FALSE
KCNB1,2,colorectal|esophagus,6,2.27923832860245,Other,FALSE
KCND2,2,esophagus|pancreatic,6,-0.29187593444523,Other,FALSE
KCNG3,2,colorectal|esophagus,6,-0.50578944871598,Other,FALSE
KIF1A,2,colorectal|kidney,6,0.10123563818261,Other,FALSE
MCOLN2,2,colorectal|kidney,6,1.19147496960091,Other,FALSE
MTNR1A,2,colorectal|kidney,6,-0.91902850769422,Other,FALSE
PTHLH,2,esophagus|kidney,6,0.52870740911695,Other,FALSE
TFAP2A,2,colorectal|kidney,6,-1.62958124747223,Other,FALSE
ALDH1A2,2,esophagus|kidney,5,-0.685533946246975,Other,TRUE
ARSF,2,esophagus|kidney,5,0.252634172902325,Other,FALSE
C3AR1,2,esophagus|kidney,5,0.389017326315815,Other,FALSE
CD276,2,esophagus|kidney,5,-0.23340736917018,Other,FALSE
CMA1,2,colorectal|esophagus,5,2.2448411651952,Other,FALSE
CSMD1,2,colorectal|kidney,5,-0.256396453695185,Other,FALSE
CSPG4,2,esophagus|kidney,5,0.187629344407955,Other,FALSE
DAO,2,colorectal|kidney,5,-0.19557848601903,Other,FALSE
EREG,2,colorectal|esophagus,5,-0.207596766115105,Other,FALSE
FCER2,2,colorectal|esophagus,5,2.01684708109621,Other,FALSE
FCGR1A,2,colorectal|kidney,5,0.67464200903201,Other,TRUE
H2AC25,2,colorectal|kidney,5,0.24357037301233,Other,FALSE
MPPED2,2,colorectal|kidney,5,-0.574124577895455,Other,FALSE
NAAA,2,colorectal|esophagus,5,1.28418008696951,Other,FALSE
PAH,2,colorectal|kidney,5,-4.2646462539298,Other,FALSE
PBK,2,esophagus|kidney,5,0.519466887722585,Other,TRUE
S1PR5,2,kidney|pancreatic,5,1.51683088504729,Other,FALSE
SCNN1A,2,esophagus|kidney,5,-0.474801668086985,Ion Channel,FALSE
SCTR,2,colorectal|kidney,5,0.14022268810708,Other,FALSE
SLC15A1,2,colorectal|kidney,5,0.0630830494421501,Transporter,FALSE
SLC29A2,2,kidney|pancreatic,5,-1.20193446934061,Transporter,FALSE
SLC2A3,2,esophagus|pancreatic,5,0.0326562934621399,Transporter,FALSE
SLC6A1,2,esophagus|kidney,5,1.25363396490497,Transporter,FALSE
AEBP1,2,esophagus|pancreatic,4,-0.11700872339282,Other,FALSE
CDC25C,2,esophagus|kidney,4,0.118404387440815,Other,TRUE
CDSN,2,esophagus|kidney,4,0.47315568720959,Other,TRUE
CES2,2,colorectal|esophagus,4,1.44311375882194,Other,TRUE
COL6A3,2,esophagus|kidney,4,-0.41529730122345,Other,TRUE
COL7A1,2,colorectal|esophagus,4,-1.48636998960385,Other,FALSE
COL8A2,2,kidney|pancreatic,4,1.52607489900238,Other,FALSE
CR2,2,colorectal|kidney,4,-0.406025163345375,Other,TRUE
CTH,2,kidney|pancreatic,4,-1.61455251882838,Other,FALSE
CXCL1,2,colorectal|esophagus,4,-2.18173727287468,Other,TRUE
CYP4A11,2,esophagus|kidney,4,-0.764674474919785,Other,TRUE
CYP4B1,2,colorectal|esophagus,4,2.81487805131168,Other,FALSE
DSG1,2,colorectal|esophagus,4,-0.0666175739272651,Other,TRUE
F2RL2,2,colorectal|esophagus,4,-1.4074809376871,Other,FALSE
GPA33,2,colorectal|kidney,4,0.071086387963855,Other,FALSE
GZMM,2,colorectal|kidney,4,1.23730937202662,Other,FALSE
IGF2BP2,2,esophagus|kidney,4,-1.98262207768788,Growth Factor/Cytokine,FALSE
IL1RN,2,colorectal|esophagus,4,0.666351449905015,Growth Factor/Cytokine,FALSE
IL33,2,colorectal|esophagus,4,0.09567124433569,Growth Factor/Cytokine,FALSE
