"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","cancer"
"HDGF","HDGF","70/1115","929/27022",0.0753498385360603,1.82610164746316,5.31568109106262,9.83701844979455e-07,6.72852061965948e-05,6.564915470705e-05,"NCAPG/PTPRU/SLC2A1/PKM/CTHRC1/PTPN7/NKPD1/SPN/PCLAF/CHEK2/ITGB2/CORO1A/ALDOA/CDON/ATAD2/PGF/SHMT2/ADAMTS14/RHBDF2/FCHO1/TAPBP/EBI3/IL2RB/KLHL6/RAB7B/KISS1R/HROB/CCL5/APOBEC3C/RASSF2/COLGALT1/HLA-A/APOBEC3G/SLC16A3/SLC38A5/SCARB1/PFKP/CCND2/AKNA/CDC25C/CCDC88B/NT5DC4/LSP1/SDC3/PTPN22/PNCK/PDCD1/RUBCNL/NEK6/VEGFA/KRBA1/C11orf21/APOBR/FOXS1/TSPAN32/ITGA5/ISG20/APOBEC3D/RGCC/FCMR/MCAM/NTNG2/PLAUR/TMEM91/RIMBP3/RASGRP4/KIAA0319/YPEL4/RUFY4/GPR55",70,"kidney"
"ZNF623","ZNF623","41/1115","481/27022",0.0852390852390852,2.06576731957898,4.89278211332108,1.06830454013585e-05,0.000608933587877437,0.000594127261794852,"BTN2A2/GXYLT2/TUBA1B/IGSF21/AURKB/CARD11/NCKAP1L/S1PR5/IL12RB1/ALDOA/PPFIA4/FCHO1/COL1A1/IL2RB/SLA/SLC15A3/VAV1/RHOH/CEACAM21/IL16/COLGALT1/PIK3R5/TGFB1/C3/CSF3R/PNCK/LINGO1/LIPA/NT5DC3/ITGA5/B4GALNT1/SCN1B/SLC6A1/DEPP1/SAXO5/ADA/VWCE/SCN4B/GRM4/KCNN1/CPLX2",41,"kidney"
"ZNF436","ZNF436","41/1115","515/27022",0.0796116504854369,1.92938656449998,4.41773127992857,5.15543484404113e-05,0.00251879816666009,0.00245755315121961,"PKMYT1/SLC2A1/CENPU/FSCN1/ADCY7/OSM/NKPD1/FIBCD1/ADAP2/AURKA/BRCA2/HLA-DPB1/TMEM132A/FCHO1/HPS3/ALOX5/KISS1R/DUSP10/CTSW/GRAP2/COL6A3/FERMT3/AKNA/LST1/TMC8/ITK/NEK6/P2RY1/CSF2RB/PLXND1/TMEM44/LRRC25/TBX21/PLOD2/SPOCD1/CD7/NCF4/TNFRSF18/SAXO5/UNC13A/SPDEF",41,"kidney"
"NFXL1","NFXL1","37/1115","473/27022",0.0782241014799154,1.89575934546213,4.07734456808915,0.000166936438056654,0.00655925998396546,0.00639977043680225,"STC2/SLC2A1/SERPINH1/FBXO41/BRIP1/RGS10/FIBCD1/IL21R/CORO1A/TYROBP/ALDOA/FCHO1/EBI3/CEACAM21/RTN4R/APOBEC3G/SLC16A3/SLC38A5/ATP8B3/CCND2/AKNA/IGF2BP3/PPP1R18/LINGO1/IFI30/ARRDC2/FOXS1/TSPAN32/SLC29A4/SCN1B/H2BC12/TNFRSF1B/CDK18/TMEM91/SAXO5/SOWAHD/UNC13A",37,"kidney"
"IGLV5_37","IGLV5_37","47/1115","653/27022",0.0719754977029096,1.74432457302962,3.99440132735715,0.000172612104841196,0.00655925998396546,0.00639977043680225,"TP73/C1QL4/PLXNC1/INHBA/WDR62/FSCN1/RUNX1/CHEK2/MYOF/ADAP2/CLEC2D/ALDOA/CDCA2/CDCA7/RAB7B/TGFBI/RTN4R/TIMP1/UBASH3B/PALD1/ATP8B3/CCND2/LAT2/CCDC88B/LSP1/COL23A1/PDCD1/GPNMB/NNMT/PADI1/NT5DC3/NRARP/MYC/PLOD2/OSMR/EGFR/ATP2B2/MYEOV/ZNF395/WNT10B/APBA2/COL21A1/LRRC15/IRF4/TLCD3B/GRIN2A/CPA4",47,"kidney"
"TERF2","TERF2","16/1115","141/27022",0.113475177304965,2.75006837769933,4.32236505385618,0.000242263399774604,0.00755508159551956,0.00737137847269837,"MTHFD1L/BUB1B/PRDM1/BTN3A1/INPP5D/PSMB10/KLHL6/HROB/LILRB1/IL16/CTSS/IFI16/CD28/SLC9A9/TLR3/ERICH3",16,"kidney"
"PSMB5","PSMB5","27/1115","311/27022",0.0868167202572347,2.10400126887085,4.06241487038209,0.000242999700440688,0.00755508159551956,0.00737137847269837,"STC2/ANLN/RRM2/PKM/FSCN1/PLK2/RPS2/ASF1B/TUBA1B/TMSB10/GAPDH/ALDOA/DDIT4/COL1A1/CD44/LGALS1/LDHA/CDC25C/VEGFA/SLFN11/PPP1R3C/TUBB3/H2BC12/ADM/SERPINE1/ADAMTS4/H3C10",27,"kidney"
"POU2AF1","POU2AF1","60/1115","940/27022",0.0638297872340425,1.54691346245587,3.54072074243633,0.000586608668640549,0.0167183470562556,0.0163118375402679,"PKMYT1/C1QTNF6/PAQR4/CEP170/CENPU/RUNX1/SGO2/BUB1/IKBIP/PTPN7/PLCB4/KIF15/EFNA3/HLA-DRA/KIF18B/GAPDH/DLGAP5/BRCA2/ALDOA/CDCA2/ATAD2/RHBDF2/INPP5D/FCHO1/CDCA7/UBE2T/PFKFB4/DUSP10/STMN3/ITGA4/CKLF-CMTM1/RHOH/CD37/MAP4K1/CDC45/CSF1R/DOK3/AKNA/IL4I1/C16orf54/TMC8/ARHGAP25/CD72/SDC3/VIM/RIN1/TSPAN32/P2RY8/PIM2/H2BC12/SH3BP1/PRAME/TNFRSF18/SOX11/APOLD1/ELAPOR1/TLCD3B/ENKUR/IGLL5/ATP1A3",60,"kidney"
"ADNP","ADNP","45/1115","661/27022",0.0680786686838124,1.64988500912464,3.50942437574381,0.000765548133889415,0.0201398047530908,0.0196501018982141,"C1QTNF6/KIF2C/SPC24/ADCY7/NKPD1/NCAPH/IL21R/LAPTM5/LILRB4/TYROBP/CD276/RASSF5/BTN3A1/ADAMTS14/RHBDF2/SELPLG/FCHO1/CCR5/VAV1/COL15A1/APOC1/LGALS1/CTSS/CDC45/GRAP2/LCP2/SCARB1/GAREM2/B2M/TMC8/CSF3R/JAML/NEK6/MATK/UBASH3A/AXL/OAS3/ADGRE1/ISG20/CYGB/EHD2/PLAUR/TMEM91/ADA/UNC13A",45,"kidney"
"ZNF16","ZNF16","10/1115","78/27022",0.128205128205128,3.10704840749684,3.86607575367848,0.00135509435503387,0.0331030192443988,0.0322981135748674,"KRT86/IGSF21/IL12RB1/KISS1R/VAV1/BCL11B/SIGLEC1/CYGB/SEMA6B/KCNN1",10,"kidney"
"IGLV5_37","IGLV5_37","23/241","653/27022",0.0352220520673813,3.94925431935593,7.23715409711023,2.58030130459381e-08,5.70246588315232e-06,5.6223407373781e-06,"NPTX1/ROR2/MX2/SSC5D/ADAMTS6/TGFBI/INHBA/TIMP1/COL16A1/CLEC11A/LRRC15/HOXB5/NNMT/FSCN1/NGF/RUNX1/GLI2/NUAK1/ADAMTSL2/GRIN1/TNNT1/HOXA1/MOV10L1",23,"pancreatic"
"PSMB5","PSMB5","11/241","311/27022",0.0353697749196141,3.96581766754279,4.99028562940873,0.000119800583714729,0.0132379645004776,0.0130519583310258,"TUBB3/TWIST1/ADM/IER5L/SLC2A3/DKK1/PKM/PMAIP1/COL1A1/FSCN1/CKS2",11,"pancreatic"
