"Symbol","Coefficient"
"CDK1",0.145140676704905
"CDC20",-0.0948289896851465
"CCNB2",0.184748683989693
"PLK1",-0.0807142771346529
"TOP2A",-0.00912860824766886
"CDC45",-0.281392560340673
"KIF2C",-0.0614244354032616
"CEP55",-0.00323121248412671
"KIF4A",0.602018462394101
"RRM2",0.142656772837211
"AURKA",0.0793468164645236
"HMMR",0.058311295072062
"ZWINT",-0.0559349169227413
"NEK2",0.137423570031931
"MCM10",-0.0140032316074394
"CDC6",-0.140164253381387
"MMP9",-0.00239990192431331
"SPAG5",-0.186980449840011
"NCAPH",-0.232063014244881
"KIFC1",-0.161860137404679
"BRCA1",-0.0551440936620381
"CDKN3",0.0961124488224986
"CXCL10",0.00890534838846589
"CDT1",0.577185801728304
"KIF18A",-0.154892372584068
"DEPDC1",-0.0797308903311496
"CDCA2",-0.058799934100374
"ECT2",0.063238702792063
"MMP2",-0.0842414622828737
"MCM7",-0.0435789390876463
"COL4A1",0.166007899999875
"APOE",0.228909346773426
"TACC3",-0.269016720947648
"COL6A1",-0.15413820157419
"TROAP",0.0943261176616881
"WDHD1",-0.0888159606759046
"SHCBP1",0.0540309411404981
