"Symbol","Normal","Tumor","MeanDecreaseAccuracy","MeanDecreaseGini"
"NEK2",7.60008199879867,1.90849667939304,6.0077704913693,1.19560477787273
"TPX2",6.06186839117583,-1.21609467945398,4.26548756218422,0.971519046843979
"UBE2C",5.10981933594423,2.38063799938615,4.14829282973618,0.828147117007589
"NUF2",4.9430137268414,0.904874896325055,3.85400614593989,0.793820786363078
"KIF18A",6.30816693384262,-1.31001038983633,4.09078547044943,0.744902334214781
"BIRC5",5.09565773970599,-2.19853663616141,4.16027553297722,0.639723861897597
"CDKN3",4.28198143121815,-0.944383729400623,2.58491962980683,0.605859088229925
"TRIP13",5.76726690905975,-0.652293546484625,4.19042327608652,0.551860166760132
"CDC20",5.2692958660746,-1.16988542225036,3.59525006323865,0.525716902731861
"KIF2C",4.98680915600002,-1.87738984945792,3.06919554603652,0.524439421311146
"CCNB2",5.53390797012417,-2.20429022467056,3.84431905050946,0.519808336952794
"BUB1",3.94854518958118,-0.0453631044801472,2.26891316090032,0.448664140060291
"KIF4A",3.35201912020436,1.75509032430321,2.58669110903805,0.447269332091896
"TROAP",3.64126742788211,-1.19070250536298,2.24456005224415,0.436420151962061
"FOXM1",3.73421124416891,3.26011625252456,3.47600839221103,0.393943102776669
"ASPM",4.08476056982647,-1.03274849938698,3.02027000899175,0.376436173247748
"CDCA5",3.21833477613435,2.88599472780376,3.0333975010362,0.327004599243638
"MAD2L1",3.60296982199852,0.478475042885774,2.80922759301197,0.294189009210613
"CDK1",3.1720793054402,2.83204664382109,2.97197347348106,0.294043022582657
"TOP2A",3.33019287306319,-0.607216628380042,2.00908160471087,0.288816456352194
"KIF20A",4.26842149053358,-2.02866864670514,2.71413137040166,0.28757071982782
"TTK",2.93501989487949,1.50302414462216,2.6698608771992,0.287189332516099
"CENPF",3.46554402630585,0.373028515233993,2.90496994779545,0.253961384231713
"SPAG5",2.73026526031874,1.93136139111549,2.24701188102595,0.229570409914705
"HMMR",2.79392015055278,2.49296069338772,2.62914735116974,0.22745081587375
"BGN",5.21209496477802,-1.96813278101793,4.37362852602906,0.213273714277572
"CKAP2L",2.44329624025323,2.40257112291007,2.40669277696633,0.19698378911987
"MCM2",1.8254883359084,-1.15865453863749,0.617127130196601,0.189717863263161
"MCM7",3.64921195068007,-2.41472158388671,2.50892916816018,0.167881448013869
