"Symbol","n","n_events","HR","HR_lo","HR_hi","pvalue","z","padj","pooled_log2FC","rem_padj","n_studies","Direction","Risk_aligned"
"MCM2",184,77,1.0122917530336,0.797211221269679,1.28539910869268,0.920147261364926,0.100248224290419,0.997715338829144,-1.69776849465704,6.82402915257968e-08,15,"Down","Down-High risk"
"WDHD1",184,77,0.985816949207456,0.73757261584401,1.31761271564105,0.923117883354197,-0.0965070394470372,0.997715338829144,-1.19968531433351,1.11147109540613e-05,15,"Down","Down-Protective"
"KIF14",184,77,1.01083130185974,0.798067897907842,1.28031703003978,0.92880942738114,0.0893428669264472,0.997715338829144,-1.60434439004981,1.84487589633239e-05,15,"Down","Down-High risk"
"MKI67",184,77,1.01181581951211,0.763926590064939,1.34014349798706,0.934707949822161,0.0819229933787439,0.997715338829144,-1.19504235550693,6.70286072186111e-05,16,"Down","Down-High risk"
"FEN1",184,77,1.01333338541049,0.735131478797025,1.39681754843069,0.93553308448005,0.080885408236181,0.997715338829144,-1.10779104419704,6.24753200350974e-09,16,"Down","Down-High risk"
"PLK1",184,77,0.989157940973878,0.742614627538949,1.31755205985404,0.940588500012098,-0.0745302148889606,0.997715338829144,-1.46627035790145,5.20823803490072e-07,15,"Down","Down-Protective"
"MCM10",184,77,1.00902215196024,0.795225643244945,1.28029787745774,0.941065255387761,0.0739310421228902,0.997715338829144,-1.51277181103272,1.7084994681879e-09,15,"Down","Down-High risk"
"CENPM",184,77,1.011296389054,0.74815053880181,1.36699812868088,0.941765576717729,0.0730509460102878,0.997715338829144,-1.12899263985398,1.37270349728864e-05,15,"Down","Down-High risk"
"COL3A1",184,77,0.994769790107985,0.863964789451355,1.14537877861885,0.94188269496546,-0.07290376866507,0.997715338829144,-2.90711789743622,7.62809512396837e-06,16,"Down","Down-Protective"
"ESPL1",184,77,1.010804493738,0.755007863138551,1.35326501145781,0.942451533932601,0.0721889561833655,0.997715338829144,1.01408576817821,0.0152616240421636,15,"Up","Up-High risk"
"CEP55",184,77,0.992517441590088,0.755853286781501,1.30328317556857,0.956902305633948,-0.0540412422928515,0.997715338829144,-1.67301269892394,4.92270051756667e-07,15,"Down","Down-Protective"
"KIF2C",184,77,1.00734184626293,0.760580467067225,1.33416205013154,0.959306293982714,0.0510241283015532,0.997715338829144,-1.67618878066748,3.81955706111298e-07,15,"Down","Down-High risk"
"CENPA",184,77,1.00646901391198,0.774266346018745,1.30830931910403,0.961569183357707,0.0481845247053663,0.997715338829144,-1.53633206759054,5.43626167005175e-08,15,"Down","Down-High risk"
"SKA1",184,77,0.99439635804546,0.77894313139545,1.2694432713241,0.96402596402067,-0.0451020542690328,0.997715338829144,-1.33612397284479,1.51007926334234e-07,15,"Down","Down-Protective"
"FOXM1",184,77,0.995685844087333,0.772955479886252,1.28259689712245,0.97330315172309,-0.0334657830333903,0.997715338829144,-1.60833753099651,9.16099574910468e-08,15,"Down","Down-Protective"
"TLR2",184,77,0.996633108350784,0.811170686198001,1.22449882566207,0.97438999802249,-0.032102890865785,0.997715338829144,-1.05429070610477,2.47447153264398e-05,15,"Down","Down-Protective"
"MCM7",184,77,0.997084726125612,0.779325917921355,1.27568957763485,0.981472778491903,-0.0232225157324235,0.997715338829144,-1.04747278654922,4.60008682570654e-08,15,"Down","Down-Protective"
"CDC6",184,77,1.00215805780428,0.81880605548736,1.22656734899727,0.98331743027454,0.0209100241289459,0.997715338829144,-1.674013902695,1.11738558495894e-08,15,"Down","Down-High risk"
"CDCA5",184,77,1.00284347842874,0.759439922037172,1.32425885582801,0.984029207400725,0.0200177569563312,0.997715338829144,-1.7129056158219,1.2634919205593e-09,15,"Down","Down-High risk"
"COL5A1",184,77,0.998851406044654,0.857899076222997,1.16296212341188,0.98818582814349,-0.0148074097012269,0.997715338829144,-2.27752061521334,6.15121873110367e-05,15,"Down","Down-Protective"
"BUB1",184,77,0.998338695093512,0.751776373968226,1.32576679000974,0.99083356401283,-0.0114886765376538,0.997715338829144,-1.30559730753224,9.19182495232031e-06,15,"Down","Down-Protective"
"PBK",184,77,1.00071386920222,0.778997290997035,1.28553495575313,0.995544372265649,0.00558433025426006,0.997715338829144,-1.11720776596746,2.67070372629194e-05,15,"Down","Down-High risk"
"TOP2A",184,77,1.0002675238497,0.832914025215246,1.20124657405047,0.997715338829144,0.00286340205727744,0.997715338829144,-1.50532885668916,2.76066872174653e-06,16,"Down","Down-High risk"
