sample,condition
GSM2486697,Normal
GSM2486698,Cancer
GSM2486699,Normal
GSM2486700,Cancer
GSM2486701,Normal
GSM2486702,Cancer
GSM2486703,Normal
GSM2486704,Cancer
GSM2486705,Normal
GSM2486706,Cancer
GSM2486707,Normal
GSM2486708,Cancer
GSM2486709,Normal
GSM2486710,Cancer
GSM2486711,Normal
GSM2486712,Cancer
GSM2486713,Normal
GSM2486714,Cancer
GSM2486715,Normal
GSM2486716,Cancer
GSM2486717,Normal
GSM2486718,Cancer
GSM2486719,Normal
GSM2486720,Cancer
GSM2486721,Normal
GSM2486722,Cancer
GSM2486723,Normal
GSM2486724,Cancer
GSM2486725,Normal
GSM2486726,Cancer
GSM2486727,Normal
GSM2486728,Cancer
GSM2486729,Normal
GSM2486730,Cancer
GSM2486731,Normal
GSM2486732,Cancer
GSM2486733,Normal
GSM2486734,Cancer
GSM2486735,Normal
GSM2486736,Cancer
GSM2486737,Normal
GSM2486738,Cancer
GSM2486739,Normal
GSM2486740,Cancer
GSM2486741,Normal
GSM2486742,Cancer
GSM2486743,Normal
GSM2486744,Cancer
GSM2486745,Normal
GSM2486746,Cancer
GSM2486747,Normal
GSM2486748,Cancer
GSM2486749,Normal
GSM2486750,Cancer
GSM2486751,Normal
GSM2486752,Cancer
GSM2486753,Normal
GSM2486754,Cancer
GSM2486755,Normal
GSM2486756,Cancer
GSM2486757,Normal
GSM2486758,Cancer
GSM2486759,Normal
GSM2486760,Cancer
GSM2486761,Normal
GSM2486762,Cancer
GSM2486763,Normal
GSM2486764,Cancer
GSM2486765,Normal
GSM2486766,Cancer
GSM2486767,Normal
GSM2486768,Cancer
GSM2486769,Normal
GSM2486770,Cancer
GSM2486771,Normal
GSM2486772,Cancer
GSM2486773,Normal
GSM2486774,Cancer
GSM2486775,Normal
GSM2486776,Cancer
