sample,condition
GSM6294177,Normal
GSM6294176,Normal
GSM6294175,Normal
GSM6294174,Normal
GSM6294173,Normal
GSM6294172,Normal
GSM6294171,Normal
GSM6294170,Normal
GSM6294169,Normal
GSM6294168,Normal
GSM6294167,Cancer
GSM6294166,Cancer
GSM6294165,Cancer
GSM6294164,Cancer
GSM6294163,Cancer
GSM6294162,Cancer
GSM6294161,Cancer
GSM6294160,Cancer
GSM6294159,Cancer
GSM6294158,Cancer
GSM6294157,Cancer
GSM6294156,Cancer
GSM6294155,Cancer
GSM6294154,Cancer
GSM6294153,Cancer
GSM6294152,Cancer
GSM6294151,Cancer
GSM6294150,Cancer
GSM6294149,Cancer
GSM6294148,Cancer
GSM6294147,Cancer
GSM6294146,Cancer
GSM6294145,Cancer
GSM6294144,Cancer
GSM6294143,Cancer
GSM6294142,Cancer
GSM6294141,Cancer
GSM6294140,Cancer
GSM6294139,Cancer
GSM6294138,Cancer
GSM6294137,Cancer
GSM6294136,Cancer
GSM6294135,Cancer
GSM6294134,Cancer
GSM6294133,Cancer
GSM6294132,Cancer
GSM6294131,Cancer
GSM6294130,Cancer
GSM6294129,Cancer
GSM6294128,Cancer
GSM6294127,Cancer
GSM6294126,Cancer
GSM6294125,Cancer
GSM6294124,Cancer
GSM6294123,Cancer
GSM6294122,Cancer
GSM6294121,Cancer
GSM6294120,Cancer
GSM6294119,Cancer
GSM6294118,Cancer
GSM6294117,Cancer
GSM6294116,Cancer
GSM6294115,Cancer
GSM6294114,Cancer
GSM6294113,Cancer
GSM6294112,Cancer
GSM6294111,Cancer
GSM6294110,Cancer
GSM6294109,Cancer
GSM6294108,Cancer
GSM6294107,Cancer
GSM6294106,Cancer
GSM6294105,Cancer
GSM6294104,Cancer
GSM6294103,Cancer
GSM6294102,Cancer
GSM6294101,Cancer
GSM6294100,Cancer
GSM6294099,Cancer
GSM6294098,Cancer
GSM6294097,Cancer
GSM6294096,Cancer
GSM6294095,Cancer
GSM6294094,Cancer
GSM6294093,Cancer
GSM6294092,Cancer
GSM6294091,Cancer
GSM6294090,Cancer
GSM6294089,Cancer
GSM6294088,Cancer
GSM6294087,Cancer
GSM6294086,Cancer
GSM6294085,Cancer
GSM6294084,Cancer
GSM6294083,Cancer
GSM6294082,Cancer
GSM6294081,Cancer
GSM6294080,Cancer
GSM6294079,Cancer
GSM6294078,Cancer
GSM6294077,Cancer
GSM6294076,Cancer
GSM6294075,Cancer
GSM6294074,Cancer
GSM6294073,Cancer
GSM6294072,Cancer
GSM6294071,Cancer
GSM6294070,Cancer
GSM6294069,Cancer
GSM6294068,Cancer
GSM6294067,Cancer
GSM6294066,Cancer
GSM6294065,Cancer
GSM6294064,Cancer
GSM6294063,Cancer
GSM6294062,Cancer
GSM6294061,Cancer
GSM6294060,Cancer
GSM6294059,Cancer
GSM6294058,Cancer
