sample,condition
GSM3595878,Cancer
GSM3595882,Cancer
GSM3595883,Normal
GSM3595884,Cancer
GSM3595885,Normal
GSM3595888,Cancer
GSM3595892,Cancer
GSM3595896,Cancer
GSM3595901,Normal
GSM3595909,Cancer
GSM3595913,Cancer
GSM3595917,Cancer
GSM3595921,Cancer
GSM3595926,Normal
GSM3595929,Cancer
GSM3595933,Cancer
GSM3595934,Normal
GSM3595935,Cancer
GSM3595936,Normal
GSM3595937,Cancer
GSM3595938,Normal
GSM3595945,Cancer
GSM3595948,Normal
GSM3595956,Normal
GSM3595960,Normal
GSM3595874,Cancer
GSM3595875,Normal
GSM3595876,Cancer
GSM3595877,Normal
GSM3595879,Normal
GSM3595880,Cancer
GSM3595881,Normal
GSM3595886,Cancer
GSM3595887,Normal
GSM3595889,Normal
GSM3595890,Cancer
GSM3595891,Normal
GSM3595893,Normal
GSM3595894,Cancer
GSM3595895,Normal
GSM3595897,Normal
GSM3595898,Cancer
GSM3595899,Normal
GSM3595900,Cancer
GSM3595902,Cancer
GSM3595903,Normal
GSM3595904,Cancer
GSM3595905,Normal
GSM3595906,Normal
GSM3595907,Cancer
GSM3595908,Normal
GSM3595910,Normal
GSM3595911,Cancer
GSM3595912,Normal
GSM3595914,Normal
GSM3595915,Cancer
GSM3595916,Normal
GSM3595918,Normal
GSM3595919,Cancer
GSM3595920,Normal
GSM3595922,Normal
GSM3595923,Cancer
GSM3595924,Normal
GSM3595925,Cancer
GSM3595927,Cancer
GSM3595928,Normal
GSM3595930,Normal
GSM3595931,Cancer
GSM3595932,Normal
GSM3595939,Cancer
GSM3595940,Normal
GSM3595941,Cancer
GSM3595942,Normal
GSM3595943,Cancer
GSM3595944,Normal
GSM3595946,Normal
GSM3595947,Cancer
GSM3595949,Cancer
GSM3595950,Normal
GSM3595951,Cancer
GSM3595952,Normal
GSM3595953,Cancer
GSM3595954,Normal
GSM3595955,Cancer
GSM3595957,Cancer
GSM3595958,Normal
GSM3595959,Cancer
GSM3595961,Cancer
GSM3595962,Normal
GSM3595963,Cancer
GSM3595964,Normal
GSM3595965,Cancer
