Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
kidney,GO:0001773,myeloid dendritic cell activation,11/2534,32/18860,0.34375,2.55845501183899,3.47608112701546,0.00215262227076978,0.0133545835864487,0.00924603348183117,1794/10538/914/951/6688/7040/29108/10077/10537/3694/3662,11
kidney,GO:0090025,regulation of monocyte chemotaxis,11/2534,32/18860,0.34375,2.55845501183899,3.47608112701546,0.00215262227076978,0.0133545835864487,0.00924603348183117,6387/6352/1524/3627/7941/56833/57402/284340/9353/729230/5054,11
kidney,GO:0001523,retinoid metabolic process,22/2534,87/18860,0.252873563218391,1.8820818477896,3.24881072798682,0.00215536298723952,0.0133545835864487,0.00924603348183117,125/126/56603/130/317749/8854/10901/24/64577/3988/1056/1576/1562/4035/124/5950/4023/3949/1551/145226/54600/10170,22
kidney,GO:1990849,vacuolar localization,22/2534,87/18860,0.252873563218391,1.8820818477896,3.24881072798682,0.00215536298723952,0.0133545835864487,0.00924603348183117,5730/4135/8832/5880/695/5294/2207/2624/284021/30817/56848/3965/3598/11314/7462/8013/11280/94121/81575/116449/387695/10814,22
kidney,GO:0006091,generation of precursor metabolites and energy,89/2534,494/18860,0.180161943319838,1.34090538713976,3.02491230183367,0.0021556740824472,0.0133545835864487,0.00924603348183117,55022/891/5167/7957/5502/34/114789/5315/983/2235/2819/84275/229/63976/3099/2203/5163/2026/2597/226/54511/54541/6472/113115/5465/8801/847/5836/38/5207/5210/137872/1339/2538/3939/48/8802/5214/5027/4539/9997/8013/4535/9365/160428/23710/4538/8671/80183/4540/4541/10840/4537/3988/8908/51085/7349/3101/10954/55753/9942/112464/84701/5507/32/3158/112609/648791/4536/5313/2642/10891/266977/552/6521/5256/3795/5208/7345/3952/230/7306/3481/4504/205/2645/84676/59341/2847,89
kidney,GO:0008347,glial cell migration,18/2534,66/18860,0.272727272727273,2.02984860443424,3.30185867473898,0.00215901711524929,0.0133545835864487,0.00924603348183117,1462/4323/27185/54209/1880/4147/482/1524/1281/6348/5028/1464/5649/729230/26228/64805/1600/9423,18
kidney,GO:0071384,cellular response to corticosteroid stimulus,18/2534,66/18860,0.272727272727273,2.02984860443424,3.30185867473898,0.00215901711524929,0.0133545835864487,0.00924603348183117,11170/2235/5105/6338/54541/358/445/5106/6340/7040/301/6337/5243/4537/6752/3158/266743/64850,18
kidney,GO:1901655,cellular response to ketone,28/2534,120/18860,0.233333333333333,1.73664825046041,3.18925122442881,0.00218154496972828,0.0134799605841699,0.00933283812918517,4323/6422/2235/5105/6338/7832/2203/3029/54541/3625/358/445/56848/5106/6340/11184/7040/653361/6366/167127/6337/5243/108/1236/2353/266743/5737/6363,28
kidney,GO:0007052,mitotic spindle organization,31/2534,137/18860,0.226277372262774,1.68413229710967,3.1661785171251,0.00219661713272322,0.0135525250057005,0.00938307803870524,6491/55143/10460/7272/83540/24137/891/29127/29128/284403/9055/3832/3833/10403/991/10769/332/22974/56992/57405/64946/11200/9212/1062/5347/6790/4605/9787/4751/10783/126353,31
kidney,GO:0001890,placenta development,35/2534,160/18860,0.21875,1.62810773480663,3.14337408981208,0.00219782948660044,0.0135525250057005,0.00938307803870524,10733/8614/3993/639/22846/1028/55224/2624/7421/1594/79733/4311/8728/5764/8320/5340/5243/653/23462/1051/2709/1956/144455/655/2001/133/58495/79977/3952/7274/100/3481/84870/29947/3294,35
kidney,GO:0032094,response to food,15/2534,51/18860,0.294117647058824,2.18905241654673,3.34985473268417,0.00220346680030826,0.013573264531517,0.0093974370300475,114789/6338/5465/3291/2538/4923/2690/5020/7349/8989/3952/27197/4504/4353/64850,15
kidney,GO:0019319,hexose biosynthetic process,24/2534,98/18860,0.244897959183673,1.8227211958185,3.21698397621037,0.00221711440747936,0.0136432535033447,0.00944589382936948,34/5105/2819/229/6652/2203/2026/5465/5207/5210/5106/51363/2538/1468/5091/4837/10993/467/10891/5950/5208/3952/230/2645,24
kidney,GO:0034762,regulation of transmembrane transport,82/2534,450/18860,0.182222222222222,1.35623958607384,3.01331323845589,0.00228261669172364,0.0140318630616873,0.00971494729438668,2906/55022/27347/5167/1393/287/3768/53827/2719/6569/57761/3099/4842/65266/11151/3766/2833/288/100506658/5294/84502/3784/9001/55013/3783/482/56848/3758/7421/1520/1804/477/6546/84959/3627/7040/3772/4318/4923/5027/718/255057/920/53828/3761/8013/4283/3759/40/285966/23327/6373/65267/623/84766/9722/6324/65010/3208/28999/3773/219527/825/3753/65268/2171/3952/857/342667/3760/59283/760/30820/57393/5349/2903/59272/3746/117531/3769/338557/55600,82
kidney,GO:0046660,female sex differentiation,29/2534,126/18860,0.23015873015873,1.7130203831072,3.16369566380938,0.00228996137781632,0.0140480775582586,0.00972617338595431,4323/5156/3624/6422/10184/675/1602/3625/7301/6926/2296/7130/10468/3975/7422/558/1051/64478/5798/7490/2255/5950/658/9353/3952/268/6092/7544/64220,29
kidney,GO:1901989,positive regulation of cell cycle phase transition,29/2534,126/18860,0.23015873015873,1.7130203831072,3.16369566380938,0.00228996137781632,0.0140480775582586,0.00972617338595431,221150/6491/11065/891/6241/983/991/3306/51514/990/332/11200/8317/595/2146/84101/9787/7040/301/5087/894/995/118471/28984/1956/2255/219736/7480/220134,29
kidney,GO:0042325,regulation of phosphorylation,79/2534,431/18860,0.183294663573086,1.36422152919826,3.01353405008817,0.00230668482023948,0.0141361413675662,0.00978714428213572,9088/57161/3624/6422/2192/63967/5008/5912/990/22974/57761/641/1029/1062/2246/5788/3689/1033/2146/54625/1894/56892/116986/634/84166/1028/10333/2252/150696/5294/9077/1950/5783/3486/2335/9770/146850/3123/1436/23533/972/11314/6423/5071/3937/4318/995/718/920/2261/26191/941/7422/2066/29108/64092/117854/199731/65267/1464/5618/1956/2321/285489/9928/8862/2255/9353/219736/5329/3952/7098/3273/8784/3084/4504/6997/9052/55600,79
