Symbol,n_cancers,n_up,n_down,mean_lfc
PDCD4,3,2,1,0.552684515072036
PDZK1,3,1,2,-0.612654433605183
PDZRN4,3,2,1,0.368777383058186
PERM1,3,2,1,0.461671910811988
PGF,3,2,1,0.757167965318793
PGM5,3,2,1,0.693939646981953
PI16,3,2,1,1.06070147429155
PITX1,3,2,1,0.948395085178313
PKHD1L1,4,2,2,-0.0788634545647909
PKMYT1,3,1,2,-0.133020703641846
PKNOX2,3,2,1,0.364918976492889
PLAAT5,3,2,1,0.468259969464186
PLCXD3,3,2,1,0.682462395778252
PLEKHN1,4,2,2,0.102129217978657
PLIN4,3,2,1,0.482528941080689
PLK1,3,1,2,-0.437478983588067
PLP1,3,2,1,1.56970789404821
PLPP4,4,1,3,-1.23696817144072
PMEPA1,3,1,2,-0.68121670563545
POGLUT2,4,2,2,-0.00361680931574093
PPP1R1A,3,2,1,0.163752677116229
PRAME,3,1,2,-1.86395840260327
PRELP,3,2,1,0.555086955373537
PRR11,3,1,2,0.0109904213064712
PRR15L,3,1,2,-0.716287100120983
PRSS22,3,1,2,-1.71092572236955
PSAT1,3,0,3,-1.81362161281477
PTGS1,3,3,0,1.18938706252536
PTN,3,2,1,0.612440591128656
PTP4A3,3,1,2,-0.722870103417388
PXDN,3,2,1,-0.0051460197065761
PYCR1,3,1,2,-0.334812569653651
RAB3B,3,1,2,-1.40658686741355
RAD51AP1,3,1,2,-0.360717549672755
RAD54L,3,1,2,-0.274058174232826
RELN,3,2,1,0.413435439248685
RERGL,3,2,1,1.71447717840668
RFX8,3,1,2,-0.959227320089582
RGS16,3,1,2,-0.460817513733998
RIC3,3,2,1,0.521285876508069
RNF224,3,1,2,-0.149958707100558
ROS1,3,2,1,0.0332332087087989
RPS6KA6,3,2,1,0.460253343011354
RRM2,3,1,2,-0.161254876800356
RUNX1,3,2,1,0.748357707361624
SAA1,3,2,1,0.943625544702906
SCD,3,2,1,0.565289923855548
SCIN,3,2,1,0.884573362085453
SCN7A,3,2,1,0.589003055907451
SCNN1B,3,2,1,0.487409940128225
SCNN1G,3,2,1,-0.0348899386056855
SEC14L5,3,2,1,0.648060582347404
SELE,3,0,3,-1.5727138080257
SELENBP1,3,2,1,0.422582326138888
SEMA3D,3,1,2,-0.341409800450253
SERPINE1,3,1,2,-0.911286446884938
SERPINH1,4,2,2,-0.0901274612999655
SFRP1,3,2,1,-0.185154149208358
SFRP2,3,3,0,1.48344755289917
SHISA2,3,0,3,-2.29470751088443
SHISA3,3,2,1,0.147640022321777
SIM2,3,1,2,-1.48995504979528
SLC11A1,3,1,2,-0.750081900731735
SLC16A9,3,2,1,0.142244987863826
SLC17A9,3,1,2,-0.355051739586289
SLC2A1,3,1,2,-0.0675681356817311
SLC30A2,3,0,3,-2.74812670934457
SLC4A4,4,2,2,0.394636165236128
SLC5A12,3,1,2,-1.63292953427819
SLC6A4,3,1,2,-0.260325244405286
SLC7A11,3,1,2,-0.246523748849753
SLITRK3,3,3,0,2.52043501613484
SMIM5,3,2,1,0.438997977754594
SMTNL2,3,1,2,-0.637053837556034
SNAI1,3,1,2,-0.694099040330314
SORCS1,3,2,1,0.423403615372252
SPARC,4,2,2,-0.0748041366296751
SPNS2,3,1,2,0.127131177397689
SPOCD1,4,2,2,0.00897863206794031
STC2,3,1,2,-1.01674825077954
STRA6,3,0,3,-2.62748280190171
