Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
81399,OR4F16,olfactory receptor family 4 subfamily F member 16,protein_coding,18.1894395835455,-0.161553894832309,0.536228962999384,-0.301277823429493,0.763202650113513,0.829017560166647
148398,SAMD11,sterile alpha motif domain containing 11,protein_coding,192.840714399918,-0.316225435870852,0.239554199838914,-1.32005799140026,0.186815656902386,0.280175299731473
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor,protein_coding,1425.93687761876,-0.553866028518681,0.193424565825475,-2.8634730348493,0.00419024478235515,0.0109971465976096
339451,KLHL17,kelch like family member 17,protein_coding,135.964215831381,0.0259501939658773,0.211379258483466,0.122766037462977,0.902292368951052,0.93140632537675
84069,PLEKHN1,pleckstrin homology domain containing N1,protein_coding,591.31750410565,2.32108534908612,0.165972486584232,13.9847597445505,1.93127931095263e-44,2.97468173603552e-42
84808,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1",protein_coding,100.210675106075,2.09523455151905,0.206552210652073,10.1438495618348,3.52911973970573e-24,1.64160533812152e-22
57801,HES4,hes family bHLH transcription factor 4,protein_coding,338.733587676663,-0.629083845378749,0.268857539441999,-2.33984081935876,0.0192919604196656,0.0417233043928382
9636,ISG15,ISG15 ubiquitin like modifier,protein_coding,799.332506209151,-2.27190935852725,0.28241662943596,-8.04453109954853,8.65762730907865e-16,1.86789513872497e-14
375790,AGRN,agrin,protein_coding,4539.06590142253,-1.39988190744368,0.226404362971894,-6.18310481771706,6.28529500220521e-10,6.30644483008148e-09
401934,RNF223,ring finger protein 223,protein_coding,238.319380940791,3.66405233485638,0.244187913687644,15.0050519680646,6.80376395670654e-51,1.34103340767018e-48
54991,C1orf159,chromosome 1 open reading frame 159,protein_coding,241.101909931808,0.0650188333733102,0.197119315421876,0.329845064823588,0.741517034340002,0.811166134456506
254173,TTLL10,tubulin tyrosine ligase like 10,protein_coding,42.6832028493874,-0.739845423922981,0.35698228988987,-2.07249895828509,0.0382189332937644,0.0750241710979682
8784,TNFRSF18,TNF receptor superfamily member 18,protein_coding,105.806697369377,-1.56131357373618,0.217233927410361,-7.18724552996188,6.61114613377363e-13,1.00893724920805e-11
7293,TNFRSF4,TNF receptor superfamily member 4,protein_coding,60.149129136268,-1.08693721466829,0.305460217420932,-3.55835933021178,0.000373178561519174,0.00128146862303454
51150,SDF4,stromal cell derived factor 4,protein_coding,1850.81369113965,-0.684195773939893,0.131023217812219,-5.22194299120691,1.77055481947952e-07,1.1894732522084e-06
126792,B3GALT6,"beta-1,3-galactosyltransferase 6",protein_coding,279.619574841414,-0.786236812598175,0.14649677724809,-5.36692224475831,8.00915633285965e-08,5.71752480017341e-07
