Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,A1BG,alpha-1-B glycoprotein,protein_coding,122.589110078847,0.660156355917254,0.720592134011044,0.916130394378043,0.359598507788796,0.497276148336629
100,ADA,adenosine deaminase,protein_coding,2111.03163762347,0.899601981337757,0.404582128490372,2.22353366100096,0.0261798362115104,0.0635462328563513
1000,CDH2,cadherin 2,protein_coding,324.739000454926,-0.381947123737628,1.00719685128072,-0.379217948558869,0.70452602421326,0.792819454988177
10000,AKT3,AKT serine/threonine kinase 3,protein_coding,1611.51867886858,-0.794344717837672,0.453899341355282,-1.75004598038381,0.0801103799183729,0.155937361899913
10001,MED6,mediator complex subunit 6,protein_coding,1488.55607057655,-0.569862486131876,0.126155599879779,-4.51713983901572,6.26805137395159e-06,4.97642692530192e-05
10003,NAALAD2,N-acetylated alpha-linked acidic dipeptidase 2,protein_coding,51.2114547834869,-2.71455408795477,0.631627661670961,-4.29771248582346,1.72569803236322e-05,0.000121693513331211
100037417,DDTL,D-dopachrome tautomerase like,protein_coding,5544.13307375718,-0.124837814569291,0.338770710808058,-0.368502384021097,0.71249866783206,0.798513082324026
10004,NAALADL1,N-acetylated alpha-linked acidic dipeptidase like 1,protein_coding,47.7605278028811,2.78655736845267,0.42430068005928,6.56741197790056,5.11972568634762e-11,1.39717153487458e-09
10005,ACOT8,acyl-CoA thioesterase 8,protein_coding,1481.11199232129,-0.04631855899442,0.247041221912696,-0.187493239532263,0.851273923775207,0.900840593621232
10006,ABI1,abl interactor 1,protein_coding,5400.93438127383,0.941926416930617,0.304983807893646,3.08844729638593,0.00201205378540424,0.00740005670842273
10007,GNPDA1,glucosamine-6-phosphate deaminase 1,protein_coding,3069.25004378943,-0.583051138486734,0.222633673604102,-2.61888118292268,0.00882186687413803,0.0258407678576072
10008,KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3,protein_coding,7435.8800166195,-3.42636305346029,0.77605040253878,-4.41512953572506,1.00949522715818e-05,7.61869154748636e-05
10009,ZBTB33,zinc finger and BTB domain containing 33,protein_coding,3639.6123089566,-0.572590579958216,0.202035658216954,-2.83410653847721,0.00459540087517566,0.0149636290700736
1001,CDH3,cadherin 3,protein_coding,25194.3534548712,1.23354668755841,0.347611342637901,3.54863761981257,0.000387229589767924,0.00181238021167992
10010,TANK,TRAF family member associated NFKB activator,protein_coding,2329.89483919336,1.00502637795434,0.209222185365763,4.80363196760111,1.55813111562323e-06,1.45696137777208e-05
100101267,POM121C,POM121 transmembrane nucleoporin C,protein_coding,7472.38137020442,-0.117484431662541,0.238465874959311,-0.492667689591172,0.622247411163738,0.728822716163595
100101268,SPDYE12,speedy/RINGO cell cycle regulator family member E12,protein_coding,178.073969471564,0.568806035303255,0.363154524311336,1.5662920250874,0.117280267145882,0.210533738661403
100101467,ZSCAN30,zinc finger and SCAN domain containing 30,protein_coding,967.560946350599,-0.424073851891791,0.443589698611135,-0.956004734148588,0.33906984270214,0.47616914270745
