Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
148398,SAMD11,sterile alpha motif domain containing 11,protein_coding,235.026675166525,-0.71868492128577,0.145222358199586,-4.94885863441254,7.46499390087907e-07,4.38628905570135e-06
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor,protein_coding,849.176637147659,-0.640904850812773,0.122554023589408,-5.22957004626787,1.69904718137861e-07,1.14073486379258e-06
339451,KLHL17,kelch like family member 17,protein_coding,75.1488103877352,-0.281169623414648,0.241652403700505,-1.16352918120823,0.244614865617667,0.33563004314816
84069,PLEKHN1,pleckstrin homology domain containing N1,protein_coding,309.066596449817,1.44213667758526,0.228830665802801,6.30220024281207,2.93449699092448e-10,3.1446493183053e-09
84808,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1",protein_coding,148.621570345534,1.57940690124472,0.213426591571808,7.40023485177256,1.35943854576325e-13,2.44631438806116e-12
57801,HES4,hes family bHLH transcription factor 4,protein_coding,72.7096707026227,-0.582324112682398,0.296529982381785,-1.96379505372462,0.0495538639414496,0.087418766402162
9636,ISG15,ISG15 ubiquitin like modifier,protein_coding,1212.30627392484,-2.09369106200342,0.536594200660974,-3.90181455450771,9.54742910286085e-05,0.000352719597906099
375790,AGRN,agrin,protein_coding,1010.52615052603,-1.21220064896386,0.190008503447703,-6.37971789140214,1.77414495744176e-10,1.96752024319475e-09
401934,RNF223,ring finger protein 223,protein_coding,90.8030716274885,2.96207655731813,0.408060961630413,7.25890696694708,3.90230742967203e-13,6.62733954386944e-12
54991,C1orf159,chromosome 1 open reading frame 159,protein_coding,82.628635312773,-0.285862173999147,0.230255836546349,-1.24149805836346,0.214421814996787,0.301134442343392
8784,TNFRSF18,TNF receptor superfamily member 18,protein_coding,82.8862555076887,-2.21836338274294,0.373047847229189,-5.94659210398832,2.7378251193073e-09,2.49432523815825e-08
7293,TNFRSF4,TNF receptor superfamily member 4,protein_coding,32.186479941524,-2.07564768603022,0.315545613167979,-6.57796400714106,4.76933635632519e-11,5.80424070604222e-10
51150,SDF4,stromal cell derived factor 4,protein_coding,1049.57718305438,-0.735991769683855,0.137188338539956,-5.36482748837647,8.10266229420682e-08,5.80578661262641e-07
126792,B3GALT6,"beta-1,3-galactosyltransferase 6",protein_coding,138.870578494996,-1.05317357937626,0.16931729332054,-6.22011820955856,4.96780466243372e-10,5.12651413940555e-09
388581,C1QTNF12,C1q and TNF related 12,protein_coding,68.7957137836522,-1.96062235445344,0.45656691183504,-4.29427166890672,1.75267754205912e-05,7.67341622122574e-05
118424,UBE2J2,ubiquitin conjugating enzyme E2 J2,protein_coding,358.440270221114,-0.481643235631934,0.118563976763383,-4.06230668690494,4.85901818021909e-05,0.000192518153567892
6339,SCNN1D,sodium channel epithelial 1 subunit delta,protein_coding,40.2570906915336,-0.586899809992137,0.468248275821544,-1.25339449240346,0.210062174860451,0.296086509184347
116983,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",protein_coding,479.893771737456,-0.000909402275382139,0.194200006862494,-0.00468281278705645,0.996263669631583,0.997182318627041
126789,PUSL1,pseudouridine synthase like 1,protein_coding,82.6006612589445,-0.0525199622591741,0.167737307968504,-0.313108412763103,0.754198297774805,0.812099789290941
54973,INTS11,integrator complex subunit 11,protein_coding,533.205960012058,-0.274725131735289,0.136868230032173,-2.00722352930779,0.044725867342632,0.0800076448288089
80772,CPTP,ceramide-1-phosphate transfer protein,protein_coding,238.933074241202,0.333516343426318,0.167037141241794,1.99665979043271,0.0458621529497541,0.0817980387404029
83756,TAS1R3,taste 1 receptor member 3,protein_coding,21.8595984337881,0.837253973446984,0.34082954504556,2.45651817930005,0.0140290703825059,0.0293117473078969
1855,DVL1,dishevelled segment polarity protein 1,protein_coding,479.529528136228,0.0442151991889679,0.14119547260431,0.313148845167847,0.754167580799625,0.812099789290941
54587,MXRA8,matrix remodeling associated 8,protein_coding,599.59526346649,-1.20982369933782,0.191179856892894,-6.32819648994509,2.48043163837626e-10,2.68827163391245e-09
54998,AURKAIP1,aurora kinase A interacting protein 1,protein_coding,622.548805173303,-0.569343058142344,0.140652087641824,-4.04788203067556,5.16831823294578e-05,0.000203112328560422
81669,CCNL2,cyclin L2,protein_coding,1278.97725857694,-0.0782486649544659,0.152789138490558,-0.512134996816555,0.608556532862908,0.690739300470326
55052,MRPL20,mitochondrial ribosomal protein L20,protein_coding,664.863556400735,-0.395022426112735,0.119358702385468,-3.3095402196734,0.000934493389751035,0.00269734863263436
441869,ANKRD65,ankyrin repeat domain 65,protein_coding,154.80015181469,-0.202177383145803,0.242633720359302,-0.833261686984028,0.404697159046598,0.503493481896893
64856,VWA1,von Willebrand factor A domain containing 1,protein_coding,534.545609208081,-0.623755395889275,0.171013792709741,-3.64739817768947,0.000264909237036903,0.00087903685851414
219293,ATAD3C,ATPase family AAA domain containing 3C,protein_coding,44.6937092371454,-0.401630821756422,0.303203153265947,-1.32462613739423,0.185295182394156,0.267499307139061
83858,ATAD3B,ATPase family AAA domain containing 3B,protein_coding,207.973226602408,-0.573556829814414,0.200191115192711,-2.86504637961724,0.00416948169813471,0.0101260215332403
55210,ATAD3A,ATPase family AAA domain containing 3A,protein_coding,226.700678616863,-0.82013992142544,0.170867488715675,-4.79985939741972,1.58777061767304e-06,8.65062879219881e-06
29101,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase",protein_coding,1682.4413531244,-0.0156233913159023,0.141014808914456,-0.110792557435439,0.911780847322882,0.936377485652477
643988,FNDC10,fibronectin type III domain containing 10,protein_coding,77.949168030548,-1.33141580921099,0.356353448198993,-3.73622260690883,0.000186805310149769,0.000644780766709325
142678,MIB2,MIB E3 ubiquitin protein ligase 2,protein_coding,437.659112087318,-0.277276308991892,0.134689783450713,-2.05862910970791,0.039529781951507,0.0718402546127027
8510,MMP23B,matrix metallopeptidase 23B,protein_coding,53.4495159018678,-0.610379799770027,0.17012777433421,-3.58777279111968,0.000333514722076186,0.00108037545204551
984,CDK11B,cyclin dependent kinase 11B,protein_coding,918.659074130477,-0.309367999896697,0.149969785893184,-2.06286885091004,0.0391250903058997,0.0711904570170909
728661,SLC35E2B,solute carrier family 35 member E2B,protein_coding,622.770768845242,0.493961121565679,0.18674464177386,2.64511536648984,0.00816630695524177,0.0182603218578401
728642,CDK11A,cyclin dependent kinase 11A,protein_coding,638.975888757043,-0.246326393943912,0.161881041053439,-1.5216506660752,0.128096635130652,0.196498698484936
65220,NADK,NAD kinase,protein_coding,544.018196427619,-0.675543324112338,0.161721353482601,-4.17720548069132,2.95112410092332e-05,0.00012259816559567
2782,GNB1,G protein subunit beta 1,protein_coding,3913.98758526486,-0.733121252475566,0.142017229037784,-5.16219938554438,2.4406512381444e-07,1.58010150362325e-06
339456,TMEM52,transmembrane protein 52,protein_coding,15.858388453176,-0.096358417602419,0.411932675514664,-0.233917878648568,0.815048733069664,0.861295109405054
5590,PRKCZ,protein kinase C zeta,protein_coding,202.135851979667,0.286850436711293,0.192265439678863,1.49195007272453,0.135712234457831,0.206502762667761
199990,FAAP20,FA core complex associated protein 20,protein_coding,306.720967569364,-0.46271166784515,0.186776621008637,-2.47735324338989,0.0132360829683675,0.0278766921745452
6497,SKI,SKI proto-oncogene,protein_coding,842.425592037914,-0.110876358046862,0.126851147280018,-0.874066655480127,0.382081955142724,0.480779606217714
79906,MORN1,MORN repeat containing 1,protein_coding,40.0942879771178,0.152605163407865,0.260010264770877,0.586919764657531,0.557257594929814,0.645532498735739
11079,RER1,retention in endoplasmic reticulum sorting receptor 1,protein_coding,1420.75750188576,-0.00267919482526354,0.115039587194258,-0.0232893292701006,0.981419483415696,0.986920225248381
5192,PEX10,peroxisomal biogenesis factor 10,protein_coding,228.316296339873,-0.236837740699791,0.136665335649573,-1.73297595600301,0.0830999424518104,0.13609164547395
9651,PLCH2,phospholipase C eta 2,protein_coding,187.679499562201,0.840144585893467,0.252793242900496,3.3234455804824,0.000889127688484834,0.00257913924172141
55229,PANK4,pantothenate kinase 4 (inactive),protein_coding,144.765933762045,-0.509270573682234,0.130379315345358,-3.90606878348181,9.38098190739691e-05,0.000347207461486804
8764,TNFRSF14,TNF receptor superfamily member 14,protein_coding,333.150222834012,-0.0667682089319639,0.128890964965849,-0.518020863212986,0.604443712960576,0.687190195279415
127281,PRXL2B,peroxiredoxin like 2B,protein_coding,229.228065908424,-0.352903324852843,0.175297257829414,-2.0131708232211,0.0440966615510831,0.0790303238025099
79258,MMEL1,membrane metalloendopeptidase like 1,protein_coding,47.0581903187313,0.969026294179391,0.254084349222156,3.81379765084284,0.000136847528719237,0.000485856988229094
63976,PRDM16,PR/SET domain 16,protein_coding,52.863639214205,1.17563605397023,0.453632934389191,2.59160207482114,0.00955301971342535,0.0209805199644868
27237,ARHGEF16,Rho guanine nucleotide exchange factor 16,protein_coding,205.827187758436,-0.0976050264875931,0.282877673465765,-0.345043231202216,0.730061870370578,0.792989939038857
1953,MEGF6,multiple EGF like domains 6,protein_coding,432.056963653971,0.0575689471177326,0.257480812562347,0.223585386984099,0.823079935328873,0.867152994656657
127262,TPRG1L,tumor protein p63 regulated 1 like,protein_coding,1031.21752875658,0.376541962883464,0.144988397598293,2.59704893026486,0.00940285285534793,0.0206933563992907
49856,WRAP73,"WD repeat containing, antisense to TP73",protein_coding,145.138245812601,-0.606622354246968,0.173689751358575,-3.49256274191228,0.000478409191271602,0.00148930646882541
7161,TP73,tumor protein p73,protein_coding,133.822485203142,-0.024325789217505,0.263646915924963,-0.0922665419095148,0.926486270633802,0.947666386890671
