"Symbol","Normal","Tumor","MeanDecreaseAccuracy","MeanDecreaseGini"
"CXCL12",17.2409068271092,2.40343443098804,16.1753000683921,10.1510113713326
"UBE2C",12.2411814155537,-2.77397290656278,11.8453880718402,7.04176161453856
"TRIP13",10.900076623104,-4.55349891348156,10.4751229880698,6.56887355232919
"CD44",15.9071152388482,4.05496924518639,15.4091178148841,5.9273137375395
"CCND1",15.2904733933221,2.37125122559577,14.5670618966665,5.58058905619623
"MYC",13.3403829658241,-2.43356377627954,12.9538975571477,5.57599722856257
"PRKACB",9.51559459397541,-0.469958684721932,9.12540973965342,3.83012824154081
"TROAP",8.87869809091599,-4.47615835187526,8.63895760242595,3.8228542615398
"HJURP",8.59065031470386,-3.9042610981117,8.29680518664703,3.70155281798982
"KIF18B",7.93729299336779,-3.51716291696906,7.63601985691396,2.80959393492407
"TPX2",6.89184456378352,-3.16056491373346,6.64578709707122,2.58610065227426
"BRCA2",7.25017921114938,-2.92004351188229,6.98906241456855,2.07980541328818
"AURKA",5.86074748627828,-3.44137108505363,5.57976815095563,1.41870291728739
"COL1A1",10.0292720548967,5.1960572727114,9.58981572663034,1.40758093797299
"KIT",10.2291574817406,-1.24235581261635,9.90687628393433,1.12831233471309
"CDCA5",3.7621232594653,-1.97638025966586,3.69816928721147,1.02765921958258
"CDT1",4.54814346293005,-1.22046002227205,4.4152249652983,0.760340019038527
"AGT",6.67328317591191,-1.08630482516033,6.56294602191551,0.691952139991085
"KIF18A",4.27763546388311,-1.90519069418181,4.19695566956869,0.683994671848213
"NEK2",3.83202522987126,-1.38652101665316,3.8033229612477,0.67190513522425
"MELK",3.37336073394641,-2.43238479985135,3.07211689074485,0.6547734795356
"CEP55",4.03322031554445,-2.98153239414305,3.67569981345877,0.624078653958295
"MCM2",3.84550689840806,-2.08513966158864,3.62370115558487,0.594134701301819
"CDC6",3.07609326531223,-0.964878403829488,2.99819366199986,0.495015211721296
"CDCA3",3.04325282879847,-1.74864049821727,2.90200760860936,0.456536968956228
"MCM10",3.09884707007789,-1.41367064158733,2.8729456256726,0.445191208140481
"KIF2C",3.40376542554826,-1.31179825869102,3.29686302101993,0.407320537465395
"CENPA",3.32665166448359,-1.65324489436616,2.975276412589,0.364487163663963
"PTTG1",3.00284058969836,-1.70582876349333,2.58243260060577,0.355899371949692
"CKAP2L",3.39150035424078,-2.36709511277279,3.35190902262078,0.308648280823327
"CCL5",6.11713268997134,-0.363753082289542,5.85324907325891,0.290624851512285
"TOP2A",3.82874829214664,-2.1385894547149,3.66363188633975,0.258414436195081
"DTL",4.099486676011,-1.27758246701463,3.97953614577888,0.246485102841557
"COL1A2",6.2594903987801,3.52909730098665,6.15055127832583,0.222070562744384
"MCM4",3.61735380794864,-2.30700188561774,3.21896368880296,0.21110237902925
"CXCL1",6.0495063173634,-0.166727214239659,5.81609989296122,0.204839685044639
"KIF20A",2.39135863698796,-1.33039554657389,2.27401177038137,0.146637744556152
"KIF23",1.73091942231708,-1.39340589500677,1.58973663183829,0.134647454315579
"RACGAP1",2.23725311632435,-1.63889467317934,2.13575441048992,0.130195235361958
"BUB1",1.79415161926394,-1.41686547938229,1.66985042658678,0.125436273801544
"DLGAP5",0.738669107093731,-0.959622120982303,0.190721497030522,0.122130079184806
"CDC45",3.14605307988115,-1.31441140334264,2.98301545873667,0.120494906312891
"CCNB1",2.34832645967653,-1.73607205193209,2.3587125617025,0.117327452162045
"MAD2L1",1.27094679951464,-1.34406227991274,1.11340011157374,0.114227719737836
"NCAPH",1.15090188705828,0,1.08360412801337,0.102190016601994
"MMP9",3.62498914941323,1.77530881448809,3.57593527576615,0.0696618756530492
"KIF4A",0.729609340712999,-1.00100150250438,0.625562915455719,0.0519177312850609
"CCL20",6.03138817034976,0.785081457143359,5.54711803036545,0.04559894422287
"PLK1",2.67260207038525,-1.44360157996901,2.62498432308092,0.0439123104274621
"FCGR3A",3.02814490211693,1.06959119175046,2.95013617656443,0.0392505489077874
"KIFC1",2.40986969995057,-1.96935548003142,2.36128215238319,0.0353504360239058
"CENPF",3.73820694454525,-1.34500436999305,3.65013031900795,0.032133074851376
"CXCL2",3.68101816120236,-1.14724990234234,3.61306733015214,0.0221286792433395
"NUSAP1",2.15789325242393,-1.16216910087553,2.24384289147894,0.0184610837700358
"FOXM1",1.03504502912898,-1.41686547938229,0.866042554676381,0.015364265080064
"CDC20",1.60619661208821,-0.553315855643289,1.50966957401259,0.0136320008789691
"ESPL1",2.07269074833513,-0.523895289245488,1.9257319472378,0.0129940851150767
"SHCBP1",2.4156343641321,-1.33723911543187,2.33773174080974,0.0123222447440519
"ASF1B",2.20156591233812,-0.00118257585494865,2.20431629037024,0.00845921644975587
"BUB1B",1.09139951887217,-1.00100150250438,1.10655756633817,0.00585970440722792
"RRM2",1.17027415289331,0,1.17959353062457,0.00486412574363884
"FEN1",1.21446541889315,-1.00100150250438,1.00100150250438,0.00293803674316655
"IL1B",1.40275209380409,1.00100150250438,1.63668088342098,0.00236350100940783
"CXCL9",1.89187456413578,1.00100150250438,2.03891379277599,0.00138364648870505
"CXCL10",0.757705868355046,1.00100150250438,1.01418466832715,0.00130492101816457
"CDKN3",1.00100150250438,1.00100150250438,1.00100150250438,0.000326385562722521
"MKI67",0,0,0,0.000325382569986125
