Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,14.8529421997978,0.088194124317424,0.186704075963462,0.472373856126652,0.636659961876928,0.999799029641296
A1BG-AS1,9.71315800519429,0.0903135574747683,0.227331993114627,0.397276055329484,0.691163902672608,0.999799029641296
A1CF,11.2219326658147,0.208097910298707,0.20288403724152,1.02569878403484,0.305033587701167,0.999799029641296
A2M,15.3594179600238,0.055053760150233,0.185816652895636,0.296280012002767,0.767016249181918,0.999799029641296
AAAS,10.50909642945,-0.00445899643320214,0.22647488424665,-0.0196887016767207,0.984291703790126,0.999799029641296
AADAC,11.9310543641187,0.0772986765504112,0.206184308318769,0.374900869909579,0.707734192082908,0.999799029641296
AAGAB,10.1445125065746,-0.108502828509743,0.234260393328832,-0.463171887351174,0.643241165301685,0.999799029641296
AAK1,8.50812264548593,-0.687966631376232,0.317776175147432,-2.16494087719777,0.0303922132561091,0.999799029641296
AAMP,11.8066914235729,0.011457507415799,0.2111245515879,0.0542689484933198,0.956720888595352,0.999799029641296
AAR2,10.0040219246771,0.0433606568689939,0.232928374229958,0.186154464917985,0.852323631457956,0.999799029641296
AARS,12.4215972007604,-0.0329351043558726,0.208739760318938,-0.15778069451431,0.874629611637572,0.999799029641296
AARS2,9.90554548002809,-0.0835226413223693,0.241913966541423,-0.345257624090371,0.729900701210915,0.999799029641296
AATF,11.3600013347815,-0.0643440085121795,0.219296032909811,-0.293411639318811,0.769207529873922,0.999799029641296
ABAT,13.5941165340873,0.14619712598241,0.189980857787614,0.769536087398074,0.441575129920633,0.999799029641296
ABCB1,11.3732309736718,-0.0853989932022706,0.218271872126266,-0.391250564584286,0.695612035943542,0.999799029641296
ABCB4,11.51033317957,-0.0693219470648175,0.215642395212969,-0.321467153971996,0.747856399708639,0.999799029641296
ABCB7,9.08133899513976,-0.141456978304637,0.2441624866001,-0.579355904645259,0.562349050979852,0.999799029641296
ABCC2,11.0789950501871,0.158424065098346,0.219410169876464,0.722045223279964,0.470266674011564,0.999799029641296
ABCC3,12.4786235489303,0.0199754962456955,0.204541390091757,0.0976599222129787,0.922202340814554,0.999799029641296
ABCC6P1,10.6905404572536,0.0291019596672051,0.223129706962223,0.130426199466717,0.896229239451455,0.999799029641296
ABCD1,10.0879704210494,-0.150104739140863,0.242541856258015,-0.618881794081688,0.535994232945784,0.999799029641296
ABCD3,11.2767546464168,0.216011287643626,0.210858801445325,1.02443571794482,0.30562951856794,0.999799029641296
ABCE1,7.97841553959208,-0.0574512361468098,0.313208330397303,-0.183428186836325,0.854462061148326,0.999799029641296
ABCF1,9.96287434897089,-0.0630512020275567,0.232668254765542,-0.270991855296688,0.786397296497802,0.999799029641296
ABCF2,10.6480530796187,-0.10845328128903,0.229475994966447,-0.472612751084868,0.636489483641952,0.999799029641296
ABCF3,11.6539692472527,0.00864564140339456,0.212878371184284,0.0406130569080229,0.96760437483825,0.999799029641296
ABCG8,10.9961744846869,-0.0164148663559844,0.219181487227466,-0.0748916642715774,0.940300908880044,0.999799029641296
ABHD10,9.92123972704637,0.0713349143437739,0.226139282923721,0.315446805267512,0.75242243395493,0.999799029641296
ABHD12,10.8430192010654,-0.102820057411581,0.227175228564523,-0.452602416475074,0.650835058412239,0.999799029641296
ABHD14B,11.6804190055041,0.113627206884416,0.209239471638727,0.543048622683413,0.587096325350609,0.999799029641296
ABHD15,10.1010272244091,0.15157429749307,0.22213891373051,0.682340139994354,0.495023897127918,0.999799029641296
ABHD16A,11.0252696963135,-0.0406135495166716,0.221771619849079,-0.183132312170106,0.854694203033467,0.999799029641296
ABHD2,13.2875695578608,-0.0438173852187476,0.201567940138287,-0.217382710706308,0.827910103914734,0.999799029641296
ABHD4,10.6317480062193,-0.171406279001997,0.23333295823097,-0.734599519508625,0.462583430721329,0.999799029641296
ABHD5,8.89528679038273,0.0485206836951616,0.234983352666158,0.206485621830816,0.836411594867576,0.999799029641296
ABHD6,9.09399066191205,0.115147227968283,0.235105455020571,0.489768423102766,0.624297777672952,0.999799029641296
ABHD8,10.2695444721373,-0.0681711208190681,0.232386027480391,-0.293352924692602,0.76925240398017,0.999799029641296
ABI1,10.1442184733855,-0.0811321824886596,0.232436552315323,-0.349050877241528,0.727051114171448,0.999799029641296
ABL1,10.6495028292098,0.0965936856221523,0.225743648575524,0.427891044694602,0.668730447322643,0.999799029641296
ABL2,9.71365920956921,-0.119065012377279,0.239215234858176,-0.49773172869976,0.618673141474421,0.999799029641296
ABR,9.57482086211114,0.08271336414438,0.232385831119574,0.355931184555826,0.721892101206769,0.999799029641296
ABT1,10.1722544111539,-0.0501700580356328,0.23238348575276,-0.215893387919184,0.829070851245595,0.999799029641296
ABTB2,10.3509934961437,0.0417083653368385,0.222751643977015,0.187241560116801,0.851471240758986,0.999799029641296
ACAA1,13.2872569760209,0.138392805667518,0.194048393309758,0.713187073116357,0.475730004324165,0.999799029641296
ACAA2,12.7000021241409,0.1729141504997,0.195894562366733,0.882689894046104,0.377403843840521,0.999799029641296
ACACA,10.0487929650533,0.0891452182602559,0.226220993804248,0.394062534874169,0.693534870505593,0.999799029641296
ACAD10,9.56799729914842,0.0370760830331881,0.228739355511198,0.162088779826842,0.871235941758241,0.999799029641296
ACAD11,11.9466835008525,0.112616697013913,0.203766197355041,0.55267604968694,0.580485256257962,0.999799029641296
ACAD9,10.2696378775212,0.0115257688583221,0.227182986466831,0.0507334155500453,0.959537949166799,0.999799029641296
ACADM,12.2668866315095,0.0654497394901254,0.202805248126024,0.32272211934799,0.746905698930939,0.999799029641296
ACADS,11.4291314335332,0.194093641553533,0.206178991113883,0.941384185192398,0.346508015074947,0.999799029641296
ACADSB,12.7005497613926,0.198148874355057,0.194104921138337,1.02083385208888,0.30733316297419,0.999799029641296
ACADVL,12.8835734630485,0.0989087011821074,0.198643874892113,0.497919713033319,0.61854063227809,0.999799029641296
ACAT1,13.2590614404322,0.125814465260593,0.194042475285557,0.648386210675995,0.516735186771438,0.999799029641296
ACAT2,11.0655025130094,0.0973239677688312,0.211640911487143,0.459854227072461,0.645620856985293,0.999799029641296
ACBD3,10.8023468569919,-0.0403738552095888,0.222233834704758,-0.181672854915303,0.855839470074745,0.999799029641296
ACBD4,9.34824142831148,0.13253164854309,0.234684075278455,0.564723654069156,0.572261742691669,0.999799029641296
ACBD5,10.2549244152028,-0.0175678644726104,0.2236069214197,-0.0785658349082869,0.937377963300943,0.999799029641296
