"Symbol","Coefficient"
"CD4",-0.388601378774023
"CDK1",-0.0864435916800694
"EGFR",-0.015587836558153
"PTPRC",-0.124299685714019
"CD44",0.228973174094563
"CCNB1",-0.117720483056878
"FN1",0.0431828519522837
"CDC20",0.0453160974142747
"PLK1",0.481608510264346
"KIF11",0.0886272292650701
"CCNB2",0.194526567675745
"KIF2C",0.12948851325539
"CENPF",0.173348559213934
"ASPM",0.181292428890294
"MAD2L1",-0.0253039515910488
"FCGR3A",0.729853388152146
"KIF4A",0.141866736343465
"CENPE",-0.0345898572202254
"ITGAM",0.129387201084184
"CEP55",0.505602796941317
"NUSAP1",0.238455245480559
"EXO1",-0.245677888822404
"RRM2",-0.332399662205159
"TYROBP",-0.285188431140217
"ZWINT",-0.0788954850552864
"UBE2C",0.0295616314031085
"ITGB2",0.0146939666358216
"CD86",-0.0968179898270825
"CCR5",-0.370883208693883
"HMMR",-0.37347293012328
"AURKA",0.311492170659308
"CCL5",0.269584017231636
"CDCA5",-0.556758819457884
"CD2",-0.399655793718959
"PRC1",0.105882677201781
"MKI67",-0.886758400958106
"FOXM1",0.305861952727687
"RACGAP1",-0.197831108610891
"CSF1R",0.086167471359447
"MYC",0.146721573558883
"CD27",0.178124849856101
"MMP9",0.0477343565143188
"BRCA1",0.156632467850511
"ITGAX",0.217488537624206
"CXCL10",0.331880898365566
"CXCL12",0.0388167762919614
"SPAG5",0.200328993981673
"PTTG1",0.35408001310263
"RAD51",-0.394586732310768
"CD40",-0.0306153787857088
"CDC6",0.368383708346869
"TGFB1",0.171981299066614
"GAPDH",-0.0677676615342842
