"Symbol","Normal","Tumor","MeanDecreaseAccuracy","MeanDecreaseGini"
"GAPDH",20.3762610315626,-0.228624226576229,20.2882056186075,17.1069318449084
"ITGAX",22.2120141485633,2.35155142470256,21.5282739304953,16.6078190222434
"CD40",14.1582110428732,-3.24695813212832,14.0964475579578,10.2935888103336
"CCNA2",11.0024720145988,-0.0582770981384257,10.3439428882188,7.11595380815286
"CDC6",10.1599975498144,-1.18559936667329,10.3309859174248,6.66686269752924
"TYROBP",11.1693233869171,0.877578125291851,10.8044948682506,6.48610474266252
"TPX2",9.31473205457903,-0.0364427622087479,9.36864769322694,5.56221274682532
"PLK1",10.9421731276567,-2.44845607242496,10.8997904501007,4.51033531496481
"CXCL12",20.974315136805,13.9409936580152,21.0294536801803,4.40789675570638
"NUSAP1",9.36266782134834,-1.51266188337594,9.51834510685033,4.23737841953687
"EXO1",6.13464375482397,2.99979155316449,6.51491634514316,4.17195844192406
"UBE2C",8.93323575100659,-4.10721121525327,8.77128426627568,4.07084862783823
"CEP55",6.33018972698781,2.22750090389756,6.14333727240722,3.74278851900001
"CXCR4",9.7960754744828,-2.09178696812812,9.61947704409354,3.55035787112126
"PTTG1",7.04243554051629,-1.18171363198489,7.05314399601936,3.19524712399794
"KIF4A",6.77424678202961,0.902130446741554,6.908866631814,2.75410014436301
"CENPF",7.88661520490847,-2.64239753707473,7.80797987065645,2.53443524170301
"FCGR3A",7.46218305208826,0.147921567070133,7.6364397286717,2.23088835252948
"CCL5",6.49322636371411,1.2719471232111,6.8225094345699,2.15437527318501
"TOP2A",5.87901360246009,0.102151733657801,5.82729238821694,1.93708480105917
"CXCL10",9.17459626316759,1.82028995743671,9.16121717218864,1.82188403814773
"CCNB2",4.79574827331234,0.329138381881134,4.69250983160273,1.77359550047995
"TGFB1",8.70416273661276,1.22851020167628,8.90372354164771,1.66682312447141
"BRCA1",10.2485391623903,0.548166938559125,10.2563297593579,1.6658310250688
"AURKA",12.9648152912698,-1.14638242215152,12.7412231698504,1.66472538120753
"ITGB2",6.30280135959802,-1.43749230441583,6.29565152095785,1.52321380481503
"KIF11",8.60871532412905,5.66710133641504,8.85035133107433,1.50595154956053
"MKI67",2.92219315357025,1.41714993824749,3.37221274838632,1.39592209616944
"FN1",7.55189306821777,5.2218242747569,8.69944440596935,1.34736858835771
"FOXM1",4.59347627321839,0.122083173895453,4.88968686560613,1.32705344245159
"RRM2",3.62533173799654,0.154145479077689,3.73341778599894,1.30702832146213
"TLR2",5.36849511880344,-1.89474738261504,5.27514322188012,1.01595727056779
"CD8A",4.89536326468947,-0.305080648082908,4.7366019778393,1.00263212968824
"ZWINT",2.31850820494717,2.48289908057963,4.08838720741017,0.973418422019575
"ASPM",4.11202936909445,0.548909140176996,4.20696646191684,0.930217630053045
"CDK1",0.211305995046514,4.59820681288706,4.445457509402,0.843854358592005
"CCR5",5.12780831100807,0.906111996203991,4.85842461948395,0.836224940432387
"PTPRC",0.870393287504718,3.49247673848789,3.59127552005213,0.712404073168766
"SPAG5",-4.40290657631266,3.44336760158467,2.7468804762545,0.674935787454942
"CSF1R",2.42681718195701,2.61413325050409,3.52614993873861,0.61984757396626
"MMP9",5.12293741642544,0.345664901237766,5.13339116244405,0.60930404058691
"MAD2L1",1.43904720575812,2.51246795179987,2.69760867591298,0.593659782257139
"ITGAM",5.35327083179993,-0.165221511305192,5.22026092149941,0.568716209132279
"CENPE",4.22802502517882,-2.12683550780534,4.14708381897961,0.553667357947964
"CDCA5",2.9692128814251,0.960734216141907,3.50466279526045,0.522948229224971
"RAD51",3.12245540307527,1.67131124853337,3.74729089546811,0.515201698981529
"KIF2C",3.68284064752625,-0.226865645089733,4.09373889023223,0.508694653460703
"LCK",-2.18798929498266,4.00175215562006,3.79157500528756,0.498709817957053
"HMMR",0.325673748592563,1.94676027589477,1.81792905525535,0.467741557838384
"CD44",5.75894381055239,-0.881687952550378,5.60693456532714,0.426436469521269
"EGFR",7.40119780577255,-1.90963132382757,7.10598900424631,0.426303817612847
"CDKN3",3.28164169597168,-2.19823575569582,3.03327692745217,0.420665898877093
"MYC",4.05438941790113,0.0676581727466976,4.16830722520045,0.410161735031277
"CD247",1.92821869765421,2.23292964224635,2.87767117424356,0.404796494182072
"CD2",3.69177439016452,1.88426913032491,3.75997932738733,0.39188493533582
"CD27",1.75814207152367,2.29850862747856,2.86237102810902,0.364365842627019
"CD86",2.58508017717263,0.492066744866408,2.59760240696983,0.358625119758503
"CD4",3.68512569508281,1.31772394064538,3.73806576695543,0.309996119448634
"CDCA8",2.21511406389535,1.82341008991778,2.89399481146156,0.272795112865823
"CD3E",2.08221742943277,3.27707067606106,3.92455257513045,0.269759403081947
"RACGAP1",5.19168066778766,-1.63071157918192,5.32790751708466,0.212775410821946
"PRC1",3.75567247161365,0.0304462907757683,4.08017921592519,0.198235496291904
"CCNB1",3.04145993308305,-0.296481543376566,2.95209446208799,0.172622818742749
"CDC20",3.86406484584041,0.0093152130609152,3.98989986301288,0.115560936570184
