"sample","condition"
"GSM5462689","Cancer"
"GSM5462690","Normal"
"GSM5462691","Cancer"
"GSM5462692","Normal"
"GSM5462693","Cancer"
"GSM5462694","Normal"
"GSM5462695","Cancer"
"GSM5462696","Normal"
"GSM5462697","Cancer"
"GSM5462698","Normal"
"GSM5462699","Cancer"
"GSM5462700","Normal"
"GSM5462701","Normal"
"GSM5462702","Cancer"
"GSM5462703","Cancer"
"GSM5462704","Cancer"
"GSM5462705","Cancer"
"GSM5462706","Cancer"
"GSM5462707","Cancer"
"GSM5462708","Cancer"
"GSM5462709","Cancer"
"GSM5462710","Cancer"
"GSM5462711","Cancer"
"GSM5462712","Cancer"
"GSM5462713","Cancer"
"GSM5462714","Cancer"
"GSM5462715","Cancer"
"GSM5462716","Cancer"
"GSM5462717","Cancer"
"GSM5462718","Cancer"
"GSM5462719","Normal"
"GSM5462720","Normal"
"GSM5462721","Normal"
"GSM5462722","Normal"
"GSM5462723","Normal"
"GSM5462724","Normal"
"GSM5462725","Normal"
"GSM5462726","Normal"
"GSM5462727","Normal"
"GSM5462728","Normal"
"GSM5462729","Normal"
"GSM5462730","Normal"
"GSM5462731","Normal"
"GSM5462732","Normal"
"GSM5462733","Normal"
"GSM5462734","Normal"
"GSM5462735","Cancer"
"GSM5462736","Cancer"
"GSM5462737","Cancer"
"GSM5462738","Cancer"
"GSM5462739","Cancer"
"GSM5462740","Cancer"
"GSM5462741","Normal"
"GSM5462742","Cancer"
"GSM5462743","Normal"
"GSM5462744","Cancer"
"GSM5462745","Normal"
"GSM5462747","Normal"
"GSM5462748","Cancer"
"GSM5462749","Normal"
"GSM5462750","Cancer"
"GSM5462753","Normal"
"GSM5462754","Cancer"
"GSM5462755","Normal"
"GSM5462757","Normal"
"GSM5462758","Cancer"
"GSM5462759","Normal"
"GSM5462760","Cancer"
"GSM5462761","Normal"
"GSM5462763","Normal"
"GSM5462765","Cancer"
"GSM5462766","Cancer"
"GSM5462767","Cancer"
"GSM5462768","Cancer"
"GSM5462770","Cancer"
"GSM5462771","Normal"
"GSM5462772","Cancer"
"GSM5462773","Normal"
"GSM5462774","Cancer"
"GSM5462775","Normal"
"GSM5462776","Cancer"
"GSM5462777","Normal"
"GSM5462779","Normal"
"GSM5462780","Cancer"
"GSM5462781","Normal"
"GSM5462782","Cancer"
"GSM5462785","Normal"
"GSM5462786","Cancer"
"GSM5462788","Cancer"
"GSM5462789","Normal"
"GSM5462790","Cancer"
"GSM5462791","Cancer"
"GSM5462792","Cancer"
"GSM5462793","Cancer"
"GSM5462794","Cancer"
"GSM5462797","Cancer"
"GSM5462798","Cancer"
"GSM5462799","Cancer"
"GSM5462800","Cancer"
"GSM5462801","Cancer"
"GSM5462803","Cancer"
"GSM5462804","Cancer"
"GSM5462806","Cancer"
"GSM5462807","Cancer"
"GSM5462808","Cancer"
"GSM5462809","Cancer"
"GSM5462810","Cancer"
"GSM5462811","Cancer"
"GSM5462812","Cancer"
"GSM5462813","Cancer"
"GSM5462815","Cancer"
"GSM5462816","Cancer"
"GSM5462817","Cancer"
"GSM5462818","Cancer"
"GSM5462819","Cancer"
"GSM5462820","Cancer"
"GSM5462821","Cancer"
"GSM5462822","Cancer"
"GSM5462824","Cancer"
"GSM5462825","Cancer"
"GSM5462826","Cancer"
"GSM5462827","Cancer"
"GSM5462829","Cancer"
"GSM5462831","Cancer"
"GSM5462832","Cancer"
"GSM5462833","Cancer"
"GSM5462834","Cancer"
"GSM5462835","Cancer"
"GSM5462836","Cancer"
"GSM5462837","Cancer"
"GSM5462838","Cancer"
"GSM5462839","Cancer"
"GSM5462840","Cancer"
"GSM5462841","Cancer"
"GSM5462842","Cancer"
"GSM5462845","Cancer"
"GSM5462850","Cancer"
"GSM5462851","Cancer"
"GSM5462856","Cancer"
"GSM5462858","Cancer"
"GSM5462860","Cancer"
"GSM5462862","Cancer"
"GSM5462863","Cancer"
"GSM5462864","Cancer"
"GSM5462869","Cancer"
"GSM5462871","Cancer"
"GSM5462873","Cancer"
"GSM5462875","Cancer"
"GSM5462877","Cancer"
"GSM5462878","Cancer"
