sample,condition
GSM1228184,Cancer
GSM1228185,Cancer
GSM1228186,Cancer
GSM1228187,Cancer
GSM1228188,Cancer
GSM1228189,Cancer
GSM1228190,Cancer
GSM1228191,Cancer
GSM1228192,Cancer
GSM1228193,Cancer
GSM1228194,Cancer
GSM1228195,Cancer
GSM1228196,Cancer
GSM1228197,Cancer
GSM1228198,Cancer
GSM1228199,Cancer
GSM1228200,Cancer
GSM1228201,Cancer
GSM1228202,Normal
GSM1228203,Normal
GSM1228204,Normal
GSM1228205,Normal
GSM1228206,Normal
GSM1228207,Normal
GSM1228208,Normal
GSM1228209,Normal
GSM1228210,Normal
GSM1228211,Normal
GSM1228212,Normal
GSM1228213,Normal
GSM1228214,Normal
GSM1228215,Normal
GSM1228216,Normal
GSM1228217,Normal
GSM1228218,Normal
GSM1228219,Normal
GSM1228220,Cancer
GSM1228221,Cancer
GSM1228222,Cancer
GSM1228223,Cancer
GSM1228224,Cancer
GSM1228225,Cancer
GSM1228226,Cancer
GSM1228227,Cancer
GSM1228228,Cancer
GSM1228229,Cancer
GSM1228230,Cancer
GSM1228231,Cancer
GSM1228232,Cancer
GSM1228233,Cancer
GSM1228234,Cancer
GSM1228235,Cancer
GSM1228236,Cancer
GSM1228237,Cancer
