sample,condition
GSM4224323,Normal
GSM4224324,Cancer
GSM4224325,Normal
GSM4224326,Cancer
GSM4224327,Normal
GSM4224328,Cancer
GSM4224329,Normal
GSM4224330,Cancer
GSM4224331,Normal
GSM4224332,Cancer
GSM4224333,Normal
GSM4224334,Cancer
GSM4224335,Normal
GSM4224336,Cancer
GSM4224337,Normal
GSM4224338,Cancer
GSM4224339,Normal
GSM4224340,Cancer
GSM4224341,Normal
GSM4224342,Cancer
GSM4224343,Normal
GSM4224344,Cancer
GSM4224345,Normal
GSM4224346,Cancer
GSM4224347,Normal
GSM4224348,Cancer
GSM4224349,Normal
GSM4224350,Cancer
GSM4224351,Normal
GSM4224352,Cancer
GSM4224353,Normal
GSM4224354,Cancer
GSM4224355,Normal
GSM4224356,Cancer
GSM4224357,Normal
GSM4224358,Cancer
GSM4224359,Normal
GSM4224360,Cancer
GSM4224361,Normal
GSM4224362,Cancer
