sample,condition
GSM2496685,Normal
GSM2496686,Cancer
GSM2496687,Normal
GSM2496688,Cancer
GSM2496689,Normal
GSM2496690,Cancer
GSM2496691,Normal
GSM2496692,Cancer
GSM2496693,Normal
GSM2496694,Cancer
GSM2496695,Normal
GSM2496696,Cancer
GSM2496697,Cancer
GSM2496698,Normal
GSM2496699,Cancer
GSM2496700,Normal
GSM2496701,Cancer
GSM2496702,Normal
GSM2496703,Cancer
GSM2496704,Normal
GSM2496705,Normal
GSM2496706,Cancer
GSM2496707,Normal
GSM2496708,Cancer
GSM2496709,Normal
GSM2496710,Cancer
GSM2496711,Normal
GSM2496712,Cancer
GSM2496713,Normal
GSM2496714,Cancer
GSM2496715,Cancer
