sample,condition
GSM6939925,Cancer
GSM6939926,Cancer
GSM6939927,Cancer
GSM6939928,Cancer
GSM6939929,Cancer
GSM6939930,Cancer
GSM6939931,Cancer
GSM6939932,Cancer
GSM6939933,Cancer
GSM6939934,Cancer
GSM6939935,Cancer
GSM6939936,Cancer
GSM6939937,Cancer
GSM6939938,Cancer
GSM6939939,Cancer
GSM6939940,Cancer
GSM6939941,Cancer
GSM6939942,Cancer
GSM6939943,Cancer
GSM6939944,Cancer
GSM6939945,Normal
GSM6939946,Normal
GSM6939947,Normal
GSM6939948,Normal
GSM6939949,Normal
GSM6939950,Normal
GSM6939951,Normal
GSM6939952,Normal
GSM6939953,Normal
GSM6939954,Normal
GSM6939955,Normal
GSM6939956,Normal
GSM6939957,Normal
GSM6939958,Normal
GSM6939959,Normal
GSM6939960,Normal
GSM6939961,Normal
GSM6939962,Normal
GSM6939963,Normal
GSM6939964,Normal
