Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
6502,SKP2,S-phase kinase associated protein 2,protein_coding,440.788584731763,-0.448316703706302,0.179789604880638,-2.49356298437799,0.0126468144619077,0.0571021049807795
133686,NADK2,"NAD kinase 2, mitochondrial",protein_coding,552.78407555239,-0.145024503136874,0.176741042851573,-0.820547965526408,0.411903797161461,0.59494828424096
6507,SLC1A3,solute carrier family 1 member 3,protein_coding,31.9628766813603,1.13704307288105,0.475332857681974,2.39209861995654,0.0167523403294312,0.0688902935181234
25836,NIPBL,NIPBL cohesin loading factor,protein_coding,2680.64046913194,-0.030901024262311,0.113495288315092,-0.272267022896333,0.785416710638984,0.880008043566148
65250,CPLANE1,ciliogenesis and planar polarity effector complex subunit 1,protein_coding,816.053353055546,0.550129296198039,0.188769154347123,2.91429655496798,0.00356491082390892,0.023131355774413
9631,NUP155,nucleoporin 155,protein_coding,877.332698426888,-0.668848329668556,0.171658980826005,-3.89637831035771,9.76418319941084e-05,0.00180204276370395
55100,WDR70,WD repeat domain 70,protein_coding,547.721382299405,0.016931410075613,0.0952950751169635,0.177673505738168,0.858979393518715,0.924599849075108
2668,GDNF,glial cell derived neurotrophic factor,protein_coding,67.5335773557438,0.921701573279331,0.499198042745865,1.84636455745993,0.0648392898240028,0.17675817647747
133584,EGFLAM,"EGF like, fibronectin type III and laminin G domains",protein_coding,43.3608108142124,-0.196541487287385,0.437787538895421,-0.448942625875733,0.653473045612517,0.789912015429818
3977,LIFR,LIF receptor subunit alpha,protein_coding,369.222792831614,1.06084351800572,0.315744750677979,3.35981363341065,0.000779950668077488,0.0077987021932369
9180,OSMR,oncostatin M receptor,protein_coding,261.819382229017,0.0695196421339211,0.224488013950461,0.309680864071711,0.756803656138415,0.860833633629311
253260,RICTOR,RPTOR independent companion of MTOR complex 2,protein_coding,1093.8874396383,-0.0688587846994369,0.134475359718328,-0.512055032562608,0.608612494572763,0.758974660370279
2533,FYB1,FYN binding protein 1,protein_coding,276.619407843415,1.05377499038495,0.268912617305302,3.91865209206075,8.90455342644354e-05,0.00168925128994019
1601,DAB2,DAB adaptor protein 2,protein_coding,806.888109770189,-0.142158601313569,0.225510728964774,-0.63038509061702,0.528442663117808,0.696116751768451
5734,PTGER4,prostaglandin E receptor 4,protein_coding,624.962866345509,0.376661479378594,0.241298227359708,1.56097905691241,0.118528692389171,0.266407870164763
23548,TTC33,tetratricopeptide repeat domain 33,protein_coding,329.647313824334,0.207962969947119,0.161282899568612,1.28942975667826,0.197248721973098,0.372329186796536
5562,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1,protein_coding,1723.74571050179,-0.0926234012384279,0.11153706780559,-0.830427077389838,0.406297361611916,0.59001522334895
6167,RPL37,ribosomal protein L37,protein_coding,5367.81453460892,-0.582357561651844,0.172133181818881,-3.3831801370209,0.000716516181975839,0.00731916102638335
84674,CARD6,caspase recruitment domain family member 6,protein_coding,88.1010199810777,-0.707592009391096,0.395883993645324,-1.78737211089427,0.0738773661044957,0.193532247036753
730,C7,complement C7,protein_coding,837.33041878943,0.913802526425169,0.349729243110294,2.61288566634671,0.00897813317120589,0.0448976130831416
345557,PLCXD3,phosphatidylinositol specific phospholipase C X domain containing 3,protein_coding,37.0965637457875,0.68199120426499,0.654517487368947,1.04197552766158,0.297423025146761,0.483802132019917
5019,OXCT1,3-oxoacid CoA-transferase 1,protein_coding,594.243416792132,-0.330701934272147,0.235284160859887,-1.40554269808702,0.159859961810869,0.323761092613511
285636,RIMOC1,RAB7A interacting MON1-CCZ1 complex subunit 1,protein_coding,276.313068469058,-0.48259927544144,0.26682679449577,-1.80866121917561,0.0705036513377596,0.187121805905063
26272,FBXO4,F-box protein 4,protein_coding,329.719170831147,-0.394340407393268,0.132357800818255,-2.97935146213823,0.00288859242139734,0.019951560337033
2690,GHR,growth hormone receptor,protein_coding,176.168051132052,0.596366378752611,0.363784577351066,1.63933936698228,0.101142601640029,0.239344899377137
100129792,CCDC152,coiled-coil domain containing 152,protein_coding,1743.05433778315,0.59350307964457,0.379228137858988,1.5650291220354,0.117576081059764,0.264850128916778
6414,SELENOP,selenoprotein P,protein_coding,3424.32202099288,0.48169708570171,0.358906452034963,1.34212434179028,0.179555682522338,0.349625948854384
389289,ANXA2R,annexin A2 receptor,protein_coding,17.1889395108654,0.0177485089582697,0.52544814484562,0.0337778506449657,0.973054298489808,0.986341647150572
7690,ZNF131,zinc finger protein 131,protein_coding,605.665772458525,-0.231672591439627,0.120640022450824,-1.92036263532746,0.0548121097506023,0.157273521362243
3157,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1,protein_coding,1940.6722832295,-0.601772226187555,0.172626371295926,-3.48598085952907,0.000490336087403589,0.00558556760433654
56477,CCL28,C-C motif chemokine ligand 28,protein_coding,794.687735214271,0.0415134458571202,0.243094178493093,0.170771040731853,0.864403800695559,0.927587471825955
64417,TMEM267,transmembrane protein 267,protein_coding,180.539515107064,-0.334904991764376,0.190643285611747,-1.75671013374383,0.0789672293601501,0.202007737542498
375444,C5orf34,chromosome 5 open reading frame 34,protein_coding,73.9068193801934,-0.153907584283144,0.24139765593221,-0.637568677660916,0.523754490545095,0.692408450750626
10605,PAIP1,poly(A) binding protein interacting protein 1,protein_coding,958.125188642004,-0.468810689646972,0.128836892146516,-3.63879228873226,0.000273919615618123,0.00372690637697523
23530,NNT,nicotinamide nucleotide transhydrogenase,protein_coding,1424.80242366375,-0.0123361961122325,0.271234526159448,-0.0454816585738812,0.963723394106378,0.980748841135776
2255,FGF10,fibroblast growth factor 10,protein_coding,49.8254499737583,0.56956033667032,0.424936806567329,1.34034126455477,0.180134421738179,0.350478271643297
10884,MRPS30,mitochondrial ribosomal protein S30,protein_coding,393.144613019368,-0.291218126634902,0.149601254971562,-1.94662890154404,0.0515792410624726,0.150720023196476
133418,EMB,embigin,protein_coding,359.113347749876,-1.20578426308103,0.392272370364224,-3.07384448708805,0.00211319556736437,0.0158567662744578
79668,PARP8,poly(ADP-ribose) polymerase family member 8,protein_coding,491.803592317762,-1.1920786924152,0.313644289155137,-3.80073456980931,0.000144267775160264,0.00234222889793609
3670,ISL1,ISL LIM homeobox 1,protein_coding,37.0245693768492,-1.55148022730423,0.522856485438553,-2.96731564112264,0.00300412381907174,0.0204651976824184
3672,ITGA1,integrin subunit alpha 1,protein_coding,2203.38024831962,0.0388274372722846,0.220255497846469,0.176283623573154,0.860071127055256,0.925107296052554
53918,PELO,pelota mRNA surveillance and ribosome rescue factor,protein_coding,362.641704521274,-0.218575987925967,0.143411341594011,-1.52411926069796,0.127478922120017,0.279323647086892
3673,ITGA2,integrin subunit alpha 2,protein_coding,1438.21231497024,-0.933013646463857,0.249685047925155,-3.73676218987504,0.000186405066727234,0.00284121181895253
4338,MOCS2,molybdenum cofactor synthesis 2,protein_coding,371.938619311624,0.00667174146974416,0.146807314484368,0.0454455657960733,0.963752162230184,0.980748841135776
10468,FST,follistatin,protein_coding,37.365833851477,1.0370082472063,0.531087162335647,1.95261403541687,0.0508653467863593,0.149420809620293
4724,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,protein_coding,752.502918444385,-0.157742534354247,0.17710766993701,-0.890658967002101,0.373112154341306,0.559596073982303
