category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,14/628,61/7217,0.229508196721311,2.6375169677352,3.96491508560981,0.000588705159117031,0.00722295945224357,0.00614922797782162,6548/815/111/760/5579/6752/6750/482/5567/477/54207/4638/115111/816,14
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,14/628,62/7217,0.225806451612903,2.59497637148141,3.89371006446761,0.000700952131872978,0.00828161963212888,0.00705051267147089,2903/815/2893/4128/2354/2892/111/5579/5567/4129/2902/84699/816/6570,14
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,17/628,84/7217,0.202380952380952,2.32576963906582,3.77302715221188,0.000758437628682277,0.00864077155534451,0.00735627474436193,206358/1360/4225/340024/1310/1287/1288/4224/340267/482/6550/477/81578/6547/6564/7512/1280,17
Metabolism,Energy metabolism,hsa00920,Sulfur metabolism,5/628,10/7217,0.5,5.74601910828026,4.63628955690105,0.000854231145458916,0.00939654260004808,0.00799969638941562,8991/58472/23474/9060/7263,5
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,8/628,25/7217,0.32,3.67745222929936,4.13985591733652,0.000892868132995836,0.00949416448085572,0.00808280625659389,2903/2893/2892/2562/1139/773/2902/246213,8
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,7/628,21/7217,0.333333333333333,3.83067940552017,4.01026512638835,0.00143559178286858,0.0147727025398412,0.0125766614594259,762/5105/760/8671/482/6550/477,7
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,24/628,145/7217,0.16551724137931,1.9021304634307,3.38766575465156,0.00150736391789932,0.0150265340565588,0.0127927595663824,4359/9378/139065/137075/8174/8516/3897/257194/4684/58494/94030/9073/57502/57863/933/1272/6614/7122/3135/5010/6900/26050/22865/84189,24
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,21/628,122/7217,0.172131147540984,1.9781377258014,3.36373717816537,0.00177006316592157,0.0171106106039085,0.014567027011412,2903/815/2893/5523/4128/2788/5602/2892/111/3800/5579/3798/5567/4129/773/94235/84699/2775/5521/816/6570,21
Organismal Systems,Endocrine system,hsa04924,Renin secretion,13/628,64/7217,0.203125,2.33432026273885,3.30997174126136,0.00297583976577106,0.027920378978852,0.0237698656213292,153/5139/5137/111/1908/22802/5567/5593/1179/1907/3778/9635/117,13
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,10/628,43/7217,0.232558139534884,2.6725670271071,3.39590398698103,0.00316318501028796,0.0288301719509103,0.0245444130121592,2903/4128/8787/2354/111/5567/4129/2902/84699/6570,10
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,8/628,31/7217,0.258064516129032,2.96568728169303,3.38586781039108,0.00408264067214726,0.0361767326226383,0.0307988682284794,4128/125/7173/126/4129/8639/124/130,8
