Sample,Condition
GSM4577783,tumor
GSM4577784,tumor
GSM4577785,tumor
GSM4577786,tumor
GSM4577787,tumor
GSM4577788,tumor
GSM4577789,tumor
GSM4577790,tumor
GSM4577791,tumor
GSM4577792,tumor
GSM4577793,tumor
GSM4577794,tumor
GSM4577795,tumor
GSM4577796,tumor
GSM4577797,tumor
GSM4577798,tumor
GSM4577799,tumor
GSM4577800,tumor
GSM4577801,tumor
GSM4577802,tumor
GSM4577803,tumor
GSM4577804,tumor
GSM4577805,tumor
GSM4577806,tumor
GSM4577807,tumor
GSM4577808,tumor
GSM4577809,tumor
GSM4577810,tumor
GSM4577811,tumor
GSM4577812,tumor
GSM4577813,tumor
GSM4577814,tumor
GSM4577815,normal
GSM4577816,tumor
GSM4577817,tumor
GSM4577818,tumor
GSM4577819,normal
GSM4577820,tumor
GSM4577821,tumor
GSM4577822,tumor
GSM4577823,tumor
GSM4577824,normal
GSM4577825,tumor
GSM4577826,normal
GSM4577827,tumor
GSM4577828,tumor
GSM4577829,tumor
GSM4577830,normal
GSM4577831,tumor
GSM4577832,normal
GSM4577833,tumor
GSM4577834,normal
GSM4577835,tumor
GSM4577836,normal
GSM4577837,tumor
GSM4577838,normal
GSM4577839,tumor
GSM4577840,normal
GSM4577841,normal
GSM4577842,tumor
GSM4577843,normal
GSM4577844,tumor
GSM4577845,tumor
GSM4577846,normal
GSM4577847,tumor
GSM4577848,tumor
GSM4577849,tumor
GSM4577850,normal
GSM4577851,tumor
GSM4577852,normal
GSM4577853,tumor
GSM4577854,normal
GSM4577855,tumor
GSM4577856,normal
GSM4577857,tumor
