Sample,Condition
GSM6578989,tumor
GSM6578988,normal
GSM6578987,tumor
GSM6578986,normal
GSM6578985,tumor
GSM6578984,normal
GSM6578983,tumor
GSM6578982,normal
GSM6578981,tumor
GSM6578980,normal
GSM6578979,tumor
GSM6578978,normal
GSM6578977,tumor
GSM6578976,normal
GSM6578975,tumor
GSM6578974,normal
GSM6578973,tumor
GSM6578972,tumor
GSM6578971,normal
GSM6578970,tumor
GSM6578969,normal
GSM6578968,tumor
GSM6578967,normal
GSM6578966,tumor
GSM6578965,normal
GSM6578964,tumor
GSM6578963,normal
GSM6578962,tumor
GSM6578961,normal
GSM6578960,tumor
GSM6578959,normal
GSM6578958,tumor
GSM6578957,normal
GSM6578956,tumor
GSM6578955,normal
GSM6578954,tumor
GSM6578953,normal
GSM6578952,tumor
GSM6578951,normal
GSM6578950,tumor
GSM6578949,normal
