Sample,Condition
GSM5742556,normal
GSM5742555,normal
GSM5742554,normal
GSM5742553,normal
GSM5742552,normal
GSM5742551,normal
GSM5742550,normal
GSM5742549,normal
GSM5742524,normal
GSM5742523,tumor
GSM5742522,normal
GSM5742521,tumor
GSM5742520,normal
GSM5742519,tumor
GSM5742518,normal
GSM5742517,tumor
GSM5742500,normal
GSM5742499,tumor
GSM5742498,normal
GSM5742497,tumor
GSM5742496,normal
GSM5742495,tumor
GSM5742494,normal
GSM5742493,tumor
GSM5742540,tumor
GSM5742539,normal
GSM5742538,normal
GSM5742537,normal
GSM5742536,normal
GSM5742535,normal
GSM5742534,normal
GSM5742533,tumor
GSM5742508,normal
GSM5742507,tumor
GSM5742506,normal
GSM5742505,tumor
GSM5742504,normal
GSM5742503,tumor
GSM5742502,normal
GSM5742501,tumor
GSM5742484,normal
GSM5742483,normal
GSM5742482,normal
GSM5742481,normal
GSM5742480,normal
GSM5742479,normal
GSM5742478,normal
GSM5742477,normal
GSM5742564,normal
GSM5742563,normal
GSM5742562,tumor
GSM5742561,normal
GSM5742560,tumor
GSM5742559,tumor
GSM5742558,normal
GSM5742557,normal
GSM5742532,normal
GSM5742531,tumor
GSM5742530,normal
GSM5742529,tumor
GSM5742528,normal
GSM5742527,tumor
GSM5742526,normal
GSM5742525,tumor
GSM5742476,normal
GSM5742475,normal
GSM5742474,normal
GSM5742473,normal
GSM5742472,normal
GSM5742471,normal
GSM5742470,tumor
GSM5742469,normal
GSM5742571,normal
GSM5742570,normal
GSM5742569,normal
GSM5742568,normal
GSM5742567,normal
GSM5742566,normal
GSM5742565,normal
GSM5742548,normal
GSM5742547,normal
GSM5742546,normal
GSM5742545,normal
GSM5742544,normal
GSM5742543,tumor
GSM5742542,normal
GSM5742541,tumor
GSM5742516,normal
GSM5742515,tumor
GSM5742514,normal
GSM5742513,tumor
GSM5742512,normal
GSM5742511,tumor
GSM5742510,normal
GSM5742509,tumor
GSM5742492,normal
GSM5742491,normal
GSM5742490,normal
GSM5742489,normal
GSM5742488,normal
GSM5742487,normal
GSM5742486,normal
GSM5742485,normal
GSM5742468,tumor
GSM5742467,normal
GSM5742466,tumor
GSM5742465,normal
GSM5742464,tumor
GSM5742463,normal
GSM5742462,normal
GSM5742461,normal
