Symbol,n_cancers_hub,mean_degree,mean_lfc,cancer_list
CCL3,2,59,-0.33911902948558,esophagus|kidney
TACC3,2,59,0.195720886785755,esophagus|kidney
SKA3,2,57,0.056413899681065,colorectal|kidney
CCL20,2,56,0.444652554789295,colorectal|kidney
CCL21,2,55,-0.020016402058615,colorectal|kidney
CXCL1,2,55,-2.18173727287468,colorectal|esophagus
ITGA5,2,54,0.17811403664718,esophagus|kidney
BRCA2,2,53,0.30601347826434,colorectal|kidney
IGF2,2,53,-1.42054299634163,esophagus|kidney
CYP2B6,2,52,-3.1089391267513,colorectal|kidney
CYP2C9,2,52,0.39091825060491,esophagus|kidney
FEN1,2,52,-1.06983985099825,colorectal|esophagus
CCL19,2,51,0.1054383911369,colorectal|kidney
KNTC1,2,51,0.12083902461703,esophagus|kidney
SHCBP1,2,51,-1.16525805607673,colorectal|esophagus
CD163,2,49,0.026445041585875,esophagus|kidney
CCR8,2,48,-1.93337362211052,colorectal|esophagus
IL2RA,2,48,-0.0369722305900051,esophagus|kidney
TNFRSF9,2,47,0.99719100214889,esophagus|kidney
ITGA8,2,46,0.0597039683524749,colorectal|kidney
SPP1,2,46,-3.61895931754869,colorectal|esophagus
CDC25A,2,45,-1.0195566474973,colorectal|esophagus
CKS2,2,45,-1.33863503475227,colorectal|esophagus
VTN,2,45,-1.70278639963773,colorectal|kidney
FCGR1A,2,43,0.67464200903201,colorectal|kidney
PTGS2,2,43,-1.10713814627016,colorectal|esophagus
CYP4A11,2,42,-0.764674474919785,esophagus|kidney
MMP1,2,42,-4.98030093434132,colorectal|esophagus
CAMK2A,2,41,-0.71053534303858,colorectal|kidney
DEPDC1B,2,40,-1.25318675572708,colorectal|esophagus
ERBB4,2,40,-0.61739245364257,esophagus|kidney
KPNA2,2,40,-1.23266117575261,colorectal|esophagus
MPO,2,40,-1.49395892665919,colorectal|kidney
ANPEP,2,38,0.420258360269725,colorectal|kidney
CCNF,2,38,-1.14995836849179,colorectal|esophagus
CLSPN,2,38,-1.33902998110048,colorectal|esophagus
FGF10,2,38,-0.772847998249415,colorectal|kidney
MUC1,2,38,0.44090528370884,esophagus|kidney
ORC1,2,38,-1.24679910624549,colorectal|esophagus
SERPINE1,2,38,-2.06220347854416,colorectal|esophagus
LPL,2,37,-1.30203911363274,esophagus|kidney
CCRL2,2,36,-0.0745196307581449,esophagus|kidney
SHMT2,2,36,0.0408177607892,colorectal|kidney
CCL8,2,35,0.251133166184455,colorectal|esophagus
MAOA,2,35,0.1712155884619,colorectal|kidney
OCLN,2,35,0.0799946159295499,esophagus|kidney
CXCL6,2,34,-2.31645831917213,colorectal|esophagus
COL12A1,2,33,-0.379350720862405,esophagus|pancreatic
GINS2,2,32,-1.1219194280957,colorectal|esophagus
