Symbol,Module,N_Cancers,Degree,Log2FC
RGS16,190,3,0,-0.460817513733998
TMEM132C,191,3,0,0.458786593946207
TRPV6,192,3,0,-0.452160508136261
LSAMP,193,3,0,-0.442778527061278
SMIM5,194,3,0,0.438997977754594
BSPRY,195,3,0,-0.432012592410626
C1QTNF6,196,3,0,0.4235513383425
SORCS1,197,3,0,0.423403615372252
ANXA3,198,3,0,-0.423103489786038
SELENBP1,199,3,2,0.422582326138888
TST,199,3,2,0.233203159890732
NRG1,200,3,0,-0.415474278737249
PCDH17,201,3,0,-0.415282838854112
DES,202,3,0,0.41004616319492
LDHD,203,3,0,0.407990856722888
ODAM,204,3,0,0.407803234152187
DUSP26,205,3,0,0.406043835011928
NT5DC4,206,3,0,-0.405495815219981
CFAP20DC,207,3,0,0.404810395216589
TMEM125,208,3,0,-0.400382849514251
ELFN1,209,3,0,-0.39365978277577
ADAMTS18,210,3,0,-0.389534073365972
BCL2A1,211,3,0,-0.383276708210999
MT1A,212,3,0,0.381598147937711
PDZRN4,213,3,0,0.368777383058186
PAQR5,214,3,0,0.368468647930549
C1QTNF7,215,3,0,0.366386445073237
PKNOX2,216,3,0,0.364918976492889
SLC17A9,217,3,0,-0.355051739586289
KHDRBS2,218,3,0,-0.353140895812749
ADAMTS6,219,3,0,-0.347110006944034
SEMA3D,220,3,0,-0.341409800450253
PYCR1,221,3,0,-0.334812569653651
NXPH4,222,3,0,-0.329214884049446
TMEM74,223,3,0,0.325900155314304
SUGCT,224,3,0,-0.321928757167908
CNGA1,225,3,0,0.308861014156889
PCDHB9,226,3,0,-0.305732431504451
CHODL,227,3,0,-0.293461042933648
GABRP,228,3,0,-0.279133478996829
COL28A1,229,3,0,0.268092856457204
CHRDL1,230,3,0,0.264006922973324
TCEAL2,231,3,0,0.262381344323375
HAPLN3,232,3,0,-0.261550752293055
CNTN3,233,3,0,0.248168894474174
SLC7A11,234,3,0,-0.246523748849753
TMEM61,235,3,0,-0.244995134230457
HCAR2,236,3,0,-0.243915056617633
AFF2,237,3,0,0.236766275812951
ABCA12,238,3,0,0.235351952324385
DNASE1L3,239,3,0,0.229071237736705
PAQR4,240,3,0,-0.194191903992716
DPP6,241,3,0,0.189245270151264
SFRP1,242,3,0,-0.185154149208358
PPP1R1A,243,3,0,0.163752677116229
RNF224,244,3,0,-0.149958707100558
SHISA3,245,3,0,0.147640022321777
BRINP3,246,3,0,0.145596936791031
SLC16A9,247,3,0,0.142244987863826
GPAT3,248,3,0,0.135412873381375
SPNS2,249,3,0,0.127131177397689
DEFB1,250,3,0,0.112608493082721
LAIR2,251,3,0,-0.1030336888691
GABRD,252,3,0,0.0995070613231344
MAPK4,253,3,0,-0.0881964522986522
ANXA9,254,3,0,-0.0844889208921001
KLHL14,255,3,0,0.0816866735584467
GPR176,256,3,0,-0.0356028631767081
ROS1,257,3,0,0.0332332087087989
FADS6,258,3,0,-0.0255590625419691
PRR11,259,3,0,0.0109904213064712
VAT1L,260,3,0,0.00411682194193985
