Symbol,n_cancers,n_up,n_down,mean_lfc,sd_lfc,cancers
SELENBP1,3,2,1,0.422582326138888,1.77299560197787,colorectal|esophagus|kidney
MET,3,1,2,-0.417543107981911,1.60805071059695,colorectal|esophagus|kidney
CCNB1,3,1,2,-0.416545647069521,1.33318099930974,colorectal|esophagus|kidney
NRG1,3,1,2,-0.415474278737249,1.38075225833972,colorectal|esophagus|kidney
PCDH17,3,1,2,-0.415282838854112,1.61122632730087,colorectal|esophagus|kidney
HIF3A,3,2,1,0.414607886040511,1.90954369775532,colorectal|esophagus|kidney
RELN,3,2,1,0.413435439248685,1.59810061363429,colorectal|esophagus|kidney
DES,3,2,1,0.41004616319492,2.29869040547252,colorectal|esophagus|kidney
LDHD,3,2,1,0.407990856722888,2.36843637505357,colorectal|esophagus|kidney
ODAM,3,2,1,0.407803234152187,2.11523505952248,colorectal|esophagus|pancreatic
DUSP26,3,2,1,0.406043835011928,2.48051131094845,colorectal|esophagus|kidney
NT5DC4,3,1,2,-0.405495815219981,1.56837382769979,colorectal|esophagus|kidney
CFAP20DC,3,2,1,0.404810395216589,1.56220854453736,colorectal|esophagus|kidney
TMEM125,3,1,2,-0.400382849514251,1.32011291041542,esophagus|kidney|pancreatic
ELFN1,3,1,2,-0.39365978277577,1.35141806099113,colorectal|esophagus|pancreatic
DDIAS,3,1,2,-0.393051970200749,1.54890136943613,colorectal|esophagus|kidney
ADAMTS18,3,1,2,-0.389534073365972,1.6169311003829,colorectal|esophagus|pancreatic
WDR62,3,1,2,-0.385959458401498,1.48768610253941,colorectal|esophagus|kidney
BCL2A1,3,1,2,-0.383276708210999,1.74273457188963,colorectal|esophagus|kidney
MT1A,3,2,1,0.381598147937711,1.84654737556377,colorectal|esophagus|kidney
CDK1,3,1,2,-0.381338854238359,1.58711136456873,colorectal|esophagus|kidney
KIF2C,3,1,2,-0.38087593983128,1.96406070362267,colorectal|esophagus|kidney
MAD2L1,3,1,2,-0.378602141847004,1.5429759563824,colorectal|esophagus|kidney
FCGR3A,3,1,2,-0.378444059889372,3.03543725861221,colorectal|esophagus|kidney
ATAD2,3,1,2,-0.369893832149144,1.45257670654055,colorectal|esophagus|kidney
PDZRN4,3,2,1,0.368777383058186,2.37785666127526,colorectal|esophagus|kidney
PAQR5,3,2,1,0.368468647930549,1.65633887888499,colorectal|esophagus|kidney
CXCL10,3,1,2,-0.367207465330232,2.45236205093826,colorectal|esophagus|kidney
C1QTNF7,3,2,1,0.366386445073237,1.96771758235309,colorectal|esophagus|kidney
PKNOX2,3,2,1,0.364918976492889,2.00832558132511,colorectal|esophagus|kidney
CDCA5,3,1,2,-0.362889087735232,2.08280637377717,colorectal|esophagus|kidney
ITGA11,3,1,2,-0.36146124744964,1.76406869920303,colorectal|esophagus|pancreatic
RAD51AP1,3,1,2,-0.360717549672755,1.7983421482308,colorectal|esophagus|kidney
SLC17A9,3,1,2,-0.355051739586289,1.50869860015897,colorectal|esophagus|kidney
KHDRBS2,3,1,2,-0.353140895812749,3.23290199569863,colorectal|kidney|pancreatic
IFI6,3,1,2,-0.352298208419264,1.96844756745992,colorectal|esophagus|pancreatic
ADAMTS6,3,1,2,-0.347110006944034,1.66980834111068,colorectal|esophagus|pancreatic
MT1G,3,2,1,-0.345904088623391,4.34693475691892,colorectal|esophagus|kidney
GPT,3,1,2,-0.342750632319971,2.069819029937,colorectal|kidney|pancreatic
HMMR,3,1,2,-0.342530713566031,1.43846460848272,colorectal|esophagus|kidney
SEMA3D,3,1,2,-0.341409800450253,1.87330167137686,colorectal|esophagus|kidney
