Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC,n_cancers,cancers
PADI1,0,0,,9.51912267542537e-20,2.27943591506614,3,colorectal|esophagus|kidney
CSTA,0,0,,9.51912267542537e-20,2.17879276667783,3,esophagus|kidney|pancreatic
WDR72,0,0,,9.51912267542537e-20,-2.17167952070731,3,colorectal|esophagus|kidney
CADM3,0,0,,9.51912267542537e-20,2.06628668924788,3,colorectal|esophagus|kidney
ERVMER34-1,0,0,,9.51912267542537e-20,-1.96417917456728,3,colorectal|esophagus|kidney
CST2,0,0,,9.51912267542537e-20,-1.95883319346247,3,colorectal|esophagus|pancreatic
DHRS9,0,0,,9.51912267542537e-20,1.90928647655063,3,colorectal|esophagus|kidney
PRAME,0,0,,9.51912267542537e-20,-1.86395840260327,3,colorectal|esophagus|kidney
EPB41L4B,0,0,,9.51912267542537e-20,-1.85276579366768,3,esophagus|kidney|pancreatic
TNS4,0,0,,9.51912267542537e-20,-1.82926107837393,3,colorectal|esophagus|kidney
CYP27B1,0,0,,9.51912267542537e-20,-1.8111428464517,3,colorectal|esophagus|kidney
BARX2,0,0,,9.51912267542537e-20,1.76749164558423,3,colorectal|esophagus|kidney
FREM2,0,0,,9.51912267542537e-20,-1.74134356353625,3,colorectal|esophagus|kidney
RERGL,0,0,,9.51912267542537e-20,1.71447717840668,3,colorectal|esophagus|kidney
PRSS22,0,0,,9.51912267542537e-20,-1.71092572236955,3,colorectal|esophagus|kidney
SLC5A12,0,0,,9.51912267542537e-20,-1.63292953427819,3,colorectal|esophagus|kidney
MAL,0,0,,9.51912267542537e-20,1.62556163805513,3,colorectal|esophagus|kidney
VSIG2,0,0,,9.51912267542537e-20,1.57292616870301,3,colorectal|esophagus|kidney
PLP1,0,0,,9.51912267542537e-20,1.56970789404821,3,colorectal|esophagus|kidney
TACSTD2,0,0,,9.51912267542537e-20,-1.5521836820734,3,colorectal|esophagus|kidney
SIM2,0,0,,9.51912267542537e-20,-1.48995504979528,3,colorectal|esophagus|kidney
SFRP2,0,0,,9.51912267542537e-20,1.48344755289917,3,colorectal|kidney|pancreatic
RAB3B,0,0,,9.51912267542537e-20,-1.40658686741355,3,colorectal|esophagus|kidney
EDIL3,0,0,,9.51912267542537e-20,1.35677499187865,3,colorectal|kidney|pancreatic
FBXO2,0,0,,9.51912267542537e-20,-1.35543305396842,3,colorectal|kidney|pancreatic
KCNK10,0,0,,9.51912267542537e-20,-1.3219762411885,3,colorectal|kidney|pancreatic
FAM89A,0,0,,9.51912267542537e-20,-1.29139648268044,3,colorectal|esophagus|kidney
ATP1A2,0,0,,9.51912267542537e-20,1.27306169494649,3,colorectal|esophagus|kidney
MS4A4E,0,0,,9.51912267542537e-20,1.24350918592903,3,colorectal|esophagus|kidney
KIAA0408,0,0,,9.51912267542537e-20,1.21680365846342,3,colorectal|esophagus|kidney
G0S2,0,0,,9.51912267542537e-20,-1.21174855140389,3,colorectal|esophagus|kidney
ASPA,0,0,,9.51912267542537e-20,1.20608114843426,3,colorectal|esophagus|kidney
PTGS1,0,0,,9.51912267542537e-20,1.18938706252536,3,colorectal|esophagus|pancreatic
GLYATL1,0,0,,9.51912267542537e-20,-1.18117301577526,3,colorectal|esophagus|kidney
ABAT,0,0,,9.51912267542537e-20,-1.14479196023165,3,esophagus|kidney|pancreatic
IGFL4,0,0,,9.51912267542537e-20,-1.13876995839224,3,colorectal|esophagus|kidney
MCEMP1,0,0,,9.51912267542537e-20,-1.11394667956821,3,colorectal|esophagus|pancreatic
ADAM12,0,0,,9.51912267542537e-20,-1.09228815806004,3,colorectal|esophagus|kidney
MYEOV,0,0,,9.51912267542537e-20,1.08978997545031,3,colorectal|esophagus|kidney
KIF26B,0,0,,9.51912267542537e-20,-1.06708047093494,3,colorectal|esophagus|pancreatic
PI16,0,0,,9.51912267542537e-20,1.06070147429155,3,colorectal|esophagus|kidney
MUC15,0,0,,9.51912267542537e-20,-1.05179133256756,3,esophagus|kidney|pancreatic
KRT222,0,0,,9.51912267542537e-20,1.04849778848931,3,colorectal|esophagus|kidney
STC2,0,0,,9.51912267542537e-20,-1.01674825077954,3,colorectal|esophagus|kidney
TDO2,0,0,,9.51912267542537e-20,-1.00845241291119,3,colorectal|esophagus|kidney
CHP2,0,0,,9.51912267542537e-20,-1.00463191904961,3,colorectal|esophagus|kidney
CLEC3B,0,0,,9.51912267542537e-20,1.0035991385975,3,colorectal|esophagus|kidney
ABCA8,0,0,,9.51912267542537e-20,0.978542448126576,3,colorectal|esophagus|kidney
EMX1,0,0,,9.51912267542537e-20,-0.964650435078394,3,colorectal|esophagus|kidney
UNC93A,0,0,,9.51912267542537e-20,-0.963449939030101,3,colorectal|esophagus|kidney
RFX8,0,0,,9.51912267542537e-20,-0.959227320089582,3,colorectal|esophagus|kidney
C16orf89,0,0,,9.51912267542537e-20,0.953723140702281,3,colorectal|esophagus|kidney
PITX1,0,0,,9.51912267542537e-20,0.948395085178313,3,colorectal|esophagus|kidney
CILP2,0,0,,9.51912267542537e-20,0.938709744158566,3,esophagus|kidney|pancreatic
ASPG,0,0,,9.51912267542537e-20,0.923209961488077,3,colorectal|esophagus|kidney
ZBTB16,0,0,,9.51912267542537e-20,0.9178672156589,3,colorectal|esophagus|pancreatic
LYPD3,0,0,,9.51912267542537e-20,0.915267062321353,3,colorectal|esophagus|pancreatic
UCHL1,0,0,,9.51912267542537e-20,-0.91016882248293,3,colorectal|esophagus|kidney
ZNF676,0,0,,9.51912267542537e-20,0.907648153927011,3,colorectal|esophagus|kidney
ADAMDEC1,0,0,,9.51912267542537e-20,0.900260446531605,3,colorectal|esophagus|kidney
NEU4,0,0,,9.51912267542537e-20,-0.895307668603805,3,colorectal|esophagus|kidney
EPOP,0,0,,9.51912267542537e-20,-0.892645747277209,3,colorectal|esophagus|kidney
CWH43,0,0,,9.51912267542537e-20,0.87918763140694,3,colorectal|esophagus|kidney
ZNF695,0,0,,9.51912267542537e-20,-0.872154878418891,3,colorectal|esophagus|kidney
NEXMIF,0,0,,9.51912267542537e-20,0.837351838159581,3,colorectal|esophagus|kidney
FAM3B,0,0,,9.51912267542537e-20,-0.83537671239896,3,esophagus|kidney|pancreatic
NNMT,0,0,,9.51912267542537e-20,0.834098393140063,3,esophagus|kidney|pancreatic
ANKRD20A1,0,0,,9.51912267542537e-20,0.813419075809852,3,colorectal|esophagus|pancreatic
HPGD,0,0,,9.51912267542537e-20,0.810385715946382,3,colorectal|esophagus|kidney
LRRC2,0,0,,9.51912267542537e-20,-0.801569443329939,3,colorectal|esophagus|kidney
NCCRP1,0,0,,9.51912267542537e-20,0.792589574052113,3,colorectal|esophagus|kidney
LONRF2,0,0,,9.51912267542537e-20,0.779918485195384,3,colorectal|esophagus|kidney
CCL14,0,0,,9.51912267542537e-20,0.766439052205913,3,colorectal|esophagus|kidney
LCN10,0,0,,9.51912267542537e-20,0.764669017983316,3,colorectal|esophagus|kidney
MYZAP,0,0,,9.51912267542537e-20,0.758541666891689,3,colorectal|esophagus|kidney
SLC11A1,0,0,,9.51912267542537e-20,-0.750081900731735,3,colorectal|esophagus|kidney
RUNX1,0,0,,9.51912267542537e-20,0.748357707361624,3,esophagus|kidney|pancreatic
PTP4A3,0,0,,9.51912267542537e-20,-0.722870103417388,3,colorectal|esophagus|kidney
CSMD2,0,0,,9.51912267542537e-20,-0.722018631274218,3,colorectal|esophagus|kidney
PRR15L,0,0,,9.51912267542537e-20,-0.716287100120983,3,esophagus|kidney|pancreatic
CD300LF,0,0,,9.51912267542537e-20,0.71455239680617,3,esophagus|kidney|pancreatic
IQCN,0,0,,9.51912267542537e-20,0.69585881069385,3,colorectal|esophagus|kidney
PGM5,0,0,,9.51912267542537e-20,0.693939646981953,3,colorectal|esophagus|kidney
FAM107A,0,0,,9.51912267542537e-20,0.692977628764075,3,colorectal|esophagus|kidney
FRRS1L,0,0,,9.51912267542537e-20,0.682715761751474,3,colorectal|esophagus|kidney
PLCXD3,0,0,,9.51912267542537e-20,0.682462395778252,3,colorectal|esophagus|kidney
PMEPA1,0,0,,9.51912267542537e-20,-0.68121670563545,3,colorectal|esophagus|kidney
CELSR3,0,0,,9.51912267542537e-20,-0.665747000890495,3,colorectal|esophagus|kidney
FNDC1,0,0,,9.51912267542537e-20,-0.663382220450478,3,colorectal|esophagus|pancreatic
CEACAM1,0,0,,9.51912267542537e-20,0.660627395542963,3,colorectal|esophagus|kidney
CYP4F12,0,0,,9.51912267542537e-20,0.656944088308165,3,colorectal|esophagus|kidney
HPSE2,0,0,,9.51912267542537e-20,0.654056899821903,3,colorectal|esophagus|kidney
SEC14L5,0,0,,9.51912267542537e-20,0.648060582347404,3,colorectal|esophagus|kidney
EYA2,0,0,,9.51912267542537e-20,0.645747293370436,3,colorectal|esophagus|kidney
NPY1R,0,0,,9.51912267542537e-20,0.642234166016418,3,colorectal|esophagus|kidney
SMTNL2,0,0,,9.51912267542537e-20,-0.637053837556034,3,colorectal|esophagus|kidney
STRIP2,0,0,,9.51912267542537e-20,-0.628061826682681,3,colorectal|esophagus|pancreatic
TYRO3,0,0,,9.51912267542537e-20,-0.62352523739623,3,colorectal|esophagus|kidney
ZNF662,0,0,,9.51912267542537e-20,0.621549280356423,3,colorectal|esophagus|kidney
NTM,0,0,,9.51912267542537e-20,0.620234937578754,3,esophagus|kidney|pancreatic
TTYH3,0,0,,9.51912267542537e-20,-0.618797006204626,3,colorectal|esophagus|pancreatic
ADGRV1,0,0,,9.51912267542537e-20,-0.614636634788709,3,colorectal|esophagus|kidney
PDZK1,0,0,,9.51912267542537e-20,-0.612654433605183,3,colorectal|kidney|pancreatic
CREG2,0,0,,9.51912267542537e-20,-0.609500551069117,3,colorectal|esophagus|kidney
STUM,0,0,,9.51912267542537e-20,0.608898023530192,3,colorectal|esophagus|kidney
CHST11,0,0,,9.51912267542537e-20,0.598090868691687,3,esophagus|kidney|pancreatic
SCN7A,0,0,,9.51912267542537e-20,0.589003055907451,3,colorectal|esophagus|kidney
TEDC2,0,0,,9.51912267542537e-20,-0.583168108719462,3,colorectal|esophagus|kidney
SYT12,0,0,,9.51912267542537e-20,-0.577745234640329,3,colorectal|esophagus|kidney
FOXS1,0,0,,9.51912267542537e-20,-0.568726589168367,3,colorectal|esophagus|kidney
GCNT4,0,0,,9.51912267542537e-20,0.567755976806918,3,colorectal|esophagus|kidney
CAPN5,0,0,,9.51912267542537e-20,0.567362395608372,3,colorectal|esophagus|kidney
GALNT16,0,0,,9.51912267542537e-20,0.567342397109353,3,colorectal|esophagus|kidney
SCD,0,0,,9.51912267542537e-20,0.565289923855548,3,colorectal|kidney|pancreatic
HOXD8,0,0,,9.51912267542537e-20,-0.564906599753185,3,esophagus|kidney|pancreatic
ANGPTL1,0,0,,9.51912267542537e-20,0.553562259874148,3,colorectal|esophagus|kidney
PBLD,0,0,,9.51912267542537e-20,-0.553247705386262,3,colorectal|kidney|pancreatic
NDRG2,0,0,,9.51912267542537e-20,0.55285009889536,3,colorectal|esophagus|kidney
PDCD4,0,0,,9.51912267542537e-20,0.552684515072036,3,colorectal|esophagus|pancreatic
GPR85,0,0,,9.51912267542537e-20,0.545540543677707,3,esophagus|kidney|pancreatic
KLB,0,0,,9.51912267542537e-20,0.531772898066341,3,colorectal|esophagus|kidney
FXYD5,0,0,,9.51912267542537e-20,0.529791368423101,3,colorectal|kidney|pancreatic
NEBL,0,0,,9.51912267542537e-20,-0.525291007569754,3,colorectal|esophagus|kidney
RIC3,0,0,,9.51912267542537e-20,0.521285876508069,3,colorectal|esophagus|kidney
HLF,0,0,,9.51912267542537e-20,0.520700363711917,3,colorectal|esophagus|kidney
ABCA10,0,0,,9.51912267542537e-20,0.515490906318171,3,colorectal|esophagus|kidney
LZTS1,0,0,,9.51912267542537e-20,0.512627095167317,3,colorectal|kidney|pancreatic
AQP7,0,0,,9.51912267542537e-20,0.510798406558012,3,colorectal|esophagus|kidney
