condition,sample 
Cancer ,GSM6134609
Cancer,GSM6134608
Normal ,GSM6134607
Cancer,GSM6134606
Normal ,GSM6134605
Cancer,GSM6134604
Normal ,GSM6134603
Cancer,GSM6134602
Normal ,GSM6134601
Cancer,GSM6134600
Normal ,GSM6134599
Cancer,GSM6134598
Normal ,GSM6134597
Cancer,GSM6134596
Normal ,GSM6134595
Cancer,GSM6134594
Normal ,GSM6134593
Cancer,GSM6134592
Normal ,GSM6134591
Cancer,GSM6134590
